configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,ctime,exec
0,-O2,1,1,0,0,0,0.048,0
1,-Og,1,1,0,1,0,0.026,0
10,-O1,0,1,1,0,0,0.038,0
11,-Ofast,1,1,1,1,0,0.05,0
12,-O2,1,0,0,1,0,0.047,0
13,-Ofast,1,0,1,0,0,0.06,0
14,-Ofast,1,0,1,1,0,0.061,0
15,-O1,0,0,1,0,0,0.046,0
16,-O2,0,0,0,1,0,0.065,0
17,-O2,0,1,1,1,0,0.054,0
18,-O0,1,1,0,0,0,0.03,0
19,-O0,1,1,1,1,0,0.039,0
2,-Og,0,1,0,0,0,0.041,0
20,-O0,1,1,0,1,0,0.04,0
21,-Og,0,0,0,0,0,0.04,0
22,-O2,1,1,1,0,0,0.053,0
23,-O1,0,1,0,0,0,0.046,0
24,-O1,0,0,0,1,0,0.046,0
25,-O0,0,1,0,0,0,0.035,0
26,-Og,0,1,1,1,0,0.04,0
27,-O0,1,0,0,0,0,0.048,0
28,-O1,0,0,1,1,0,0.04,0
29,-O0,1,1,1,0,0,0.022,0
3,-O0,1,0,1,0,0,0.028,0
30,-O1,1,0,0,0,0,0.037,0
31,-O2,0,1,1,0,0,0.036,0
32,-O0,0,1,0,1,0,0.03,0
33,-O2,1,1,1,1,0,0.041,0
34,-O0,0,0,0,0,0,0.017,0
35,-Ofast,0,1,0,1,0,0.059,0
36,-Og,1,0,1,1,0,0.034,0
37,-Og,1,1,0,0,0,0.036,0
38,-Og,1,0,0,1,0,0.039,0
39,-Ofast,0,0,1,1,0,0.056,0
4,-O2,0,0,0,0,0,0.047,0
40,-O2,1,0,0,0,0,0.046,0
41,-O2,1,1,0,1,0,0.04,0
42,-O1,1,1,1,0,0,0.036,0
43,-O0,0,1,1,0,0,0.027,0
44,-O2,0,1,0,0,0,0.039,0
45,-Og,0,1,0,1,0,0.033,0
46,-Og,1,0,1,0,0,0.033,0
47,-O2,1,0,1,0,0,0.052,0
48,-O1,1,0,1,0,0,0.044,0
49,-Ofast,0,1,0,0,0,0.06,0
5,-Ofast,0,1,1,1,0,0.054,0
50,-Ofast,0,1,1,0,0,0.052,0
51,-Og,1,1,1,1,0,0.033,0
52,-Ofast,1,1,0,0,0,0.059,0
53,-Og,0,0,0,1,0,0.022,0
54,-Og,0,1,1,0,0,0.033,0
55,-O0,0,0,1,0,0,0.028,0
56,-Og,0,0,1,1,0,0.025,0
57,-O0,0,0,0,1,0,0.023,0
58,-O1,0,1,1,1,0,0.027,0
59,-O1,1,1,1,1,0,0.036,0
6,-Ofast,1,0,0,0,0,0.057,0
60,-Ofast,1,1,1,0,0,0.046,0
61,-Og,1,0,0,0,0,0.043,0
62,-Og,0,0,1,0,0,0.035,0
63,-Ofast,0,0,1,0,0,0.05,0
64,-Ofast,0,0,0,1,0,0.062,0
65,-O1,1,1,0,0,0,0.046,0
66,-Ofast,0,0,0,0,0,0.055,0
67,-O0,1,0,1,1,0,0.032,0
68,-O2,0,1,0,1,0,0.038,0
69,-O1,1,1,0,1,0,0.032,0
7,-O0,0,0,1,1,0,0.028,0
70,-O0,0,1,1,1,0,0.027,0
71,-O0,1,0,0,1,0,0.028,0
72,-O2,0,0,1,0,0,0.046,0
73,-O2,0,0,1,1,0,0.038,0
74,-O1,0,1,0,1,0,0.037,0
75,-O1,1,0,0,1,0,0.039,0
76,-O2,1,0,1,1,0,0.048,0
77,-Og,1,1,1,0,0,0.039,0
78,-O1,0,0,0,0,0,0.031,0
79,-O1,1,0,1,1,0,0.042,0
8,-Ofast,1,0,0,1,0,0.056,0
9,-Ofast,1,1,0,1,0,0.053,0
