configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,ctime,exec
0,-O2,1,1,0,0,17552,0.106,0.11637
1,-Og,1,1,0,1,17728,0.08,0.117299
10,-O1,0,1,1,0,17584,0.1,0.130073
11,-Ofast,1,1,1,1,19112,0.129,0.126694
12,-O2,1,0,0,1,17552,0.129,0.11617899999999999
13,-Ofast,1,0,1,0,19112,0.133,0.12792
14,-Ofast,1,0,1,1,19112,0.128,0.12783699999999998
15,-O1,0,0,1,0,17584,0.101,0.130997
16,-O2,0,0,0,1,17552,0.126,0.116612
17,-O2,0,1,1,1,17552,0.112,0.128526
18,-O0,1,1,0,0,17752,0.058,0.144495
19,-O0,1,1,1,1,17752,0.072,0.125102
2,-Og,0,1,0,0,17728,0.066,0.117827
20,-O0,1,1,0,1,17752,0.054,0.141987
21,-Og,0,0,0,0,17728,0.071,0.11911600000000001
22,-O2,1,1,1,0,17552,0.101,0.128855
23,-O1,0,1,0,0,17584,0.085,0.116941
24,-O1,0,0,0,1,17584,0.115,0.11858199999999999
25,-O0,0,1,0,0,17752,0.066,0.14315
26,-Og,0,1,1,1,17728,0.074,0.125668
27,-O0,1,0,0,0,17752,0.06,0.142988
28,-O1,0,0,1,1,17584,0.093,0.13026300000000002
29,-O0,1,1,1,0,17752,0.061,0.125132
3,-O0,1,0,1,0,17752,0.072,0.124384
30,-O1,1,0,0,0,17584,0.108,0.11746199999999998
31,-O2,0,1,1,0,17552,0.121,0.13002
32,-O0,0,1,0,1,17752,0.06,0.142955
33,-O2,1,1,1,1,17552,0.116,0.127965
34,-O0,0,0,0,0,17752,0.065,0.142587
35,-Ofast,0,1,0,1,19112,0.14,0.11820499999999999
36,-Og,1,0,1,1,17728,0.075,0.125327
37,-Og,1,1,0,0,17728,0.077,0.11816700000000001
38,-Og,1,0,0,1,17728,0.081,0.119154
39,-Ofast,0,0,1,1,19112,0.136,0.128881
4,-O2,0,0,0,0,17552,0.14,0.11536700000000001
40,-O2,1,0,0,0,17552,0.13,0.116126
41,-O2,1,1,0,1,17552,0.111,0.116362
42,-O1,1,1,1,0,17584,0.091,0.130486
43,-O0,0,1,1,0,17752,0.067,0.12653499999999998
44,-O2,0,1,0,0,17552,0.119,0.11733199999999999
45,-Og,0,1,0,1,17728,0.087,0.11917
46,-Og,1,0,1,0,17728,0.076,0.122922
47,-O2,1,0,1,0,17552,0.124,0.12954100000000002
48,-O1,1,0,1,0,17584,0.1,0.130233
49,-Ofast,0,1,0,0,19112,0.128,0.11875899999999999
5,-Ofast,0,1,1,1,19112,0.134,0.12825599999999998
50,-Ofast,0,1,1,0,19112,0.119,0.128435
51,-Og,1,1,1,1,17728,0.083,0.125425
52,-Ofast,1,1,0,0,19112,0.142,0.12032000000000001
53,-Og,0,0,0,1,17728,0.072,0.11911600000000001
54,-Og,0,1,1,0,17728,0.073,0.123649
55,-O0,0,0,1,0,17752,0.057,0.126462
56,-Og,0,0,1,1,17728,0.091,0.124786
57,-O0,0,0,0,1,17752,0.068,0.143832
58,-O1,0,1,1,1,17584,0.094,0.130854
59,-O1,1,1,1,1,17584,0.093,0.132211
6,-Ofast,1,0,0,0,23208,0.15,0.120157
60,-Ofast,1,1,1,0,19112,0.132,0.128932
61,-Og,1,0,0,0,17728,0.077,0.119725
62,-Og,0,0,1,0,17728,0.071,0.12548199999999998
63,-Ofast,0,0,1,0,19112,0.138,0.127601
64,-Ofast,0,0,0,1,23208,0.158,0.119467
65,-O1,1,1,0,0,17584,0.093,0.11766199999999999
66,-Ofast,0,0,0,0,23208,0.145,0.118353
67,-O0,1,0,1,1,17752,0.06,0.12668
68,-O2,0,1,0,1,17552,0.119,0.11776400000000001
69,-O1,1,1,0,1,17584,0.096,0.11873099999999999
7,-O0,0,0,1,1,17752,0.07,0.125458
70,-O0,0,1,1,1,17752,0.063,0.124825
71,-O0,1,0,0,1,17752,0.069,0.14131
72,-O2,0,0,1,0,17552,0.133,0.127925
73,-O2,0,0,1,1,17552,0.115,0.127904
74,-O1,0,1,0,1,17584,0.098,0.12103199999999999
75,-O1,1,0,0,1,17584,0.102,0.117307
76,-O2,1,0,1,1,17552,0.136,0.127229
77,-Og,1,1,1,0,17728,0.07,0.124928
78,-O1,0,0,0,0,17584,0.102,0.1168
79,-O1,1,0,1,1,17584,0.106,0.131103
8,-Ofast,1,0,0,1,23208,0.164,0.11831099999999999
9,-Ofast,1,1,0,1,19112,0.138,0.117427
