configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,ctime,exec
0,-O2,1,1,0,0,21648,0.174,0.49739799999999995
1,-Og,1,1,0,1,21824,0.117,0.538682
10,-O1,0,1,1,0,17584,0.138,0.213993
11,-Ofast,1,1,1,1,23216,0.221,0.185922
12,-O2,1,0,0,1,29840,0.257,0.560878
13,-Ofast,1,0,1,0,23216,0.284,0.188815
14,-Ofast,1,0,1,1,23216,0.286,0.189578
15,-O1,0,0,1,0,21680,0.173,0.21567600000000003
16,-O2,0,0,0,1,29840,0.261,0.57004
17,-O2,0,1,1,1,17552,0.162,0.214817
18,-O0,1,1,0,0,25952,0.088,1.062189
19,-O0,1,1,1,1,21856,0.079,0.827624
2,-Og,0,1,0,0,21824,0.125,0.550616
20,-O0,1,1,0,1,25952,0.091,1.066452
21,-Og,0,0,0,0,21824,0.12,0.574864
22,-O2,1,1,1,0,17552,0.163,0.216984
23,-O1,0,1,0,0,21680,0.135,0.502955
24,-O1,0,0,0,1,29872,0.198,0.5824
25,-O0,0,1,0,0,25952,0.098,1.104903
26,-Og,0,1,1,1,17728,0.111,0.309713
27,-O0,1,0,0,0,25952,0.106,1.1078
28,-O1,0,0,1,1,21680,0.182,0.24453699999999998
29,-O0,1,1,1,0,21856,0.07,0.764524
3,-O0,1,0,1,0,21856,0.077,0.8193219999999999
30,-O1,1,0,0,0,29872,0.2,0.546334
31,-O2,0,1,1,0,17552,0.169,0.21105100000000002
32,-O0,0,1,0,1,25952,0.087,1.064443
33,-O2,1,1,1,1,17552,0.17,0.21629400000000001
34,-O0,0,0,0,0,25952,0.088,1.060322
35,-Ofast,0,1,0,1,27312,0.244,0.48434499999999997
36,-Og,1,0,1,1,17728,0.114,0.289376
37,-Og,1,1,0,0,21824,0.128,0.5522560000000001
38,-Og,1,0,0,1,21824,0.115,0.546088
39,-Ofast,0,0,1,1,23216,0.286,0.18992699999999998
4,-O2,0,0,0,0,29840,0.231,0.566679
40,-O2,1,0,0,0,29840,0.274,0.552211
41,-O2,1,1,0,1,21648,0.183,0.485442
42,-O1,1,1,1,0,17584,0.144,0.212302
43,-O0,0,1,1,0,21856,0.081,0.771217
44,-O2,0,1,0,0,21648,0.194,0.493751
45,-Og,0,1,0,1,21824,0.115,0.5380060000000001
46,-Og,1,0,1,0,17728,0.116,0.273698
47,-O2,1,0,1,0,21648,0.213,0.227208
48,-O1,1,0,1,0,21680,0.162,0.224045
49,-Ofast,0,1,0,0,27312,0.249,0.485175
5,-Ofast,0,1,1,1,23216,0.204,0.18429500000000001
50,-Ofast,0,1,1,0,23216,0.207,0.17538399999999998
51,-Og,1,1,1,1,17728,0.107,0.292134
52,-Ofast,1,1,0,0,27312,0.243,0.5029279999999999
53,-Og,0,0,0,1,21824,0.112,0.561133
54,-Og,0,1,1,0,17728,0.087,0.279022
55,-O0,0,0,1,0,21856,0.089,0.770044
56,-Og,0,0,1,1,17728,0.109,0.274545
57,-O0,0,0,0,1,25952,0.082,1.109872
58,-O1,0,1,1,1,17584,0.143,0.212652
59,-O1,1,1,1,1,17584,0.137,0.221608
6,-Ofast,1,0,0,0,35504,0.346,0.537085
60,-Ofast,1,1,1,0,23216,0.226,0.18098399999999998
61,-Og,1,0,0,0,21824,0.115,0.575771
62,-Og,0,0,1,0,17728,0.114,0.274742
63,-Ofast,0,0,1,0,23216,0.258,0.190855
64,-Ofast,0,0,0,1,35504,0.356,0.510113
65,-O1,1,1,0,0,21680,0.143,0.512369
66,-Ofast,0,0,0,0,35504,0.34,0.509209
67,-O0,1,0,1,1,21856,0.087,0.772459
68,-O2,0,1,0,1,21648,0.177,0.512892
69,-O1,1,1,0,1,21680,0.145,0.537391
7,-O0,0,0,1,1,21856,0.09,0.772753
70,-O0,0,1,1,1,21856,0.085,0.769413
71,-O0,1,0,0,1,25952,0.094,1.061849
72,-O2,0,0,1,0,21648,0.222,0.226679
73,-O2,0,0,1,1,21648,0.21,0.216852
74,-O1,0,1,0,1,21680,0.152,0.510663
75,-O1,1,0,0,1,29872,0.196,0.55167
76,-O2,1,0,1,1,21648,0.217,0.25643499999999997
77,-Og,1,1,1,0,17728,0.117,0.278591
78,-O1,0,0,0,0,29872,0.191,0.549678
79,-O1,1,0,1,1,21680,0.177,0.21796500000000002
8,-Ofast,1,0,0,1,35504,0.323,0.514401
9,-Ofast,1,1,0,1,27312,0.253,0.496598
