configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,ctime,exec
0,-O2,1,1,0,0,17560,0.087,2.069444
1,-Og,1,1,0,1,17744,0.057,2.505305
10,-O1,0,1,1,0,17592,0.087,0.685841
11,-Ofast,1,1,1,1,19120,0.102,0.713113
12,-O2,1,0,0,1,17560,0.096,2.017426
13,-Ofast,1,0,1,0,19120,0.12,0.666744
14,-Ofast,1,0,1,1,19120,0.122,0.712175
15,-O1,0,0,1,0,17592,0.088,0.6758689999999999
16,-O2,0,0,0,1,17560,0.103,2.159031
17,-O2,0,1,1,1,17560,0.085,0.689331
18,-O0,1,1,0,0,17768,0.065,6.581928
19,-O0,1,1,1,1,17768,0.065,4.509815000000001
2,-Og,0,1,0,0,17744,0.078,2.482854
20,-O0,1,1,0,1,17768,0.069,6.314439
21,-Og,0,0,0,0,17744,0.08,2.465729
22,-O2,1,1,1,0,17560,0.098,0.696098
23,-O1,0,1,0,0,17592,0.085,2.136174
24,-O1,0,0,0,1,17592,0.094,2.062831
25,-O0,0,1,0,0,17768,0.063,6.137215
26,-Og,0,1,1,1,17744,0.07,1.396827
27,-O0,1,0,0,0,17768,0.063,6.293397
28,-O1,0,0,1,1,17592,0.095,0.668883
29,-O0,1,1,1,0,17768,0.059,4.512605000000001
3,-O0,1,0,1,0,17768,0.064,4.612877
30,-O1,1,0,0,0,17592,0.089,2.063941
31,-O2,0,1,1,0,17560,0.097,0.6819649999999999
32,-O0,0,1,0,1,17768,0.055,6.461088
33,-O2,1,1,1,1,17560,0.082,0.667968
34,-O0,0,0,0,0,17768,0.057,6.26476
35,-Ofast,0,1,0,1,19120,0.112,2.339076
36,-Og,1,0,1,1,17744,0.071,1.3892879999999999
37,-Og,1,1,0,0,17744,0.079,2.654205
38,-Og,1,0,0,1,17744,0.075,2.509502
39,-Ofast,0,0,1,1,19120,0.139,0.7691140000000001
4,-O2,0,0,0,0,17560,0.115,2.370188
40,-O2,1,0,0,0,17560,0.125,2.076716
41,-O2,1,1,0,1,17560,0.088,2.003071
42,-O1,1,1,1,0,17592,0.066,0.6707850000000001
43,-O0,0,1,1,0,17768,0.068,4.645085
44,-O2,0,1,0,0,17560,0.092,2.006471
45,-Og,0,1,0,1,17744,0.065,2.570709
46,-Og,1,0,1,0,17744,0.082,1.35099
47,-O2,1,0,1,0,17560,0.103,0.686422
48,-O1,1,0,1,0,17592,0.091,0.72068
49,-Ofast,0,1,0,0,19120,0.132,2.616113
5,-Ofast,0,1,1,1,19120,0.116,0.725438
50,-Ofast,0,1,1,0,19120,0.12,0.7308359999999999
51,-Og,1,1,1,1,17744,0.086,1.428069
52,-Ofast,1,1,0,0,19120,0.094,2.4612439999999998
53,-Og,0,0,0,1,17744,0.07,2.4594400000000003
54,-Og,0,1,1,0,17744,0.063,1.44513
55,-O0,0,0,1,0,17768,0.062,4.774821
56,-Og,0,0,1,1,17744,0.066,1.373234
57,-O0,0,0,0,1,17768,0.061,6.224702
58,-O1,0,1,1,1,17592,0.089,0.762493
59,-O1,1,1,1,1,17592,0.103,0.7205779999999999
6,-Ofast,1,0,0,0,19120,0.126,2.3807720000000003
60,-Ofast,1,1,1,0,19120,0.117,0.678551
61,-Og,1,0,0,0,17744,0.063,2.5466349999999998
62,-Og,0,0,1,0,17744,0.066,1.348659
63,-Ofast,0,0,1,0,19120,0.124,0.696393
64,-Ofast,0,0,0,1,19120,0.115,2.338116
65,-O1,1,1,0,0,17592,0.07,2.048652
66,-Ofast,0,0,0,0,19120,0.125,2.399593
67,-O0,1,0,1,1,17768,0.05,4.643283
68,-O2,0,1,0,1,17560,0.099,2.123525
69,-O1,1,1,0,1,17592,0.076,2.1133830000000002
7,-O0,0,0,1,1,17768,0.066,4.5879330000000005
70,-O0,0,1,1,1,17768,0.06,4.737664
71,-O0,1,0,0,1,17768,0.066,6.09922
72,-O2,0,0,1,0,17560,0.107,0.699538
73,-O2,0,0,1,1,17560,0.091,0.662959
74,-O1,0,1,0,1,17592,0.086,2.122707
75,-O1,1,0,0,1,17592,0.085,2.133619
76,-O2,1,0,1,1,17560,0.09,0.698671
77,-Og,1,1,1,0,17744,0.069,1.395449
78,-O1,0,0,0,0,17592,0.077,2.033961
79,-O1,1,0,1,1,17592,0.088,0.688995
8,-Ofast,1,0,0,1,19120,0.126,2.545442
9,-Ofast,1,1,0,1,19120,0.127,2.624768
