configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,ctime,exec
0,-O2,1,1,0,0,0,0.12,0
1,-Og,1,1,0,1,0,0.079,0
10,-O1,0,1,1,0,0,0.104,0
11,-Ofast,1,1,1,1,19120,0.148,0.429259
12,-O2,1,0,0,1,0,0.142,0
13,-Ofast,1,0,1,0,23216,0.2,0.42462
14,-Ofast,1,0,1,1,23216,0.2,0.426794
15,-O1,0,0,1,0,0,0.117,0
16,-O2,0,0,0,1,0,0.148,0
17,-O2,0,1,1,1,0,0.121,0
18,-O0,1,1,0,0,0,0.064,0
19,-O0,1,1,1,1,0,0.061,0
2,-Og,0,1,0,0,0,0.093,0
20,-O0,1,1,0,1,0,0.065,0
21,-Og,0,0,0,0,0,0.076,0
22,-O2,1,1,1,0,0,0.126,0
23,-O1,0,1,0,0,0,0.102,0
24,-O1,0,0,0,1,0,0.121,0
25,-O0,0,1,0,0,0,0.059,0
26,-Og,0,1,1,1,0,0.075,0
27,-O0,1,0,0,0,0,0.078,0
28,-O1,0,0,1,1,0,0.105,0
29,-O0,1,1,1,0,0,0.074,0
3,-O0,1,0,1,0,0,0.064,0
30,-O1,1,0,0,0,0,0.132,0
31,-O2,0,1,1,0,0,0.118,0
32,-O0,0,1,0,1,0,0.063,0
33,-O2,1,1,1,1,0,0.12,0
34,-O0,0,0,0,0,0,0.065,0
35,-Ofast,0,1,0,1,19120,0.16,0.788102
36,-Og,1,0,1,1,0,0.077,0
37,-Og,1,1,0,0,0,0.084,0
38,-Og,1,0,0,1,0,0.08,0
39,-Ofast,0,0,1,1,23216,0.195,0.41945
4,-O2,0,0,0,0,0,0.158,0
40,-O2,1,0,0,0,0,0.147,0
41,-O2,1,1,0,1,0,0.131,0
42,-O1,1,1,1,0,0,0.102,0
43,-O0,0,1,1,0,0,0.064,0
44,-O2,0,1,0,0,0,0.121,0
45,-Og,0,1,0,1,0,0.082,0
46,-Og,1,0,1,0,0,0.062,0
47,-O2,1,0,1,0,0,0.134,0
48,-O1,1,0,1,0,0,0.11,0
49,-Ofast,0,1,0,0,19120,0.15,0.789104
5,-Ofast,0,1,1,1,19120,0.154,0.427776
50,-Ofast,0,1,1,0,19120,0.134,0.417703
51,-Og,1,1,1,1,0,0.085,0
52,-Ofast,1,1,0,0,19120,0.139,0.769142
53,-Og,0,0,0,1,0,0.093,0
54,-Og,0,1,1,0,0,0.085,0
55,-O0,0,0,1,0,0,0.068,0
56,-Og,0,0,1,1,0,0.076,0
57,-O0,0,0,0,1,0,0.067,0
58,-O1,0,1,1,1,0,0.098,0
59,-O1,1,1,1,1,0,0.1,0
6,-Ofast,1,0,0,0,27312,0.206,0.782899
60,-Ofast,1,1,1,0,19120,0.13,0.42557
61,-Og,1,0,0,0,0,0.089,0
62,-Og,0,0,1,0,0,0.089,0
63,-Ofast,0,0,1,0,23216,0.195,0.418996
64,-Ofast,0,0,0,1,27312,0.212,0.786331
65,-O1,1,1,0,0,0,0.11,0
66,-Ofast,0,0,0,0,27312,0.198,0.798896
67,-O0,1,0,1,1,0,0.067,0
68,-O2,0,1,0,1,0,0.138,0
69,-O1,1,1,0,1,0,0.112,0
7,-O0,0,0,1,1,0,0.056,0
70,-O0,0,1,1,1,0,0.072,0
71,-O0,1,0,0,1,0,0.07,0
72,-O2,0,0,1,0,0,0.142,0
73,-O2,0,0,1,1,0,0.146,0
74,-O1,0,1,0,1,0,0.11,0
75,-O1,1,0,0,1,0,0.134,0
76,-O2,1,0,1,1,0,0.144,0
77,-Og,1,1,1,0,0,0.08,0
78,-O1,0,0,0,0,0,0.13,0
79,-O1,1,0,1,1,0,0.11,0
8,-Ofast,1,0,0,1,27312,0.209,0.786187
9,-Ofast,1,1,0,1,19120,0.156,0.790811
