configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,ctime,exec
0,-O2,1,1,0,0,17560,0.097,0.103801
1,-Og,1,1,0,1,17744,0.068,0.114265
10,-O1,0,1,1,0,17592,0.075,0.037607
11,-Ofast,1,1,1,1,19120,0.131,0.02936
12,-O2,1,0,0,1,21656,0.142,0.1007
13,-Ofast,1,0,1,0,19120,0.161,0.028877999999999997
14,-Ofast,1,0,1,1,19120,0.158,0.029283999999999998
15,-O1,0,0,1,0,17592,0.105,0.037502999999999995
16,-O2,0,0,0,1,21656,0.123,0.101176
17,-O2,0,1,1,1,17560,0.1,0.038709
18,-O0,1,1,0,0,17776,0.055,0.251789
19,-O0,1,1,1,1,17776,0.066,0.193389
2,-Og,0,1,0,0,17744,0.078,0.113194
20,-O0,1,1,0,1,17776,0.059,0.24564899999999998
21,-Og,0,0,0,0,17744,0.075,0.114273
22,-O2,1,1,1,0,17560,0.095,0.039279
23,-O1,0,1,0,0,17592,0.07,0.103762
24,-O1,0,0,0,1,21688,0.11,0.100147
25,-O0,0,1,0,0,17776,0.056,0.250302
26,-Og,0,1,1,1,17744,0.076,0.051091000000000004
27,-O0,1,0,0,0,17776,0.052,0.258984
28,-O1,0,0,1,1,17592,0.095,0.03823
29,-O0,1,1,1,0,17776,0.074,0.194338
3,-O0,1,0,1,0,17776,0.045,0.19500399999999998
30,-O1,1,0,0,0,21688,0.101,0.102056
31,-O2,0,1,1,0,17560,0.096,0.038505000000000005
32,-O0,0,1,0,1,17776,0.054,0.259766
33,-O2,1,1,1,1,17560,0.099,0.038555
34,-O0,0,0,0,0,17776,0.07,0.250191
35,-Ofast,0,1,0,1,19120,0.13,0.06363200000000001
36,-Og,1,0,1,1,17744,0.072,0.050717
37,-Og,1,1,0,0,17744,0.079,0.11433499999999999
38,-Og,1,0,0,1,17744,0.071,0.110953
39,-Ofast,0,0,1,1,19120,0.165,0.028995
4,-O2,0,0,0,0,21656,0.138,0.100899
40,-O2,1,0,0,0,21656,0.134,0.100832
41,-O2,1,1,0,1,17560,0.101,0.103646
42,-O1,1,1,1,0,17592,0.094,0.037822
43,-O0,0,1,1,0,17776,0.056,0.19503199999999998
44,-O2,0,1,0,0,17560,0.103,0.103442
45,-Og,0,1,0,1,17744,0.089,0.115271
46,-Og,1,0,1,0,17744,0.07,0.05037
47,-O2,1,0,1,0,17560,0.121,0.03745
48,-O1,1,0,1,0,17592,0.097,0.037555
49,-Ofast,0,1,0,0,19120,0.116,0.06380599999999999
5,-Ofast,0,1,1,1,19120,0.126,0.029774000000000002
50,-Ofast,0,1,1,0,19120,0.129,0.029176
51,-Og,1,1,1,1,17744,0.07,0.050793
52,-Ofast,1,1,0,0,19120,0.133,0.063484
53,-Og,0,0,0,1,17744,0.063,0.119675
54,-Og,0,1,1,0,17744,0.086,0.053207000000000004
55,-O0,0,0,1,0,17776,0.056,0.191961
56,-Og,0,0,1,1,17744,0.07,0.051037
57,-O0,0,0,0,1,17776,0.058,0.249509
58,-O1,0,1,1,1,17592,0.088,0.037734
59,-O1,1,1,1,1,17592,0.068,0.038738
6,-Ofast,1,0,0,0,23216,0.174,0.063848
60,-Ofast,1,1,1,0,19120,0.13,0.029271
61,-Og,1,0,0,0,17744,0.086,0.111588
62,-Og,0,0,1,0,17744,0.067,0.050962
63,-Ofast,0,0,1,0,19120,0.149,0.028937
64,-Ofast,0,0,0,1,23216,0.193,0.064374
65,-O1,1,1,0,0,17592,0.084,0.103743
66,-Ofast,0,0,0,0,23216,0.19,0.063967
67,-O0,1,0,1,1,17776,0.06,0.19373800000000002
68,-O2,0,1,0,1,17560,0.1,0.103592
69,-O1,1,1,0,1,17592,0.074,0.106775
7,-O0,0,0,1,1,17776,0.061,0.203549
70,-O0,0,1,1,1,17776,0.063,0.194677
71,-O0,1,0,0,1,17776,0.054,0.251228
72,-O2,0,0,1,0,17560,0.128,0.037718
73,-O2,0,0,1,1,17560,0.127,0.037665
74,-O1,0,1,0,1,17592,0.077,0.106673
75,-O1,1,0,0,1,21688,0.121,0.10622000000000001
76,-O2,1,0,1,1,17560,0.111,0.037952
77,-Og,1,1,1,0,17744,0.079,0.05047
78,-O1,0,0,0,0,21688,0.107,0.102471
79,-O1,1,0,1,1,17592,0.107,0.037801
8,-Ofast,1,0,0,1,23216,0.172,0.063624
9,-Ofast,1,1,0,1,19120,0.135,0.06350900000000001
