configurationID,optim,-floop-interchange,-fprefetch-loop-arrays,-ffloat-store,-fno-asm,size,ctime,exec
0,-O2,1,1,0,0,17552,0.096,0.01867
1,-Og,1,1,0,1,17728,0.077,0.036815
10,-O1,0,1,1,0,17584,0.076,0.017976
11,-Ofast,1,1,1,1,19112,0.106,0.008922
12,-O2,1,0,0,1,17552,0.104,0.018427000000000002
13,-Ofast,1,0,1,0,19112,0.112,0.008905
14,-Ofast,1,0,1,1,19112,0.112,0.008874
15,-O1,0,0,1,0,17584,0.076,0.017963999999999997
16,-O2,0,0,0,1,17552,0.114,0.018553999999999998
17,-O2,0,1,1,1,17552,0.085,0.008934000000000001
18,-O0,1,1,0,0,17760,0.056,0.038178
19,-O0,1,1,1,1,17760,0.055,0.029317000000000003
2,-Og,0,1,0,0,17728,0.069,0.037295999999999996
20,-O0,1,1,0,1,17760,0.054,0.038255000000000004
21,-Og,0,0,0,0,17728,0.085,0.037328
22,-O2,1,1,1,0,17552,0.09,0.008942
23,-O1,0,1,0,0,17584,0.072,0.037315
24,-O1,0,0,0,1,17584,0.09,0.037282
25,-O0,0,1,0,0,17760,0.06,0.03982
26,-Og,0,1,1,1,17728,0.07,0.018075
27,-O0,1,0,0,0,17760,0.065,0.039753
28,-O1,0,0,1,1,17584,0.077,0.017965000000000002
29,-O0,1,1,1,0,17760,0.057,0.029294999999999998
3,-O0,1,0,1,0,17760,0.064,0.029231
30,-O1,1,0,0,0,17584,0.093,0.037403
31,-O2,0,1,1,0,17552,0.09,0.008924
32,-O0,0,1,0,1,17760,0.058,0.038075
33,-O2,1,1,1,1,17552,0.085,0.008934000000000001
34,-O0,0,0,0,0,17760,0.069,0.03812
35,-Ofast,0,1,0,1,19112,0.107,0.018658
36,-Og,1,0,1,1,17728,0.073,0.018090000000000002
37,-Og,1,1,0,0,17728,0.056,0.037288999999999996
38,-Og,1,0,0,1,17728,0.085,0.037281
39,-Ofast,0,0,1,1,19112,0.111,0.008898999999999999
4,-O2,0,0,0,0,17552,0.108,0.018491
40,-O2,1,0,0,0,17552,0.113,0.018453
41,-O2,1,1,0,1,17552,0.09,0.018682
42,-O1,1,1,1,0,17584,0.073,0.017969
43,-O0,0,1,1,0,17760,0.054,0.029419999999999998
44,-O2,0,1,0,0,17552,0.087,0.018649000000000002
45,-Og,0,1,0,1,17728,0.079,0.037438
46,-Og,1,0,1,0,17728,0.068,0.018067
47,-O2,1,0,1,0,17552,0.125,0.008815
48,-O1,1,0,1,0,17584,0.095,0.017966
49,-Ofast,0,1,0,0,19112,0.1,0.018663
5,-Ofast,0,1,1,1,19112,0.103,0.008925
50,-Ofast,0,1,1,0,19112,0.104,0.008931999999999999
51,-Og,1,1,1,1,17728,0.067,0.018076
52,-Ofast,1,1,0,0,19112,0.104,0.018672
53,-Og,0,0,0,1,17728,0.072,0.037306
54,-Og,0,1,1,0,17728,0.075,0.018074
55,-O0,0,0,1,0,17760,0.07,0.029269
56,-Og,0,0,1,1,17728,0.057,0.018088999999999997
57,-O0,0,0,0,1,17760,0.056,0.038045999999999996
58,-O1,0,1,1,1,17584,0.07,0.017981999999999998
59,-O1,1,1,1,1,17584,0.081,0.017993000000000002
6,-Ofast,1,0,0,0,19112,0.106,0.01849
60,-Ofast,1,1,1,0,19112,0.104,0.008936
61,-Og,1,0,0,0,17728,0.074,0.037305
62,-Og,0,0,1,0,17728,0.06,0.018073
63,-Ofast,0,0,1,0,19112,0.097,0.008908
64,-Ofast,0,0,0,1,19112,0.122,0.018449
65,-O1,1,1,0,0,17584,0.085,0.037319
66,-Ofast,0,0,0,0,19112,0.127,0.018481
67,-O0,1,0,1,1,17760,0.054,0.0293
68,-O2,0,1,0,1,17552,0.094,0.018667
69,-O1,1,1,0,1,17584,0.089,0.037302999999999996
7,-O0,0,0,1,1,17760,0.05,0.029408
70,-O0,0,1,1,1,17760,0.064,0.029377999999999998
71,-O0,1,0,0,1,17760,0.058,0.038057
72,-O2,0,0,1,0,17552,0.099,0.008862
73,-O2,0,0,1,1,17552,0.096,0.008856999999999999
74,-O1,0,1,0,1,17584,0.076,0.037335
75,-O1,1,0,0,1,17584,0.099,0.037284
76,-O2,1,0,1,1,17552,0.1,0.008819
77,-Og,1,1,1,0,17728,0.071,0.018083000000000002
78,-O1,0,0,0,0,17584,0.09,0.037272
79,-O1,1,0,1,1,17584,0.08,0.017962
8,-Ofast,1,0,0,1,19112,0.109,0.01839
9,-Ofast,1,1,0,1,19112,0.103,0.018656
