size,time,configurationID,memory_r,posterize_r,gaussian-blur,thread,quality
583375,3.408,0,4,2,2,0,0
349299,1.296,1,0,0,1,2,0
349299,1.287,10,1,0,1,1,0
300168,3.464,11,2,1,2,1,1
249298,3.479,12,1,0,2,0,2
343945,0.517,13,1,2,0,1,1
297385,3.597,14,3,1,2,2,2
304452,3.557,15,0,3,2,3,2
313623,1.43,16,4,2,1,1,2
349299,1.306,17,1,0,1,3,0
308074,3.422,18,2,3,2,1,1
314051,1.413,19,1,2,1,3,1
313623,3.563,2,1,2,2,2,2
249298,3.501,20,2,0,2,3,2
313623,3.601,21,1,2,2,3,2
557136,0.473,22,3,2,0,1,0
265472,0.501,23,3,1,0,3,1
261476,0.662,24,0,1,0,0,2
300168,3.645,25,3,1,2,3,1
251668,1.368,26,4,0,1,3,1
478619,3.453,27,2,1,2,2,0
297385,1.481,28,1,1,1,1,2
265472,0.465,29,2,1,0,0,1
308074,1.331,3,3,3,1,0,1
265472,0.515,30,1,1,0,2,1
308074,1.371,31,4,3,1,3,1
592097,0.397,32,4,3,0,1,0
304452,1.455,33,4,3,1,2,2
249298,3.602,34,4,0,2,2,2
583375,1.301,35,1,2,1,0,0
591555,1.233,36,1,3,1,0,0
313623,3.576,37,0,2,2,0,2
478619,1.303,38,4,1,1,1,0
343551,0.472,39,0,3,0,0,2
557136,0.458,4,2,2,0,1,0
308074,3.497,40,0,3,2,0,1
304452,1.408,41,1,3,1,0,2
300168,1.352,42,3,1,1,2,1
343945,0.521,43,1,2,0,2,1
583375,1.376,44,2,2,1,2,0
304452,3.589,45,1,3,2,1,2
249298,3.518,46,0,0,2,2,2
261476,0.669,47,2,1,0,2,2
308074,1.337,48,3,3,1,2,1
314051,3.548,49,4,2,2,3,1
343945,0.549,5,0,2,0,3,1
478619,3.538,50,0,1,2,0,0
314051,1.369,51,3,2,1,1,1
265472,0.487,52,0,1,0,0,1
300168,3.541,53,3,1,2,2,1
251668,3.403,54,0,0,2,2,1
249298,3.481,55,3,0,2,0,2
583375,1.375,56,1,2,1,2,0
249298,3.558,57,0,0,2,3,2
261476,0.679,58,1,1,0,2,2
591555,3.449,59,3,3,2,0,0
583375,1.328,6,3,2,1,3,0
478619,3.441,60,3,1,2,2,0
251668,1.342,61,3,0,1,1,1
308074,3.495,62,2,3,2,2,1
583375,3.42,63,0,2,2,0,0
261476,0.696,64,4,1,0,0,2
314051,3.562,65,3,2,2,0,1
265472,0.487,66,3,1,0,0,1
583375,3.442,67,2,2,2,2,0
313623,3.591,68,4,2,2,3,2
313623,1.448,69,2,2,1,2,2
314051,3.484,7,2,2,2,0,1
300168,1.329,70,1,1,1,1,1
300168,1.369,71,0,1,1,2,1
178523,0.444,72,4,0,0,2,1
249298,1.493,73,2,0,1,3,2
345152,0.477,74,1,3,0,0,1
208724,0.458,75,2,0,0,1,0
345152,0.488,76,3,3,0,0,1
343945,0.53,77,0,2,0,1,1
308074,1.408,78,2,3,1,2,1
347793,0.435,79,3,1,0,0,0
349299,1.331,8,4,0,1,1,0
347793,0.44,80,0,1,0,0,0
249298,1.469,81,0,0,1,0,2
208724,0.428,82,1,0,0,2,0
308074,3.687,83,2,3,2,0,1
314051,3.487,84,3,2,2,2,1
251668,3.399,85,0,0,2,0,1
349299,1.287,86,3,0,1,2,0
583375,3.437,87,2,2,2,1,0
313623,1.483,88,3,2,1,2,2
304452,1.41,89,4,3,1,0,2
313623,3.605,9,0,2,2,2,2
313623,1.439,90,4,2,1,2,2
178523,0.45,91,2,0,0,1,1
478619,1.429,92,4,1,1,0,0
261476,0.68,93,4,1,0,1,2
343551,0.558,94,1,3,0,3,2
249298,1.436,95,3,0,1,1,2
175569,0.638,96,3,0,0,3,2
304452,3.718,97,0,3,2,1,2
308074,3.402,98,0,3,2,1,1
314051,1.394,99,2,2,1,3,1
