configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 8011 , 798.7 , 4
1,1,3,0,1,4,1000,1,1,3,2, 951 , 434.5 , 0
10,0,2,0,2,2,-1,1,2,3,1, 8500 , 849.2 , 4
11,0,1,0,3,2,1000,1,1,3,2, 799 , 390.8 , 0
12,1,3,0,5,0,-1,1,2,2,1, 8939 , 889.1 , 4
13,0,2,1,3,1,1000,1,2,3,1, 7289 , 779.0 , 4
14,1,2,0,1,4,-1,1,1,2,3, 7931 , 789.4 , 4
15,0,3,0,3,4,1000,2,2,1,2, 895 , 441.6 , 0
16,1,2,1,1,4,-1,2,2,1,1, 7136 , 711.5 , 3
17,1,1,1,2,-1,1000,1,1,3,1, 1494 , 733.7 , 0
18,1,1,1,4,4,-1,1,3,2,2, 8102 , 808.5 , 4
19,1,3,1,2,1,-1,2,1,3,3, 1100 , 501.8 , 0
2,1,2,1,3,-1,1000,1,1,3,3, 4962 , 980.8 , 2
20,0,3,0,4,0,-1,1,2,1,2, 864 , 419.5 , 0
21,1,2,0,2,4,-1,2,3,3,3, 7840 , 781.6 , 4
22,0,1,0,5,1,-1,1,2,1,3, 7204 , 841.4 , 3
23,1,1,1,4,0,-1,1,2,3,3, 7787 , 775.2 , 4
24,1,1,0,2,0,-1,1,1,2,3, 917 , 454.7 , 0
25,0,1,1,5,0,-1,1,3,2,3, 7151 , 713.3 , 4
26,1,3,0,3,0,-1,2,1,2,3, 651 , 297.4 , 0
27,0,1,0,4,3,1000,1,3,2,3, 0 , 0.0 , 0
28,1,1,0,1,3,-1,2,3,3,2, 314 , 293.8 , 0
29,1,3,1,1,4,1000,2,1,2,3, 677 , 334.6 , 0
3,0,3,0,4,1,1000,1,3,2,2, 0 , 0.0 , 0
30,0,3,0,3,4,1000,2,3,1,1, 8646 , 1009.7 , 4
31,1,2,0,2,4,-1,2,3,3,1, 7737 , 769.7 , 4
32,1,2,1,1,3,-1,2,2,2,3, 3296 , 650.4 , 1
33,1,1,0,4,1,-1,2,3,1,2, 8107 , 807.8 , 4
34,1,1,1,4,3,1000,2,2,2,2, 1793 , 804.0 , 0
35,1,2,0,5,4,1000,2,1,1,3, 6868 , 684.5 , 3
36,1,3,0,3,-1,-1,1,3,1,3, 1344 , 657.1 , 0
37,0,2,1,4,-1,-1,2,2,3,2, 0 , 0.0 , 0
38,0,2,0,2,1,-1,2,3,1,3, 0 , 0.0 , 0
39,0,2,1,2,0,-1,1,3,3,3, 0 , 0.0 , 0
4,0,1,1,5,4,1000,1,1,1,2, 0 , 0.0 , 0
40,0,3,0,3,3,1000,1,1,1,1, 0 , 0.0 , 0
41,1,2,0,4,3,1000,1,1,3,2, 0 , 0.0 , 0
42,1,1,0,2,0,1000,1,3,3,3, 1932 , 705.2 , 0
43,0,3,1,4,-1,-1,1,3,1,3, 970 , 468.8 , 0
44,0,3,0,3,0,1000,1,2,2,2, 3869 , 765.7 , 1
45,0,2,1,5,1,1000,1,2,3,1, 868 , 419.4 , 0
