configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 20393 , 2033.0 , 4
1,1,3,0,1,4,1000,1,1,3,2, 14341 , 1445.0 , 2
10,0,2,0,2,2,-1,1,2,3,1, 21504 , 2142.8 , 4
11,0,1,0,3,2,1000,1,1,3,2, 13067 , 1497.7 , 2
12,1,3,0,5,0,-1,1,2,2,1, 8030 , 800.9 , 1
13,0,2,1,3,1,1000,1,2,3,1, 14904 , 1473.4 , 3
14,1,2,0,1,4,-1,1,1,2,3, 12332 , 1279.0 , 2
15,0,3,0,3,4,1000,2,2,1,2, 22125 , 2205.0 , 4
16,1,2,1,1,4,-1,2,2,1,1, 9041 , 1191.9 , 1
17,1,1,1,2,-1,1000,1,1,3,1, 22818 , 2275.8 , 4
18,1,1,1,4,4,-1,1,3,2,2, 15083 , 1506.0 , 3
19,1,3,1,2,1,-1,2,1,3,3, 5071 , 1005.4 , 0
2,1,2,1,3,-1,1000,1,1,3,3, 13073 , 1303.6 , 2
20,0,3,0,4,0,-1,1,2,1,2, 21446 , 2143.4 , 4
21,1,2,0,2,4,-1,2,3,3,3, 0 , 0.0 , 0
22,0,1,0,5,1,-1,1,2,1,3, 17769 , 1805.4 , 3
23,1,1,1,4,0,-1,1,2,3,3, 23231 , 2317.2 , 4
24,1,1,0,2,0,-1,1,1,2,3, 5026 , 913.2 , 0
25,0,1,1,5,0,-1,1,3,2,3, 16060 , 1573.4 , 3
26,1,3,0,3,0,-1,2,1,2,3, 4652 , 924.7 , 0
27,0,1,0,4,3,1000,1,3,2,3, 5005 , 990.3 , 1
28,1,1,0,1,3,-1,2,3,3,2, 15104 , 1506.0 , 3
29,1,3,1,1,4,1000,2,1,2,3, 16128 , 1608.7 , 3
3,0,3,0,4,1,1000,1,3,2,2, 12829 , 1288.9 , 2
30,0,3,0,3,4,1000,2,3,1,1, 15590 , 1538.6 , 3
31,1,2,0,2,4,-1,2,3,3,1, 20441 , 2040.2 , 4
32,1,2,1,1,3,-1,2,2,2,3, 0 , 0.0 , 0
33,1,1,0,4,1,-1,2,3,1,2, 15068 , 1553.4 , 2
34,1,1,1,4,3,1000,2,2,2,2, 5094 , 1012.7 , 1
35,1,2,0,5,4,1000,2,1,1,3, 19953 , 1991.2 , 4
36,1,3,0,3,-1,-1,1,3,1,3, 15783 , 1668.0 , 3
37,0,2,1,4,-1,-1,2,2,3,2, 17081 , 1705.5 , 3
38,0,2,0,2,1,-1,2,3,1,3, 746 , 333.5 , 0
39,0,2,1,2,0,-1,1,3,3,3, 0 , 0.0 , 0
4,0,1,1,5,4,1000,1,1,1,2, 17796 , 1775.5 , 3
40,0,3,0,3,3,1000,1,1,1,1, 21070 , 2093.1 , 4
41,1,2,0,4,3,1000,1,1,3,2, 5041 , 1006.4 , 0
42,1,1,0,2,0,1000,1,3,3,3, 5035 , 993.5 , 0
43,0,3,1,4,-1,-1,1,3,1,3, 4956 , 981.8 , 1
44,0,3,0,3,0,1000,1,2,2,2, 5518 , 1098.8 , 1
45,0,2,1,5,1,1000,1,2,3,1, 5086 , 1010.0 , 0
46,1,1,0,5,2,-1,2,2,2,3, 8036 , 775.3 , 1
47,0,2,0,5,4,-1,2,2,2,3, 22248 , 2216.4 , 4
48,0,3,0,1,3,-1,1,2,2,2, 5299 , 1017.5 , 1
49,1,1,1,3,-1,-1,2,1,2,1, 6035 , 1200.3 , 1
5,1,2,1,5,-1,1000,1,2,3,3, 17355 , 1808.3 , 3
50,1,3,1,5,3,-1,1,2,3,3, 4236 , 843.4 , 0
51,1,3,0,4,0,1000,1,1,3,2, 13073 , 1304.9 , 2
52,1,1,0,1,4,1000,2,3,1,3, 0 , 0.0 , 0
53,0,1,0,4,3,-1,2,3,1,1, 11779 , 1176.3 , 2
54,0,1,0,2,-1,-1,2,3,3,1, 15740 , 1571.0 , 3
55,1,3,1,5,1,1000,1,1,3,3, 13074 , 1304.0 , 2
56,1,3,0,2,3,1000,1,1,1,2, 15607 , 1558.4 , 3
57,1,2,1,2,2,1000,2,1,1,3, 417 , 191.5 , 0
58,0,1,1,1,3,-1,1,1,2,2, 5264 , 1045.0 , 0
59,1,2,1,4,0,-1,2,2,1,3, 551 , 253.7 , 0
6,0,1,0,2,3,1000,2,2,1,1, 0 , 0.0 , 0
60,1,1,1,1,2,-1,1,3,1,2, 730 , 361.9 , 0
61,0,1,1,3,0,-1,1,2,1,3, 749 , 371.9 , 0
62,1,2,0,4,1,-1,1,1,2,3, 0 , 0.0 , 0
63,1,3,0,4,1,-1,1,1,3,3, 0 , 0.0 , 0
64,1,3,0,5,3,-1,2,1,3,1, 19731 , 1964.6 , 4
65,0,1,1,2,3,1000,1,2,2,1, 13429 , 1318.0 , 2
66,0,3,1,2,0,1000,1,1,3,3, 17802 , 1772.3 , 3
67,0,3,0,4,3,1000,1,2,1,2, 4868 , 968.3 , 0
68,1,3,1,3,4,-1,2,2,2,3, 4771 , 936.7 , 0
69,0,1,1,4,2,1000,2,3,3,2, 5310 , 1052.6 , 1
7,1,2,1,4,3,1000,2,1,1,3, 5024 , 998.4 , 0
70,1,1,1,3,0,-1,1,1,3,1, 22089 , 2199.6 , 4
71,1,2,1,3,1,-1,1,2,1,1, 11076 , 1744.4 , 2
72,1,2,1,2,-1,1000,1,2,2,2, 4820 , 960.6 , 1
73,0,1,1,3,3,1000,2,3,1,3, 20694 , 2065.5 , 4
74,1,1,0,5,1,-1,2,1,2,3, 4149 , 820.4 , 0
75,1,3,0,2,4,-1,2,2,2,1, 4849 , 968.5 , 0
76,0,1,1,2,4,-1,2,2,3,3, 20401 , 2039.6 , 4
77,0,3,0,2,0,-1,1,2,3,3, 21463 , 2144.0 , 4
78,1,3,1,3,3,-1,2,3,1,3, 5044 , 1003.1 , 1
79,0,2,1,1,1,-1,1,2,3,3, 749 , 343.9 , 0
8,1,1,0,5,0,1000,1,2,2,3, 0 , 0.0 , 0
80,1,1,1,2,0,1000,2,1,2,2, 6069 , 1187.8 , 1
81,1,2,1,3,3,-1,2,3,2,2, 5035 , 1000.7 , 0
82,0,2,0,2,0,-1,2,3,1,1, 0 , 0.0 , 0
83,1,3,0,3,4,1000,2,3,1,2, 20820 , 2078.8 , 4
84,0,2,1,1,1,1000,1,1,1,2, 6077 , 1204.5 , 1
85,0,3,0,5,2,1000,2,2,2,3, 6403 , 1266.6 , 1
86,0,1,0,5,1,-1,2,2,3,3, 3037 , 603.8 , 0
87,0,1,0,4,1,1000,1,2,3,2, 7396 , 1477.8 , 1
88,1,3,0,5,4,1000,1,3,3,2, 5038 , 1004.6 , 0
89,1,2,1,4,-1,-1,1,1,1,2, 4711 , 936.5 , 0
9,0,1,0,1,0,1000,1,1,2,3, 16547 , 1647.5 , 3
90,1,1,1,1,3,1000,1,1,1,3, 14150 , 1782.4 , 2
91,1,3,1,1,1,-1,2,2,1,1, 16064 , 1601.6 , 3
92,0,3,0,3,1,-1,2,1,1,2, 17769 , 1772.6 , 3
93,1,2,0,5,4,-1,2,1,3,3, 20176 , 2014.2 , 4
94,1,2,0,5,4,1000,1,2,1,1, 4421 , 882.1 , 0
95,1,1,0,1,0,-1,1,1,1,2, 4407 , 880.3 , 0
96,0,1,0,5,2,-1,1,3,1,1, 15044 , 1502.3 , 3
97,0,2,1,5,2,1000,1,2,2,2, 5013 , 998.7 , 0
98,0,1,1,5,3,1000,1,3,3,2, 10933 , 1290.7 , 2
99,0,2,0,1,0,1000,1,3,3,2, 3082 , 604.0 , 0
