configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 64430 , 6953.5 , 14
1,1,3,0,1,4,1000,1,1,3,2, 72320 , 7228.9 , 16
10,0,2,0,2,2,-1,1,2,3,1, 7666 , 3731.7 , 2
11,0,1,0,3,2,1000,1,1,3,2, 32732 , 6475.0 , 8
12,1,3,0,5,0,-1,1,2,2,1, 28349 , 5564.0 , 7
13,0,2,1,3,1,1000,1,2,3,1, 71625 , 7121.2 , 15
14,1,2,0,1,4,-1,1,1,2,3, 76767 , 7649.7 , 17
15,0,3,0,3,4,1000,2,2,1,2, 28016 , 5517.6 , 7
16,1,2,1,1,4,-1,2,2,1,1, 7669 , 3712.5 , 2
17,1,1,1,2,-1,1000,1,1,3,1, 71130 , 7077.6 , 15
18,1,1,1,4,4,-1,1,3,2,2, 76547 , 7595.5 , 16
19,1,3,1,2,1,-1,2,1,3,3, 27955 , 5513.0 , 7
2,1,2,1,3,-1,1000,1,1,3,3, 55635 , 6990.1 , 13
20,0,3,0,4,0,-1,1,2,1,2, 70965 , 7197.5 , 15
21,1,2,0,2,4,-1,2,3,3,3, 75475 , 7467.4 , 16
22,0,1,0,5,1,-1,1,2,1,3, 70602 , 7294.8 , 15
23,1,1,1,4,0,-1,1,2,3,3, 28961 , 5679.1 , 7
24,1,1,0,2,0,-1,1,1,2,3, 74132 , 7399.9 , 16
25,0,1,1,5,0,-1,1,3,2,3, 72656 , 7226.3 , 16
26,1,3,0,3,0,-1,2,1,2,3, 71239 , 7276.7 , 16
27,0,1,0,4,3,1000,1,3,2,3, 1000 , 948.2 , 0
28,1,1,0,1,3,-1,2,3,3,2, 28691 , 5631.2 , 7
29,1,3,1,1,4,1000,2,1,2,3, 27366 , 5408.4 , 7
3,0,3,0,4,1,1000,1,3,2,2, 73746 , 7345.4 , 16
30,0,3,0,3,4,1000,2,3,1,1, 31626 , 6320.1 , 8
31,1,2,0,2,4,-1,2,3,3,1, 71605 , 7118.1 , 16
32,1,2,1,1,3,-1,2,2,2,3, 27879 , 5523.7 , 7
33,1,1,0,4,1,-1,2,3,1,2, 1001 , 973.9 , 0
34,1,1,1,4,3,1000,2,2,2,2, 7668 , 3430.3 , 2
35,1,2,0,5,4,1000,2,1,1,3, 1001 , 977.3 , 0
36,1,3,0,3,-1,-1,1,3,1,3, 63140 , 6989.7 , 14
37,0,2,1,4,-1,-1,2,2,3,2, 74854 , 7475.2 , 16
38,0,2,0,2,1,-1,2,3,1,3, 70713 , 7029.9 , 15
39,0,2,1,2,0,-1,1,3,3,3, 16514 , 5483.8 , 4
4,0,1,1,5,4,1000,1,1,1,2, 53761 , 7146.5 , 12
40,0,3,0,3,3,1000,1,1,1,1, 7666 , 3710.7 , 2
41,1,2,0,4,3,1000,1,1,3,2, 71590 , 7144.4 , 15
42,1,1,0,2,0,1000,1,3,3,3, 1000 , 942.2 , 0
43,0,3,1,4,-1,-1,1,3,1,3, 28347 , 5643.1 , 7
44,0,3,0,3,0,1000,1,2,2,2, 32769 , 6434.3 , 8
45,0,2,1,5,1,1000,1,2,3,1, 28016 , 5537.9 , 7
46,1,1,0,5,2,-1,2,2,2,3, 71515 , 7368.3 , 16
47,0,2,0,5,4,-1,2,2,2,3, 70715 , 7068.9 , 16
48,0,3,0,1,3,-1,1,2,2,2, 73144 , 7288.9 , 16
49,1,1,1,3,-1,-1,2,1,2,1, 74566 , 7438.4 , 16
5,1,2,1,5,-1,1000,1,2,3,3, 1000 , 844.8 , 0
50,1,3,1,5,3,-1,1,2,3,3, 27057 , 5373.0 , 7
51,1,3,0,4,0,1000,1,1,3,2, 1000 , 843.2 , 0
52,1,1,0,1,4,1000,2,3,1,3, 7667 , 3506.0 , 2
53,0,1,0,4,3,-1,2,3,1,1, 31837 , 6282.9 , 8
54,0,1,0,2,-1,-1,2,3,3,1, 1001 , 861.3 , 0
55,1,3,1,5,1,1000,1,1,3,3, 46822 , 6543.6 , 11
56,1,3,0,2,3,1000,1,1,1,2, 31205 , 6195.6 , 8
57,1,2,1,2,2,1000,2,1,1,3, 50613 , 6751.2 , 12
58,0,1,1,1,3,-1,1,1,2,2, 33802 , 6651.4 , 8
59,1,2,1,4,0,-1,2,2,1,3, 70327 , 7032.7 , 15
