configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 0 , 0.0 , 0
1,1,3,0,1,4,1000,1,1,3,2, 17016 , 1696.7 , 5
10,0,2,0,2,2,-1,1,2,3,1, 3002 , 592.4 , 0
11,0,1,0,3,2,1000,1,1,3,2, 25931 , 2581.2 , 9
12,1,3,0,5,0,-1,1,2,2,1, 3001 , 593.7 , 0
13,0,2,1,3,1,1000,1,2,3,1, 0 , 0.0 , 0
14,1,2,0,1,4,-1,1,1,2,3, 0 , 0.0 , 0
15,0,3,0,3,4,1000,2,2,1,2, 0 , 0.0 , 0
16,1,2,1,1,4,-1,2,2,1,1, 9679 , 933.2 , 3
17,1,1,1,2,-1,1000,1,1,3,1, 19689 , 2123.5 , 7
18,1,1,1,4,4,-1,1,3,2,2, 7064 , 1026.6 , 2
19,1,3,1,2,1,-1,2,1,3,3, 3032 , 596.1 , 0
2,1,2,1,3,-1,1000,1,1,3,3, 3015 , 595.8 , 0
20,0,3,0,4,0,-1,1,2,1,2, 9949 , 1335.8 , 3
21,1,2,0,2,4,-1,2,3,3,3, 21364 , 2284.9 , 7
22,0,1,0,5,1,-1,1,2,1,3, 0 , 0.0 , 0
23,1,1,1,4,0,-1,1,2,3,3, 8015 , 1152.4 , 2
24,1,1,0,2,0,-1,1,1,2,3, 26183 , 2604.2 , 8
25,0,1,1,5,0,-1,1,3,2,3, 37546 , 3730.0 , 12
26,1,3,0,3,0,-1,2,1,2,3, 21338 , 2234.2 , 6
27,0,1,0,4,3,1000,1,3,2,3, 10001 , 1356.6 , 3
28,1,1,0,1,3,-1,2,3,3,2, 0 , 0.0 , 0
29,1,3,1,1,4,1000,2,1,2,3, 0 , 0.0 , 0
3,0,3,0,4,1,1000,1,3,2,2, 0 , 0.0 , 0
30,0,3,0,3,4,1000,2,3,1,1, 1026 , 203.1 , 0
