configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 651 , 63.3 , 0
1,1,3,0,1,4,1000,1,1,3,2, 668 , 66.9 , 0
10,0,2,0,2,2,-1,1,2,3,1, 668 , 66.1 , 0
11,0,1,0,3,2,1000,1,1,3,2, 668 , 66.1 , 0
12,1,3,0,5,0,-1,1,2,2,1, 668 , 66.5 , 0
13,0,2,1,3,1,1000,1,2,3,1, 1028 , 101.7 , 0
14,1,2,0,1,4,-1,1,1,2,3, 668 , 66.7 , 0
15,0,3,0,3,4,1000,2,2,1,2, 651 , 64.4 , 0
16,1,2,1,1,4,-1,2,2,1,1, 1029 , 98.7 , 0
17,1,1,1,2,-1,1000,1,1,3,1, 1028 , 99.8 , 0
18,1,1,1,4,4,-1,1,3,2,2, 1028 , 99.8 , 0
19,1,3,1,2,1,-1,2,1,3,3, 1029 , 99.0 , 0
2,1,2,1,3,-1,1000,1,1,3,3, 1028 , 99.6 , 0
20,0,3,0,4,0,-1,1,2,1,2, 668 , 65.9 , 0
21,1,2,0,2,4,-1,2,3,3,3, 651 , 63.5 , 0
22,0,1,0,5,1,-1,1,2,1,3, 668 , 66.0 , 0
23,1,1,1,4,0,-1,1,2,3,3, 1028 , 100.0 , 0
24,1,1,0,2,0,-1,1,1,2,3, 668 , 66.7 , 0
25,0,1,1,5,0,-1,1,3,2,3, 1028 , 101.7 , 0
26,1,3,0,3,0,-1,2,1,2,3, 651 , 63.4 , 0
27,0,1,0,4,3,1000,1,3,2,3, 668 , 66.1 , 0
28,1,1,0,1,3,-1,2,3,3,2, 651 , 63.4 , 0
29,1,3,1,1,4,1000,2,1,2,3, 1029 , 99.2 , 0
3,0,3,0,4,1,1000,1,3,2,2, 668 , 66.0 , 0
30,0,3,0,3,4,1000,2,3,1,1, 651 , 64.2 , 0
31,1,2,0,2,4,-1,2,3,3,1, 651 , 63.8 , 0
32,1,2,1,1,3,-1,2,2,2,3, 1029 , 98.9 , 0
33,1,1,0,4,1,-1,2,3,1,2, 651 , 65.0 , 0
34,1,1,1,4,3,1000,2,2,2,2, 1029 , 99.4 , 0
35,1,2,0,5,4,1000,2,1,1,3, 651 , 63.5 , 0
36,1,3,0,3,-1,-1,1,3,1,3, 668 , 66.7 , 0
37,0,2,1,4,-1,-1,2,2,3,2, 1029 , 101.6 , 0
38,0,2,0,2,1,-1,2,3,1,3, 651 , 64.4 , 0
39,0,2,1,2,0,-1,1,3,3,3, 1028 , 101.7 , 0
4,0,1,1,5,4,1000,1,1,1,2, 1028 , 101.7 , 0
40,0,3,0,3,3,1000,1,1,1,1, 668 , 66.1 , 0
41,1,2,0,4,3,1000,1,1,3,2, 668 , 66.7 , 0
42,1,1,0,2,0,1000,1,3,3,3, 668 , 66.7 , 0
43,0,3,1,4,-1,-1,1,3,1,3, 1028 , 101.3 , 0
44,0,3,0,3,0,1000,1,2,2,2, 668 , 66.1 , 0
45,0,2,1,5,1,1000,1,2,3,1, 1028 , 101.6 , 0
46,1,1,0,5,2,-1,2,2,2,3, 651 , 63.3 , 0
47,0,2,0,5,4,-1,2,2,2,3, 651 , 64.3 , 0
48,0,3,0,1,3,-1,1,2,2,2, 668 , 66.0 , 0
49,1,1,1,3,-1,-1,2,1,2,1, 1029 , 98.8 , 0
5,1,2,1,5,-1,1000,1,2,3,3, 1028 , 100.3 , 0
50,1,3,1,5,3,-1,1,2,3,3, 1028 , 100.2 , 0
51,1,3,0,4,0,1000,1,1,3,2, 668 , 66.7 , 0
52,1,1,0,1,4,1000,2,3,1,3, 651 , 65.0 , 0
53,0,1,0,4,3,-1,2,3,1,1, 651 , 64.4 , 0
54,0,1,0,2,-1,-1,2,3,3,1, 651 , 64.4 , 0
55,1,3,1,5,1,1000,1,1,3,3, 1028 , 100.2 , 0
56,1,3,0,2,3,1000,1,1,1,2, 668 , 66.7 , 0
57,1,2,1,2,2,1000,2,1,1,3, 1029 , 99.1 , 0
58,0,1,1,1,3,-1,1,1,2,2, 1028 , 101.6 , 0
59,1,2,1,4,0,-1,2,2,1,3, 1029 , 99.1 , 0
6,0,1,0,2,3,1000,2,2,1,1, 651 , 64.4 , 0
60,1,1,1,1,2,-1,1,3,1,2, 1028 , 99.9 , 0
61,0,1,1,3,0,-1,1,2,1,3, 1028 , 101.6 , 0
62,1,2,0,4,1,-1,1,1,2,3, 668 , 66.7 , 0
63,1,3,0,4,1,-1,1,1,3,3, 668 , 66.8 , 0
64,1,3,0,5,3,-1,2,1,3,1, 651 , 63.3 , 0
65,0,1,1,2,3,1000,1,2,2,1, 1028 , 101.7 , 0
66,0,3,1,2,0,1000,1,1,3,3, 1028 , 101.7 , 0
67,0,3,0,4,3,1000,1,2,1,2, 668 , 66.1 , 0
68,1,3,1,3,4,-1,2,2,2,3, 1029 , 98.7 , 0
69,0,1,1,4,2,1000,2,3,3,2, 1029 , 101.7 , 0
7,1,2,1,4,3,1000,2,1,1,3, 1029 , 99.2 , 0
70,1,1,1,3,0,-1,1,1,3,1, 1028 , 100.2 , 0
71,1,2,1,3,1,-1,1,2,1,1, 1028 , 99.7 , 0
72,1,2,1,2,-1,1000,1,2,2,2, 1028 , 100.3 , 0
73,0,1,1,3,3,1000,2,3,1,3, 1029 , 101.8 , 0
74,1,1,0,5,1,-1,2,1,2,3, 651 , 63.2 , 0
75,1,3,0,2,4,-1,2,2,2,1, 651 , 63.8 , 0
76,0,1,1,2,4,-1,2,2,3,3, 1029 , 101.7 , 0
