configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 268 , 26.7 , 0
1,1,3,0,1,4,1000,1,1,3,2, 268 , 26.7 , 0
10,0,2,0,2,2,-1,1,2,3,1, 459 , 45.8 , 0
11,0,1,0,3,2,1000,1,1,3,2, 474 , 47.4 , 0
12,1,3,0,5,0,-1,1,2,2,1, 192 , 19.2 , 0
13,0,2,1,3,1,1000,1,2,3,1, 382 , 38.2 , 0
14,1,2,0,1,4,-1,1,1,2,3, 224 , 22.4 , 0
15,0,3,0,3,4,1000,2,2,1,2, 474 , 47.4 , 0
16,1,2,1,1,4,-1,2,2,1,1, 116 , 11.6 , 0
17,1,1,1,2,-1,1000,1,1,3,1, 116 , 11.6 , 0
18,1,1,1,4,4,-1,1,3,2,2, 167 , 16.7 , 0
19,1,3,1,2,1,-1,2,1,3,3, 89 , 8.9 , 0
2,1,2,1,3,-1,1000,1,1,3,3, 103 , 10.3 , 0
20,0,3,0,4,0,-1,1,2,1,2, 486 , 48.6 , 0
21,1,2,0,2,4,-1,2,3,3,3, 209 , 20.9 , 0
22,0,1,0,5,1,-1,1,2,1,3, 474 , 47.3 , 0
23,1,1,1,4,0,-1,1,2,3,3, 103 , 10.3 , 0
24,1,1,0,2,0,-1,1,1,2,3, 181 , 18.1 , 0
25,0,1,1,5,0,-1,1,3,2,3, 308 , 30.8 , 0
26,1,3,0,3,0,-1,2,1,2,3, 154 , 15.4 , 0
27,0,1,0,4,3,1000,1,3,2,3, 459 , 45.9 , 0
28,1,1,0,1,3,-1,2,3,3,2, 209 , 20.9 , 0
29,1,3,1,1,4,1000,2,1,2,3, 155 , 15.5 , 0
3,0,3,0,4,1,1000,1,3,2,2, 474 , 47.4 , 0
30,0,3,0,3,4,1000,2,3,1,1, 515 , 51.4 , 0
31,1,2,0,2,4,-1,2,3,3,1, 259 , 25.9 , 0
32,1,2,1,1,3,-1,2,2,2,3, 155 , 15.5 , 0
33,1,1,0,4,1,-1,2,3,1,2, 168 , 16.8 , 0
34,1,1,1,4,3,1000,2,2,2,2, 103 , 10.3 , 0
35,1,2,0,5,4,1000,2,1,1,3, 259 , 25.9 , 0
36,1,3,0,3,-1,-1,1,3,1,3, 168 , 16.8 , 0
37,0,2,1,4,-1,-1,2,2,3,2, 398 , 39.8 , 0
38,0,2,0,2,1,-1,2,3,1,3, 486 , 48.5 , 0
39,0,2,1,2,0,-1,1,3,3,3, 356 , 35.6 , 0
4,0,1,1,5,4,1000,1,1,1,2, 398 , 39.8 , 0
40,0,3,0,3,3,1000,1,1,1,1, 486 , 48.5 , 0
41,1,2,0,4,3,1000,1,1,3,2, 168 , 16.8 , 0
42,1,1,0,2,0,1000,1,3,3,3, 181 , 18.1 , 0
43,0,3,1,4,-1,-1,1,3,1,3, 356 , 35.6 , 0
44,0,3,0,3,0,1000,1,2,2,2, 474 , 47.4 , 0
45,0,2,1,5,1,1000,1,2,3,1, 356 , 35.5 , 0
46,1,1,0,5,2,-1,2,2,2,3, 259 , 25.8 , 0
47,0,2,0,5,4,-1,2,2,2,3, 546 , 54.4 , 0
48,0,3,0,1,3,-1,1,2,2,2, 486 , 48.5 , 0
49,1,1,1,3,-1,-1,2,1,2,1, 128 , 12.8 , 0
5,1,2,1,5,-1,1000,1,2,3,3, 128 , 12.8 , 0
50,1,3,1,5,3,-1,1,2,3,3, 76 , 7.6 , 0
51,1,3,0,4,0,1000,1,1,3,2, 209 , 20.9 , 0
52,1,1,0,1,4,1000,2,3,1,3, 141 , 14.1 , 0
53,0,1,0,4,3,-1,2,3,1,1, 515 , 51.4 , 0
54,0,1,0,2,-1,-1,2,3,3,1, 459 , 45.8 , 0
55,1,3,1,5,1,1000,1,1,3,3, 89 , 8.9 , 0
56,1,3,0,2,3,1000,1,1,1,2, 192 , 19.2 , 0
57,1,2,1,2,2,1000,2,1,1,3, 128 , 12.8 , 0
58,0,1,1,1,3,-1,1,1,2,2, 308 , 30.8 , 0
59,1,2,1,4,0,-1,2,2,1,3, 179 , 17.9 , 0
6,0,1,0,2,3,1000,2,2,1,1, 430 , 43.0 , 0
60,1,1,1,1,2,-1,1,3,1,2, 128 , 12.8 , 0
61,0,1,1,3,0,-1,1,2,1,3, 398 , 39.7 , 0
62,1,2,0,4,1,-1,1,1,2,3, 209 , 20.9 , 0
63,1,3,0,4,1,-1,1,1,3,3, 259 , 25.8 , 0
64,1,3,0,5,3,-1,2,1,3,1, 259 , 25.9 , 0
65,0,1,1,2,3,1000,1,2,2,1, 398 , 39.8 , 0
66,0,3,1,2,0,1000,1,1,3,3, 398 , 39.7 , 0
67,0,3,0,4,3,1000,1,2,1,2, 416 , 41.6 , 0
68,1,3,1,3,4,-1,2,2,2,3, 128 , 12.8 , 0
69,0,1,1,4,2,1000,2,3,3,2, 382 , 38.1 , 0
7,1,2,1,4,3,1000,2,1,1,3, 179 , 17.9 , 0
70,1,1,1,3,0,-1,1,1,3,1, 116 , 11.6 , 0
71,1,2,1,3,1,-1,1,2,1,1, 76 , 7.6 , 0
72,1,2,1,2,-1,1000,1,2,2,2, 76 , 7.6 , 0
73,0,1,1,3,3,1000,2,3,1,3, 249 , 24.9 , 0
74,1,1,0,5,1,-1,2,1,2,3, 168 , 16.8 , 0
75,1,3,0,2,4,-1,2,2,2,1, 181 , 18.1 , 0
76,0,1,1,2,4,-1,2,2,3,3, 249 , 24.9 , 0
77,0,3,0,2,0,-1,1,2,3,3, 459 , 45.9 , 0
78,1,3,1,3,3,-1,2,3,1,3, 128 , 12.8 , 0
79,0,2,1,1,1,-1,1,2,3,3, 398 , 39.7 , 0
8,1,1,0,5,0,1000,1,2,2,3, 259 , 25.9 , 0
80,1,1,1,2,0,1000,2,1,2,2, 167 , 16.7 , 0
81,1,2,1,3,3,-1,2,3,2,2, 128 , 12.8 , 0
82,0,2,0,2,0,-1,2,3,1,1, 515 , 51.4 , 0
83,1,3,0,3,4,1000,2,3,1,2, 209 , 20.9 , 0
84,0,2,1,1,1,1000,1,1,1,2, 434 , 43.4 , 0
85,0,3,0,5,2,1000,2,2,2,3, 546 , 54.5 , 0
86,0,1,0,5,1,-1,2,2,3,3, 486 , 48.5 , 0
87,0,1,0,4,1,1000,1,2,3,2, 474 , 47.3 , 0
88,1,3,0,5,4,1000,1,3,3,2, 181 , 18.1 , 0
89,1,2,1,4,-1,-1,1,1,1,2, 141 , 14.1 , 0
9,0,1,0,1,0,1000,1,1,2,3, 515 , 51.5 , 0
90,1,1,1,1,3,1000,1,1,1,3, 141 , 14.1 , 0
91,1,3,1,1,1,-1,2,2,1,1, 155 , 15.5 , 0
92,0,3,0,3,1,-1,2,1,1,2, 459 , 45.8 , 0
93,1,2,0,5,4,-1,2,1,3,3, 209 , 20.9 , 0
94,1,2,0,5,4,1000,1,2,1,1, 141 , 14.1 , 0
95,1,1,0,1,0,-1,1,1,1,2, 259 , 25.9 , 0
96,0,1,0,5,2,-1,1,3,1,1, 459 , 45.8 , 0
97,0,2,1,5,2,1000,1,2,2,2, 382 , 38.2 , 0
98,0,1,1,5,3,1000,1,3,3,2, 434 , 43.3 , 0
99,0,2,0,1,0,1000,1,3,3,2, 486 , 48.5 , 0
