configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 8901 , 889.4 , 3
1,1,3,0,1,4,1000,1,1,3,2, 7054 , 704.3 , 2
10,0,2,0,2,2,-1,1,2,3,1, 8449 , 844.1 , 2
11,0,1,0,3,2,1000,1,1,3,2, 11001 , 1092.4 , 5
12,1,3,0,5,0,-1,1,2,2,1, 9446 , 943.2 , 2
13,0,2,1,3,1,1000,1,2,3,1, 7611 , 759.5 , 1
14,1,2,0,1,4,-1,1,1,2,3, 7112 , 709.9 , 2
15,0,3,0,3,4,1000,2,2,1,2, 9666 , 964.7 , 3
16,1,2,1,1,4,-1,2,2,1,1, 6976 , 697.0 , 1
17,1,1,1,2,-1,1000,1,1,3,1, 11000 , 1092.6 , 5
18,1,1,1,4,4,-1,1,3,2,2, 11000 , 1091.5 , 5
19,1,3,1,2,1,-1,2,1,3,3, 6297 , 643.5 , 1
2,1,2,1,3,-1,1000,1,1,3,3, 8907 , 890.2 , 3
20,0,3,0,4,0,-1,1,2,1,2, 9133 , 911.0 , 2
21,1,2,0,2,4,-1,2,3,3,3, 8933 , 893.2 , 3
22,0,1,0,5,1,-1,1,2,1,3, 11000 , 1092.3 , 5
23,1,1,1,4,0,-1,1,2,3,3, 11000 , 1070.7 , 4
24,1,1,0,2,0,-1,1,1,2,3, 11000 , 1093.5 , 5
25,0,1,1,5,0,-1,1,3,2,3, 8137 , 812.5 , 2
26,1,3,0,3,0,-1,2,1,2,3, 8875 , 886.5 , 3
27,0,1,0,4,3,1000,1,3,2,3, 11001 , 1091.1 , 5
28,1,1,0,1,3,-1,2,3,3,2, 11000 , 1091.9 , 5
29,1,3,1,1,4,1000,2,1,2,3, 7179 , 717.6 , 2
3,0,3,0,4,1,1000,1,3,2,2, 9003 , 899.3 , 2
30,0,3,0,3,4,1000,2,3,1,1, 9604 , 957.9 , 3
31,1,2,0,2,4,-1,2,3,3,1, 9039 , 902.5 , 3
32,1,2,1,1,3,-1,2,2,2,3, 7139 , 713.9 , 1
33,1,1,0,4,1,-1,2,3,1,2, 11001 , 1090.4 , 5
34,1,1,1,4,3,1000,2,2,2,2, 11002 , 1070.9 , 4
35,1,2,0,5,4,1000,2,1,1,3, 8757 , 874.2 , 3
36,1,3,0,3,-1,-1,1,3,1,3, 7284 , 727.3 , 2
37,0,2,1,4,-1,-1,2,2,3,2, 7416 , 740.1 , 2
38,0,2,0,2,1,-1,2,3,1,3, 11000 , 1082.1 , 4
39,0,2,1,2,0,-1,1,3,3,3, 7215 , 720.7 , 1
4,0,1,1,5,4,1000,1,1,1,2, 7963 , 795.6 , 2
40,0,3,0,3,3,1000,1,1,1,1, 8748 , 873.1 , 2
41,1,2,0,4,3,1000,1,1,3,2, 6861 , 685.3 , 2
42,1,1,0,2,0,1000,1,3,3,3, 11001 , 1089.5 , 4
43,0,3,1,4,-1,-1,1,3,1,3, 7766 , 774.8 , 1
44,0,3,0,3,0,1000,1,2,2,2, 9133 , 911.0 , 2
45,0,2,1,5,1,1000,1,2,3,1, 6727 , 671.2 , 1
46,1,1,0,5,2,-1,2,2,2,3, 11001 , 1090.1 , 4
47,0,2,0,5,4,-1,2,2,2,3, 10352 , 1034.2 , 4
48,0,3,0,1,3,-1,1,2,2,2, 9466 , 946.6 , 2
49,1,1,1,3,-1,-1,2,1,2,1, 11001 , 1091.0 , 5
5,1,2,1,5,-1,1000,1,2,3,3, 11000 , 1067.0 , 4
50,1,3,1,5,3,-1,1,2,3,3, 11000 , 1067.9 , 4
51,1,3,0,4,0,1000,1,1,3,2, 6861 , 684.4 , 2
52,1,1,0,1,4,1000,2,3,1,3, 11000 , 1092.1 , 5
53,0,1,0,4,3,-1,2,3,1,1, 11001 , 1092.3 , 6
54,0,1,0,2,-1,-1,2,3,3,1, 11001 , 1092.7 , 6
55,1,3,1,5,1,1000,1,1,3,3, 7668 , 765.4 , 2
56,1,3,0,2,3,1000,1,1,1,2, 7297 , 727.8 , 2
57,1,2,1,2,2,1000,2,1,1,3, 7077 , 706.5 , 1
58,0,1,1,1,3,-1,1,1,2,2, 8833 , 881.4 , 2
59,1,2,1,4,0,-1,2,2,1,3, 7000 , 698.8 , 1
6,0,1,0,2,3,1000,2,2,1,1, 11001 , 1092.3 , 6
60,1,1,1,1,2,-1,1,3,1,2, 11001 , 1092.0 , 5
61,0,1,1,3,0,-1,1,2,1,3, 7783 , 776.6 , 2
62,1,2,0,4,1,-1,1,1,2,3, 6818 , 680.5 , 2
63,1,3,0,4,1,-1,1,1,3,3, 6761 , 675.6 , 2
64,1,3,0,5,3,-1,2,1,3,1, 8826 , 882.5 , 3
65,0,1,1,2,3,1000,1,2,2,1, 7959 , 794.2 , 2
66,0,3,1,2,0,1000,1,1,3,3, 7302 , 729.3 , 1
67,0,3,0,4,3,1000,1,2,1,2, 9003 , 898.1 , 2
68,1,3,1,3,4,-1,2,2,2,3, 6772 , 677.5 , 1
69,0,1,1,4,2,1000,2,3,3,2, 9184 , 916.8 , 3
7,1,2,1,4,3,1000,2,1,1,3, 7041 , 702.7 , 1
