configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 799 , 79.8 , 0
1,1,3,0,1,4,1000,1,1,3,2, 844 , 84.3 , 0
10,0,2,0,2,2,-1,1,2,3,1, 2667 , 266.3 , 0
11,0,1,0,3,2,1000,1,1,3,2, 771 , 74.1 , 0
12,1,3,0,5,0,-1,1,2,2,1, 1485 , 148.3 , 0
13,0,2,1,3,1,1000,1,2,3,1, 1986 , 198.5 , 0
14,1,2,0,1,4,-1,1,1,2,3, 916 , 91.4 , 0
15,0,3,0,3,4,1000,2,2,1,2, 2830 , 282.4 , 0
16,1,2,1,1,4,-1,2,2,1,1, 493 , 49.3 , 0
17,1,1,1,2,-1,1000,1,1,3,1, 768 , 76.7 , 0
18,1,1,1,4,4,-1,1,3,2,2, 486 , 48.6 , 0
19,1,3,1,2,1,-1,2,1,3,3, 224 , 20.0 , 0
2,1,2,1,3,-1,1000,1,1,3,3, 566 , 56.5 , 0
20,0,3,0,4,0,-1,1,2,1,2, 2692 , 269.1 , 0
21,1,2,0,2,4,-1,2,3,3,3, 693 , 69.2 , 0
22,0,1,0,5,1,-1,1,2,1,3, 3600 , 359.4 , 0
23,1,1,1,4,0,-1,1,2,3,3, 514 , 51.4 , 0
24,1,1,0,2,0,-1,1,1,2,3, 1480 , 147.7 , 0
25,0,1,1,5,0,-1,1,3,2,3, 1818 , 181.6 , 0
26,1,3,0,3,0,-1,2,1,2,3, 1119 , 111.8 , 0
27,0,1,0,4,3,1000,1,3,2,3, 3715 , 371.2 , 0
28,1,1,0,1,3,-1,2,3,3,2, 1565 , 156.2 , 0
29,1,3,1,1,4,1000,2,1,2,3, 224 , 20.1 , 0
3,0,3,0,4,1,1000,1,3,2,2, 2715 , 271.0 , 0
30,0,3,0,3,4,1000,2,3,1,1, 2697 , 269.3 , 0
31,1,2,0,2,4,-1,2,3,3,1, 750 , 75.0 , 0
32,1,2,1,1,3,-1,2,2,2,3, 437 , 43.6 , 0
33,1,1,0,4,1,-1,2,3,1,2, 1506 , 150.5 , 0
34,1,1,1,4,3,1000,2,2,2,2, 797 , 79.7 , 0
35,1,2,0,5,4,1000,2,1,1,3, 1076 , 107.4 , 0
36,1,3,0,3,-1,-1,1,3,1,3, 1411 , 140.9 , 0
37,0,2,1,4,-1,-1,2,2,3,2, 2262 , 225.7 , 0
38,0,2,0,2,1,-1,2,3,1,3, 2760 , 275.5 , 0
39,0,2,1,2,0,-1,1,3,3,3, 2098 , 209.4 , 0
4,0,1,1,5,4,1000,1,1,1,2, 1970 , 197.0 , 0
40,0,3,0,3,3,1000,1,1,1,1, 423 , 41.6 , 0
41,1,2,0,4,3,1000,1,1,3,2, 844 , 84.4 , 0
42,1,1,0,2,0,1000,1,3,3,3, 1177 , 117.6 , 0
43,0,3,1,4,-1,-1,1,3,1,3, 2142 , 214.0 , 0
44,0,3,0,3,0,1000,1,2,2,2, 2632 , 263.0 , 0
45,0,2,1,5,1,1000,1,2,3,1, 2098 , 209.5 , 0
46,1,1,0,5,2,-1,2,2,2,3, 1530 , 152.8 , 0
47,0,2,0,5,4,-1,2,2,2,3, 2728 , 272.2 , 0
48,0,3,0,1,3,-1,1,2,2,2, 2667 , 266.4 , 0
49,1,1,1,3,-1,-1,2,1,2,1, 676 , 67.6 , 0
5,1,2,1,5,-1,1000,1,2,3,3, 98 , 8.8 , 0
50,1,3,1,5,3,-1,1,2,3,3, 98 , 8.8 , 0
51,1,3,0,4,0,1000,1,1,3,2, 946 , 94.4 , 0
52,1,1,0,1,4,1000,2,3,1,3, 1331 , 133.0 , 0
53,0,1,0,4,3,-1,2,3,1,1, 2936 , 293.6 , 0
54,0,1,0,2,-1,-1,2,3,3,1, 2970 , 296.9 , 0
55,1,3,1,5,1,1000,1,1,3,3, 653 , 65.2 , 0
56,1,3,0,2,3,1000,1,1,1,2, 1028 , 102.8 , 0
57,1,2,1,2,2,1000,2,1,1,3, 224 , 19.9 , 0
58,0,1,1,1,3,-1,1,1,2,2, 1954 , 195.4 , 0
59,1,2,1,4,0,-1,2,2,1,3, 493 , 49.2 , 0
6,0,1,0,2,3,1000,2,2,1,1, 2826 , 282.3 , 0
60,1,1,1,1,2,-1,1,3,1,2, 587 , 58.7 , 0
61,0,1,1,3,0,-1,1,2,1,3, 1775 , 177.3 , 0
62,1,2,0,4,1,-1,1,1,2,3, 878 , 87.7 , 0
63,1,3,0,4,1,-1,1,1,3,3, 767 , 76.7 , 0
64,1,3,0,5,3,-1,2,1,3,1, 1106 , 110.5 , 0
65,0,1,1,2,3,1000,1,2,2,1, 1649 , 164.6 , 0
66,0,3,1,2,0,1000,1,1,3,3, 1939 , 193.6 , 0
67,0,3,0,4,3,1000,1,2,1,2, 2808 , 280.6 , 0
68,1,3,1,3,4,-1,2,2,2,3, 241 , 24.1 , 0
69,0,1,1,4,2,1000,2,3,3,2, 1919 , 191.7 , 0
7,1,2,1,4,3,1000,2,1,1,3, 224 , 20.2 , 0
70,1,1,1,3,0,-1,1,1,3,1, 811 , 81.0 , 0
71,1,2,1,3,1,-1,1,2,1,1, 98 , 8.9 , 0
72,1,2,1,2,-1,1000,1,2,2,2, 83 , 8.3 , 0
73,0,1,1,3,3,1000,2,3,1,3, 1959 , 195.6 , 0
74,1,1,0,5,1,-1,2,1,2,3, 1085 , 108.5 , 0
75,1,3,0,2,4,-1,2,2,2,1, 486 , 48.6 , 0
76,0,1,1,2,4,-1,2,2,3,3, 2057 , 205.5 , 0
77,0,3,0,2,0,-1,1,2,3,3, 2667 , 266.7 , 0
78,1,3,1,3,3,-1,2,3,1,3, 489 , 48.8 , 0
79,0,2,1,1,1,-1,1,2,3,3, 2191 , 219.0 , 0
8,1,1,0,5,0,1000,1,2,2,3, 1439 , 143.7 , 0
80,1,1,1,2,0,1000,2,1,2,2, 729 , 72.8 , 0
81,1,2,1,3,3,-1,2,3,2,2, 548 , 54.7 , 0
82,0,2,0,2,0,-1,2,3,1,1, 2760 , 275.4 , 0
83,1,3,0,3,4,1000,2,3,1,2, 750 , 75.0 , 0
84,0,2,1,1,1,1000,1,1,1,2, 1939 , 193.6 , 0
85,0,3,0,5,2,1000,2,2,2,3, 2760 , 276.0 , 0
86,0,1,0,5,1,-1,2,2,3,3, 2970 , 296.4 , 0
87,0,1,0,4,1,1000,1,2,3,2, 3535 , 352.9 , 0
88,1,3,0,5,4,1000,1,3,3,2, 1285 , 128.2 , 0
89,1,2,1,4,-1,-1,1,1,1,2, 653 , 65.2 , 0
9,0,1,0,1,0,1000,1,1,2,3, 771 , 74.4 , 0
90,1,1,1,1,3,1000,1,1,1,3, 907 , 90.6 , 0
91,1,3,1,1,1,-1,2,2,1,1, 384 , 38.4 , 0
92,0,3,0,3,1,-1,2,1,1,2, 644 , 62.1 , 0
93,1,2,0,5,4,-1,2,1,3,3, 1135 , 113.3 , 0
94,1,2,0,5,4,1000,1,2,1,1, 1327 , 132.6 , 0
95,1,1,0,1,0,-1,1,1,1,2, 1500 , 149.8 , 0
96,0,1,0,5,2,-1,1,3,1,1, 3600 , 359.0 , 0
97,0,2,1,5,2,1000,1,2,2,2, 2098 , 209.8 , 0
98,0,1,1,5,3,1000,1,3,3,2, 1558 , 155.8 , 0
99,0,2,0,1,0,1000,1,3,3,2, 2667 , 266.2 , 0
