configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 31001 , 3082.4 , 8
1,1,3,0,1,4,1000,1,1,3,2, 31000 , 3070.4 , 7
10,0,2,0,2,2,-1,1,2,3,1, 31002 , 3084.4 , 8
11,0,1,0,3,2,1000,1,1,3,2, 16346 , 1629.3 , 2
12,1,3,0,5,0,-1,1,2,2,1, 18149 , 1810.4 , 4
13,0,2,1,3,1,1000,1,2,3,1, 31000 , 3088.0 , 8
14,1,2,0,1,4,-1,1,1,2,3, 31002 , 3088.6 , 8
15,0,3,0,3,4,1000,2,2,1,2, 41002 , 4084.4 , 10
16,1,2,1,1,4,-1,2,2,1,1, 26000 , 2593.1 , 6
17,1,1,1,2,-1,1000,1,1,3,1, 31003 , 3077.3 , 8
18,1,1,1,4,4,-1,1,3,2,2, 17667 , 1766.5 , 4
19,1,3,1,2,1,-1,2,1,3,3, 21003 , 2085.5 , 6
2,1,2,1,3,-1,1000,1,1,3,3, 31003 , 3090.0 , 8
20,0,3,0,4,0,-1,1,2,1,2, 41002 , 4084.5 , 10
21,1,2,0,2,4,-1,2,3,3,3, 21001 , 2093.0 , 6
22,0,1,0,5,1,-1,1,2,1,3, 41001 , 4084.8 , 10
23,1,1,1,4,0,-1,1,2,3,3, 26001 , 2593.9 , 7
24,1,1,0,2,0,-1,1,1,2,3, 31003 , 3089.6 , 7
25,0,1,1,5,0,-1,1,3,2,3, 7267 , 728.2 , 1
26,1,3,0,3,0,-1,2,1,2,3, 31001 , 3078.3 , 8
27,0,1,0,4,3,1000,1,3,2,3, 31003 , 3055.4 , 8
28,1,1,0,1,3,-1,2,3,3,2, 15423 , 1532.8 , 4
29,1,3,1,1,4,1000,2,1,2,3, 21004 , 2093.4 , 7
3,0,3,0,4,1,1000,1,3,2,2, 27057 , 2690.5 , 7
30,0,3,0,3,4,1000,2,3,1,1, 31001 , 3041.1 , 8
31,1,2,0,2,4,-1,2,3,3,1, 12652 , 1257.1 , 3
32,1,2,1,1,3,-1,2,2,2,3, 26000 , 2587.5 , 6
33,1,1,0,4,1,-1,2,3,1,2, 25263 , 2516.7 , 6
34,1,1,1,4,3,1000,2,2,2,2, 26004 , 2592.6 , 7
35,1,2,0,5,4,1000,2,1,1,3, 31002 , 3088.4 , 7
36,1,3,0,3,-1,-1,1,3,1,3, 15533 , 1537.7 , 4
37,0,2,1,4,-1,-1,2,2,3,2, 28048 , 2754.5 , 8
38,0,2,0,2,1,-1,2,3,1,3, 31000 , 3059.9 , 8
39,0,2,1,2,0,-1,1,3,3,3, 7838 , 781.6 , 1
4,0,1,1,5,4,1000,1,1,1,2, 26002 , 2590.2 , 6
40,0,3,0,3,3,1000,1,1,1,1, 27667 , 2766.1 , 8
41,1,2,0,4,3,1000,1,1,3,2, 31001 , 3089.1 , 7
42,1,1,0,2,0,1000,1,3,3,3, 9774 , 972.6 , 2
43,0,3,1,4,-1,-1,1,3,1,3, 7222 , 720.4 , 1
44,0,3,0,3,0,1000,1,2,2,2, 41001 , 4086.9 , 10
45,0,2,1,5,1,1000,1,2,3,1, 31000 , 3089.0 , 8
46,1,1,0,5,2,-1,2,2,2,3, 27672 , 2767.1 , 8
47,0,2,0,5,4,-1,2,2,2,3, 41002 , 4080.6 , 10
48,0,3,0,1,3,-1,1,2,2,2, 41001 , 4071.1 , 10
49,1,1,1,3,-1,-1,2,1,2,1, 21003 , 2092.7 , 6
