configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 74746 , 7461.1 , 15
1,1,3,0,1,4,1000,1,1,3,2, 73586 , 7346.6 , 14
10,0,2,0,2,2,-1,1,2,3,1, 76171 , 7559.0 , 15
11,0,1,0,3,2,1000,1,1,3,2, 78135 , 7769.4 , 15
12,1,3,0,5,0,-1,1,2,2,1, 73594 , 7319.3 , 14
13,0,2,1,3,1,1000,1,2,3,1, 76977 , 7648.9 , 15
14,1,2,0,1,4,-1,1,1,2,3, 78535 , 7819.3 , 15
15,0,3,0,3,4,1000,2,2,1,2, 87217 , 8686.5 , 16
16,1,2,1,1,4,-1,2,2,1,1, 86726 , 8670.3 , 16
17,1,1,1,2,-1,1000,1,1,3,1, 75005 , 7451.4 , 14
18,1,1,1,4,4,-1,1,3,2,2, 72903 , 7283.4 , 14
19,1,3,1,2,1,-1,2,1,3,3, 72556 , 7211.6 , 14
2,1,2,1,3,-1,1000,1,1,3,3, 77155 , 7671.6 , 15
20,0,3,0,4,0,-1,1,2,1,2, 87120 , 8647.7 , 16
21,1,2,0,2,4,-1,2,3,3,3, 71801 , 7140.3 , 14
22,0,1,0,5,1,-1,1,2,1,3, 87246 , 8711.7 , 16
23,1,1,1,4,0,-1,1,2,3,3, 77968 , 7756.0 , 15
24,1,1,0,2,0,-1,1,1,2,3, 74898 , 7459.2 , 14
25,0,1,1,5,0,-1,1,3,2,3, 78072 , 7777.6 , 15
26,1,3,0,3,0,-1,2,1,2,3, 69317 , 6900.1 , 13
27,0,1,0,4,3,1000,1,3,2,3, 84672 , 8406.5 , 16
28,1,1,0,1,3,-1,2,3,3,2, 77288 , 7683.8 , 15
29,1,3,1,1,4,1000,2,1,2,3, 68620 , 6810.6 , 14
3,0,3,0,4,1,1000,1,3,2,2, 82520 , 8210.8 , 15
30,0,3,0,3,4,1000,2,3,1,1, 87997 , 8782.5 , 16
31,1,2,0,2,4,-1,2,3,3,1, 72792 , 7252.1 , 14
32,1,2,1,1,3,-1,2,2,2,3, 69028 , 6863.9 , 14
