configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 9364 , 966.9 , 3
1,1,3,0,1,4,1000,1,1,3,2, 11001 , 1068.3 , 5
10,0,2,0,2,2,-1,1,2,3,1, 11001 , 1070.5 , 3
11,0,1,0,3,2,1000,1,1,3,2, 11001 , 1056.4 , 3
12,1,3,0,5,0,-1,1,2,2,1, 1001 , 98.1 , 0
13,0,2,1,3,1,1000,1,2,3,1, 11000 , 990.4 , 3
14,1,2,0,1,4,-1,1,1,2,3, 11001 , 1065.1 , 5
15,0,3,0,3,4,1000,2,2,1,2, 3248 , 318.3 , 0
16,1,2,1,1,4,-1,2,2,1,1, 10649 , 1063.9 , 3
17,1,1,1,2,-1,1000,1,1,3,1, 4382 , 429.5 , 1
18,1,1,1,4,4,-1,1,3,2,2, 7678 , 766.8 , 2
19,1,3,1,2,1,-1,2,1,3,3, 8612 , 857.4 , 2
2,1,2,1,3,-1,1000,1,1,3,3, 4382 , 430.3 , 1
20,0,3,0,4,0,-1,1,2,1,2, 11001 , 1053.2 , 3
21,1,2,0,2,4,-1,2,3,3,3, 9364 , 961.5 , 3
22,0,1,0,5,1,-1,1,2,1,3, 11001 , 1058.8 , 3
23,1,1,1,4,0,-1,1,2,3,3, 7299 , 728.0 , 2
24,1,1,0,2,0,-1,1,1,2,3, 11002 , 1097.2 , 4
25,0,1,1,5,0,-1,1,3,2,3, 11000 , 986.8 , 3
26,1,3,0,3,0,-1,2,1,2,3, 11000 , 1016.6 , 3
27,0,1,0,4,3,1000,1,3,2,3, 11001 , 1052.6 , 3
28,1,1,0,1,3,-1,2,3,3,2, 6210 , 620.8 , 1
29,1,3,1,1,4,1000,2,1,2,3, 8610 , 860.8 , 2
3,0,3,0,4,1,1000,1,3,2,2, 11001 , 1050.3 , 3
30,0,3,0,3,4,1000,2,3,1,1, 3248 , 318.8 , 0
31,1,2,0,2,4,-1,2,3,3,1, 9364 , 971.0 , 3
32,1,2,1,1,3,-1,2,2,2,3, 10649 , 1063.5 , 3
