configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 29821 , 2978.1 , 8
1,1,3,0,1,4,1000,1,1,3,2, 27495 , 2740.1 , 7
10,0,2,0,2,2,-1,1,2,3,1, 12661 , 1263.2 , 4
11,0,1,0,3,2,1000,1,1,3,2, 17157 , 1705.1 , 5
12,1,3,0,5,0,-1,1,2,2,1, 23001 , 2290.9 , 7
13,0,2,1,3,1,1000,1,2,3,1, 12250 , 1224.6 , 3
14,1,2,0,1,4,-1,1,1,2,3, 26521 , 2652.1 , 7
15,0,3,0,3,4,1000,2,2,1,2, 28578 , 2853.0 , 9
16,1,2,1,1,4,-1,2,2,1,1, 8117 , 810.6 , 2
17,1,1,1,2,-1,1000,1,1,3,1, 30924 , 3089.9 , 8
18,1,1,1,4,4,-1,1,3,2,2, 7670 , 765.8 , 2
19,1,3,1,2,1,-1,2,1,3,3, 29098 , 2905.0 , 7
2,1,2,1,3,-1,1000,1,1,3,3, 23002 , 2295.9 , 6
20,0,3,0,4,0,-1,1,2,1,2, 28954 , 2892.4 , 9
21,1,2,0,2,4,-1,2,3,3,3, 30462 , 3045.5 , 8
22,0,1,0,5,1,-1,1,2,1,3, 26173 , 2608.0 , 7
23,1,1,1,4,0,-1,1,2,3,3, 25508 , 2548.0 , 6
24,1,1,0,2,0,-1,1,1,2,3, 9384 , 938.4 , 2
25,0,1,1,5,0,-1,1,3,2,3, 26515 , 2644.3 , 10
26,1,3,0,3,0,-1,2,1,2,3, 30814 , 3079.4 , 9
27,0,1,0,4,3,1000,1,3,2,3, 4837 , 482.2 , 1
28,1,1,0,1,3,-1,2,3,3,2, 29759 , 2968.9 , 8
29,1,3,1,1,4,1000,2,1,2,3, 28505 , 2842.7 , 7
3,0,3,0,4,1,1000,1,3,2,2, 23314 , 2323.0 , 7
30,0,3,0,3,4,1000,2,3,1,1, 28316 , 2824.1 , 9
31,1,2,0,2,4,-1,2,3,3,1, 30647 , 3061.8 , 9
32,1,2,1,1,3,-1,2,2,2,3, 7821 , 777.7 , 2
33,1,1,0,4,1,-1,2,3,1,2, 31088 , 3104.2 , 8
34,1,1,1,4,3,1000,2,2,2,2, 25951 , 2580.5 , 7
35,1,2,0,5,4,1000,2,1,1,3, 29658 , 2963.3 , 9
36,1,3,0,3,-1,-1,1,3,1,3, 29284 , 2923.2 , 8
37,0,2,1,4,-1,-1,2,2,3,2, 13670 , 1351.5 , 4
38,0,2,0,2,1,-1,2,3,1,3, 23001 , 2294.3 , 7
39,0,2,1,2,0,-1,1,3,3,3, 29561 , 2948.4 , 9
4,0,1,1,5,4,1000,1,1,1,2, 30582 , 3051.8 , 8
40,0,3,0,3,3,1000,1,1,1,1, 12045 , 1202.0 , 3
41,1,2,0,4,3,1000,1,1,3,2, 30655 , 3059.1 , 8
42,1,1,0,2,0,1000,1,3,3,3, 30280 , 3024.4 , 8
43,0,3,1,4,-1,-1,1,3,1,3, 29797 , 2974.2 , 9
44,0,3,0,3,0,1000,1,2,2,2, 28406 , 2836.7 , 9
45,0,2,1,5,1,1000,1,2,3,1, 13003 , 1290.1 , 4
46,1,1,0,5,2,-1,2,2,2,3, 27509 , 2746.3 , 8
47,0,2,0,5,4,-1,2,2,2,3, 31252 , 3122.4 , 10
48,0,3,0,1,3,-1,1,2,2,2, 27228 , 2722.5 , 9
49,1,1,1,3,-1,-1,2,1,2,1, 30234 , 3015.0 , 8
5,1,2,1,5,-1,1000,1,2,3,3, 17667 , 1758.1 , 6
50,1,3,1,5,3,-1,1,2,3,3, 17671 , 1759.8 , 5
51,1,3,0,4,0,1000,1,1,3,2, 30282 , 3026.0 , 8
52,1,1,0,1,4,1000,2,3,1,3, 29567 , 2949.9 , 8
53,0,1,0,4,3,-1,2,3,1,1, 7207 , 720.4 , 2
54,0,1,0,2,-1,-1,2,3,3,1, 4513 , 448.6 , 1
55,1,3,1,5,1,1000,1,1,3,3, 29058 , 2904.7 , 8
56,1,3,0,2,3,1000,1,1,1,2, 23000 , 2283.8 , 6
57,1,2,1,2,2,1000,2,1,1,3, 27921 , 2789.7 , 7
58,0,1,1,1,3,-1,1,1,2,2, 29138 , 2912.5 , 8
59,1,2,1,4,0,-1,2,2,1,3, 17682 , 1760.7 , 6
6,0,1,0,2,3,1000,2,2,1,1, 30917 , 3087.6 , 8
60,1,1,1,1,2,-1,1,3,1,2, 7688 , 768.2 , 2
61,0,1,1,3,0,-1,1,2,1,3, 28295 , 2822.9 , 9
62,1,2,0,4,1,-1,1,1,2,3, 30144 , 3013.4 , 8
63,1,3,0,4,1,-1,1,1,3,3, 30282 , 3025.1 , 8
64,1,3,0,5,3,-1,2,1,3,1, 30041 , 3003.0 , 9
65,0,1,1,2,3,1000,1,2,2,1, 29163 , 2903.5 , 10
66,0,3,1,2,0,1000,1,1,3,3, 26169 , 2598.3 , 9
67,0,3,0,4,3,1000,1,2,1,2, 28675 , 2860.9 , 9
