configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 42662 , 4244.8 , 8
1,1,3,0,1,4,1000,1,1,3,2, 37770 , 3757.4 , 7
10,0,2,0,2,2,-1,1,2,3,1, 36568 , 3632.5 , 7
11,0,1,0,3,2,1000,1,1,3,2, 39456 , 3935.4 , 7
12,1,3,0,5,0,-1,1,2,2,1, 38284 , 3822.0 , 7
13,0,2,1,3,1,1000,1,2,3,1, 37666 , 3763.2 , 7
14,1,2,0,1,4,-1,1,1,2,3, 35000 , 3496.0 , 6
15,0,3,0,3,4,1000,2,2,1,2, 36320 , 3618.5 , 7
16,1,2,1,1,4,-1,2,2,1,1, 44907 , 4463.6 , 8
17,1,1,1,2,-1,1000,1,1,3,1, 44877 , 4480.9 , 8
18,1,1,1,4,4,-1,1,3,2,2, 46255 , 4607.3 , 8
19,1,3,1,2,1,-1,2,1,3,3, 43933 , 4369.2 , 8
2,1,2,1,3,-1,1000,1,1,3,3, 43688 , 4364.9 , 8
20,0,3,0,4,0,-1,1,2,1,2, 36960 , 3691.7 , 7
21,1,2,0,2,4,-1,2,3,3,3, 38331 , 3829.9 , 7
22,0,1,0,5,1,-1,1,2,1,3, 37934 , 3790.1 , 7
23,1,1,1,4,0,-1,1,2,3,3, 41939 , 4190.0 , 8
24,1,1,0,2,0,-1,1,1,2,3, 35001 , 3483.8 , 6
25,0,1,1,5,0,-1,1,3,2,3, 36683 , 3654.9 , 7
26,1,3,0,3,0,-1,2,1,2,3, 35000 , 3474.6 , 7
27,0,1,0,4,3,1000,1,3,2,3, 47352 , 4710.8 , 9
28,1,1,0,1,3,-1,2,3,3,2, 36295 , 3619.5 , 7
29,1,3,1,1,4,1000,2,1,2,3, 42279 , 4216.6 , 8
3,0,3,0,4,1,1000,1,3,2,2, 49875 , 4975.7 , 9
30,0,3,0,3,4,1000,2,3,1,1, 52876 , 5249.1 , 9
31,1,2,0,2,4,-1,2,3,3,1, 35799 , 3576.7 , 7
32,1,2,1,1,3,-1,2,2,2,3, 44074 , 4380.5 , 8
33,1,1,0,4,1,-1,2,3,1,2, 35810 , 3562.5 , 7
34,1,1,1,4,3,1000,2,2,2,2, 42024 , 4192.6 , 7
35,1,2,0,5,4,1000,2,1,1,3, 35000 , 3495.8 , 6
36,1,3,0,3,-1,-1,1,3,1,3, 32951 , 3276.3 , 6
37,0,2,1,4,-1,-1,2,2,3,2, 37535 , 3752.2 , 7
