configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 149264 , 14843.7 , 34
1,1,3,0,1,4,1000,1,1,3,2, 155725 , 15524.7 , 34
10,0,2,0,2,2,-1,1,2,3,1, 138650 , 13710.1 , 32
11,0,1,0,3,2,1000,1,1,3,2, 155878 , 15490.8 , 34
12,1,3,0,5,0,-1,1,2,2,1, 154161 , 15205.3 , 35
13,0,2,1,3,1,1000,1,2,3,1, 159261 , 15735.8 , 34
14,1,2,0,1,4,-1,1,1,2,3, 147262 , 14527.8 , 34
15,0,3,0,3,4,1000,2,2,1,2, 147479 , 14740.1 , 34
16,1,2,1,1,4,-1,2,2,1,1, 144857 , 14333.8 , 34
17,1,1,1,2,-1,1000,1,1,3,1, 154408 , 15401.1 , 34
18,1,1,1,4,4,-1,1,3,2,2, 151348 , 15058.0 , 35
19,1,3,1,2,1,-1,2,1,3,3, 149904 , 14919.5 , 33
2,1,2,1,3,-1,1000,1,1,3,3, 137531 , 13604.5 , 31
20,0,3,0,4,0,-1,1,2,1,2, 153230 , 15209.3 , 35
21,1,2,0,2,4,-1,2,3,3,3, 144757 , 14286.7 , 34
22,0,1,0,5,1,-1,1,2,1,3, 156309 , 15538.6 , 35
23,1,1,1,4,0,-1,1,2,3,3, 151232 , 15001.6 , 33
24,1,1,0,2,0,-1,1,1,2,3, 149696 , 14922.3 , 35
25,0,1,1,5,0,-1,1,3,2,3, 154188 , 15240.4 , 35
26,1,3,0,3,0,-1,2,1,2,3, 145851 , 14579.2 , 34
27,0,1,0,4,3,1000,1,3,2,3, 150023 , 14820.5 , 35
28,1,1,0,1,3,-1,2,3,3,2, 152516 , 15130.4 , 33
29,1,3,1,1,4,1000,2,1,2,3, 149639 , 14849.2 , 35
3,0,3,0,4,1,1000,1,3,2,2, 149047 , 14678.9 , 34
30,0,3,0,3,4,1000,2,3,1,1, 155463 , 15430.3 , 34
31,1,2,0,2,4,-1,2,3,3,1, 153671 , 15341.3 , 34
32,1,2,1,1,3,-1,2,2,2,3, 145718 , 14500.8 , 34
33,1,1,0,4,1,-1,2,3,1,2, 147479 , 14731.3 , 34
34,1,1,1,4,3,1000,2,2,2,2, 146115 , 14611.8 , 34
35,1,2,0,5,4,1000,2,1,1,3, 149728 , 14901.4 , 34
36,1,3,0,3,-1,-1,1,3,1,3, 148772 , 14710.7 , 34
37,0,2,1,4,-1,-1,2,2,3,2, 148307 , 14771.0 , 34
38,0,2,0,2,1,-1,2,3,1,3, 145671 , 14509.2 , 34
39,0,2,1,2,0,-1,1,3,3,3, 150018 , 14955.7 , 33
4,0,1,1,5,4,1000,1,1,1,2, 150644 , 14897.8 , 34
40,0,3,0,3,3,1000,1,1,1,1, 156892 , 15609.7 , 34
41,1,2,0,4,3,1000,1,1,3,2, 155878 , 15468.6 , 34
42,1,1,0,2,0,1000,1,3,3,3, 141213 , 14094.1 , 34
43,0,3,1,4,-1,-1,1,3,1,3, 157925 , 15607.7 , 35
44,0,3,0,3,0,1000,1,2,2,2, 149047 , 14707.5 , 34
45,0,2,1,5,1,1000,1,2,3,1, 156672 , 15603.3 , 34
46,1,1,0,5,2,-1,2,2,2,3, 144756 , 14353.1 , 34
47,0,2,0,5,4,-1,2,2,2,3, 144756 , 14294.1 , 34
48,0,3,0,1,3,-1,1,2,2,2, 149677 , 14904.6 , 35
49,1,1,1,3,-1,-1,2,1,2,1, 145945 , 14584.1 , 34
5,1,2,1,5,-1,1000,1,2,3,3, 154561 , 15368.4 , 34
50,1,3,1,5,3,-1,1,2,3,3, 154561 , 15411.6 , 34
51,1,3,0,4,0,1000,1,1,3,2, 155878 , 15525.2 , 34
52,1,1,0,1,4,1000,2,3,1,3, 150842 , 14978.7 , 34
53,0,1,0,4,3,-1,2,3,1,1, 155463 , 15421.9 , 34
54,0,1,0,2,-1,-1,2,3,3,1, 153671 , 15346.2 , 34
55,1,3,1,5,1,1000,1,1,3,3, 154561 , 15317.0 , 34
56,1,3,0,2,3,1000,1,1,1,2, 156588 , 15504.5 , 35
57,1,2,1,2,2,1000,2,1,1,3, 145017 , 14493.9 , 34
58,0,1,1,1,3,-1,1,1,2,2, 147243 , 14555.7 , 34
59,1,2,1,4,0,-1,2,2,1,3, 142808 , 14250.8 , 34
6,0,1,0,2,3,1000,2,2,1,1, 154515 , 15348.6 , 34
60,1,1,1,1,2,-1,1,3,1,2, 145749 , 14445.9 , 34
61,0,1,1,3,0,-1,1,2,1,3, 157925 , 15576.2 , 35
62,1,2,0,4,1,-1,1,1,2,3, 150023 , 14835.9 , 35
63,1,3,0,4,1,-1,1,1,3,3, 149727 , 14747.3 , 35
64,1,3,0,5,3,-1,2,1,3,1, 152227 , 15084.8 , 34
65,0,1,1,2,3,1000,1,2,2,1, 150327 , 14821.4 , 34
66,0,3,1,2,0,1000,1,1,3,3, 151861 , 15131.5 , 33
67,0,3,0,4,3,1000,1,2,1,2, 153230 , 15218.2 , 35
68,1,3,1,3,4,-1,2,2,2,3, 146893 , 14653.2 , 34
69,0,1,1,4,2,1000,2,3,3,2, 148307 , 14794.2 , 34
7,1,2,1,4,3,1000,2,1,1,3, 142808 , 14263.0 , 34
70,1,1,1,3,0,-1,1,1,3,1, 157122 , 15678.6 , 34
71,1,2,1,3,1,-1,1,2,1,1, 150469 , 15020.1 , 34
72,1,2,1,2,-1,1000,1,2,2,2, 145607 , 14353.8 , 34
73,0,1,1,3,3,1000,2,3,1,3, 144616 , 14448.7 , 34
