configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 187568 , 18701.4 , 39
1,1,3,0,1,4,1000,1,1,3,2, 191060 , 19025.8 , 40
10,0,2,0,2,2,-1,1,2,3,1, 193026 , 19230.7 , 40
11,0,1,0,3,2,1000,1,1,3,2, 190707 , 19007.1 , 39
12,1,3,0,5,0,-1,1,2,2,1, 191339 , 19132.9 , 39
13,0,2,1,3,1,1000,1,2,3,1, 191868 , 19117.1 , 40
14,1,2,0,1,4,-1,1,1,2,3, 186050 , 18550.4 , 39
15,0,3,0,3,4,1000,2,2,1,2, 188245 , 18750.1 , 39
16,1,2,1,1,4,-1,2,2,1,1, 187349 , 18706.9 , 39
17,1,1,1,2,-1,1000,1,1,3,1, 193739 , 19294.5 , 40
18,1,1,1,4,4,-1,1,3,2,2, 190833 , 19082.4 , 39
19,1,3,1,2,1,-1,2,1,3,3, 191451 , 19012.4 , 39
2,1,2,1,3,-1,1000,1,1,3,3, 189070 , 18821.8 , 39
20,0,3,0,4,0,-1,1,2,1,2, 194221 , 19379.9 , 40
21,1,2,0,2,4,-1,2,3,3,3, 193199 , 19332.1 , 40
22,0,1,0,5,1,-1,1,2,1,3, 193180 , 19308.1 , 40
23,1,1,1,4,0,-1,1,2,3,3, 189070 , 18885.1 , 39
24,1,1,0,2,0,-1,1,1,2,3, 192829 , 19190.8 , 40
25,0,1,1,5,0,-1,1,3,2,3, 189893 , 18925.0 , 39
26,1,3,0,3,0,-1,2,1,2,3, 184190 , 18407.1 , 39
27,0,1,0,4,3,1000,1,3,2,3, 195023 , 19500.3 , 40
28,1,1,0,1,3,-1,2,3,3,2, 185065 , 18456.6 , 39
29,1,3,1,1,4,1000,2,1,2,3, 187331 , 18717.6 , 39
3,0,3,0,4,1,1000,1,3,2,2, 191567 , 19142.4 , 40
30,0,3,0,3,4,1000,2,3,1,1, 187525 , 18681.7 , 39
31,1,2,0,2,4,-1,2,3,3,1, 191215 , 19101.5 , 39
32,1,2,1,1,3,-1,2,2,2,3, 187331 , 18722.6 , 39
33,1,1,0,4,1,-1,2,3,1,2, 184609 , 18421.4 , 39
34,1,1,1,4,3,1000,2,2,2,2, 182365 , 18216.3 , 39
35,1,2,0,5,4,1000,2,1,1,3, 190150 , 18970.8 , 40
36,1,3,0,3,-1,-1,1,3,1,3, 188063 , 18750.7 , 39
37,0,2,1,4,-1,-1,2,2,3,2, 186852 , 18616.5 , 39
38,0,2,0,2,1,-1,2,3,1,3, 189131 , 18831.8 , 39
39,0,2,1,2,0,-1,1,3,3,3, 194619 , 19385.4 , 40
4,0,1,1,5,4,1000,1,1,1,2, 191560 , 19060.9 , 40
40,0,3,0,3,3,1000,1,1,1,1, 189785 , 18975.9 , 39
41,1,2,0,4,3,1000,1,1,3,2, 190707 , 18973.2 , 39
42,1,1,0,2,0,1000,1,3,3,3, 195613 , 19446.3 , 40
43,0,3,1,4,-1,-1,1,3,1,3, 188619 , 18811.7 , 39
44,0,3,0,3,0,1000,1,2,2,2, 190708 , 19070.2 , 40
45,0,2,1,5,1,1000,1,2,3,1, 190892 , 19059.1 , 40
46,1,1,0,5,2,-1,2,2,2,3, 192009 , 19155.7 , 40
47,0,2,0,5,4,-1,2,2,2,3, 188520 , 18818.9 , 39
48,0,3,0,1,3,-1,1,2,2,2, 187672 , 18722.3 , 39
49,1,1,1,3,-1,-1,2,1,2,1, 187531 , 18702.4 , 39
5,1,2,1,5,-1,1000,1,2,3,3, 190869 , 19087.4 , 39
50,1,3,1,5,3,-1,1,2,3,3, 191924 , 19137.1 , 39
51,1,3,0,4,0,1000,1,1,3,2, 190707 , 19039.5 , 39
52,1,1,0,1,4,1000,2,3,1,3, 192829 , 19223.2 , 40
53,0,1,0,4,3,-1,2,3,1,1, 187525 , 18678.2 , 39
54,0,1,0,2,-1,-1,2,3,3,1, 191215 , 19055.5 , 39
55,1,3,1,5,1,1000,1,1,3,3, 191924 , 19117.1 , 39
56,1,3,0,2,3,1000,1,1,1,2, 191143 , 19113.9 , 40
57,1,2,1,2,2,1000,2,1,1,3, 188294 , 18813.5 , 40
58,0,1,1,1,3,-1,1,1,2,2, 185278 , 18513.2 , 39
59,1,2,1,4,0,-1,2,2,1,3, 180472 , 17997.5 , 39
6,0,1,0,2,3,1000,2,2,1,1, 184673 , 18418.4 , 38
60,1,1,1,1,2,-1,1,3,1,2, 187197 , 18719.3 , 39
61,0,1,1,3,0,-1,1,2,1,3, 187917 , 18733.5 , 39
62,1,2,0,4,1,-1,1,1,2,3, 191562 , 19146.8 , 40
63,1,3,0,4,1,-1,1,1,3,3, 186316 , 18608.1 , 39
64,1,3,0,5,3,-1,2,1,3,1, 181858 , 18176.2 , 39
65,0,1,1,2,3,1000,1,2,2,1, 195411 , 19465.1 , 40
66,0,3,1,2,0,1000,1,1,3,3, 194619 , 19426.1 , 40
67,0,3,0,4,3,1000,1,2,1,2, 195205 , 19472.4 , 40
68,1,3,1,3,4,-1,2,2,2,3, 192336 , 19195.5 , 40
69,0,1,1,4,2,1000,2,3,3,2, 186253 , 18612.3 , 39
7,1,2,1,4,3,1000,2,1,1,3, 180472 , 17975.2 , 39
70,1,1,1,3,0,-1,1,1,3,1, 192832 , 19199.7 , 40
71,1,2,1,3,1,-1,1,2,1,1, 198561 , 19849.8 , 41
72,1,2,1,2,-1,1000,1,2,2,2, 191178 , 19073.4 , 40
73,0,1,1,3,3,1000,2,3,1,3, 179639 , 17959.0 , 39
74,1,1,0,5,1,-1,2,1,2,3, 191316 , 19113.0 , 40
75,1,3,0,2,4,-1,2,2,2,1, 187568 , 18744.7 , 39
76,0,1,1,2,4,-1,2,2,3,3, 189744 , 18926.8 , 39
77,0,3,0,2,0,-1,1,2,3,3, 195613 , 19537.7 , 40
78,1,3,1,3,3,-1,2,3,1,3, 180472 , 17980.7 , 39
79,0,2,1,1,1,-1,1,2,3,3, 193129 , 19259.9 , 40
8,1,1,0,5,0,1000,1,2,2,3, 195187 , 19450.0 , 40
80,1,1,1,2,0,1000,2,1,2,2, 188761 , 18792.7 , 39
81,1,2,1,3,3,-1,2,3,2,2, 185790 , 18509.5 , 39
82,0,2,0,2,0,-1,2,3,1,1, 183500 , 18326.9 , 38
83,1,3,0,3,4,1000,2,3,1,2, 182636 , 18222.2 , 39
84,0,2,1,1,1,1000,1,1,1,2, 187197 , 18716.6 , 39
85,0,3,0,5,2,1000,2,2,2,3, 191316 , 19069.6 , 40
86,0,1,0,5,1,-1,2,2,3,3, 183743 , 18325.8 , 39
87,0,1,0,4,1,1000,1,2,3,2, 190707 , 18974.1 , 39
88,1,3,0,5,4,1000,1,3,3,2, 189433 , 18889.5 , 39
89,1,2,1,4,-1,-1,1,1,1,2, 192114 , 19167.2 , 40
9,0,1,0,1,0,1000,1,1,2,3, 190790 , 19011.5 , 40
90,1,1,1,1,3,1000,1,1,1,3, 189838 , 18961.2 , 39
91,1,3,1,1,1,-1,2,2,1,1, 187349 , 18670.4 , 39
92,0,3,0,3,1,-1,2,1,1,2, 187264 , 18648.4 , 39
93,1,2,0,5,4,-1,2,1,3,3, 183743 , 18360.7 , 39
94,1,2,0,5,4,1000,1,2,1,1, 191791 , 19160.8 , 40
95,1,1,0,1,0,-1,1,1,1,2, 188378 , 18824.9 , 39
96,0,1,0,5,2,-1,1,3,1,1, 192726 , 19238.0 , 40
97,0,2,1,5,2,1000,1,2,2,2, 189197 , 18889.8 , 39
98,0,1,1,5,3,1000,1,3,3,2, 192371 , 19202.8 , 40
99,0,2,0,1,0,1000,1,3,3,2, 191060 , 19076.5 , 40
