configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 142164 , 14112.7 , 33
1,1,3,0,1,4,1000,1,1,3,2, 149538 , 14921.0 , 35
10,0,2,0,2,2,-1,1,2,3,1, 149415 , 14908.5 , 34
11,0,1,0,3,2,1000,1,1,3,2, 131875 , 13112.5 , 32
12,1,3,0,5,0,-1,1,2,2,1, 150412 , 15066.9 , 35
13,0,2,1,3,1,1000,1,2,3,1, 146939 , 14578.9 , 34
14,1,2,0,1,4,-1,1,1,2,3, 138656 , 13848.4 , 33
15,0,3,0,3,4,1000,2,2,1,2, 145746 , 14517.4 , 34
16,1,2,1,1,4,-1,2,2,1,1, 150702 , 14997.8 , 35
17,1,1,1,2,-1,1000,1,1,3,1, 158785 , 15855.2 , 36
18,1,1,1,4,4,-1,1,3,2,2, 152353 , 15094.0 , 35
19,1,3,1,2,1,-1,2,1,3,3, 141716 , 14045.2 , 34
2,1,2,1,3,-1,1000,1,1,3,3, 145041 , 14358.4 , 34
20,0,3,0,4,0,-1,1,2,1,2, 139741 , 13840.5 , 33
21,1,2,0,2,4,-1,2,3,3,3, 130054 , 12909.6 , 32
22,0,1,0,5,1,-1,1,2,1,3, 150085 , 14926.4 , 35
23,1,1,1,4,0,-1,1,2,3,3, 145978 , 14535.3 , 34
24,1,1,0,2,0,-1,1,1,2,3, 149199 , 14791.5 , 35
25,0,1,1,5,0,-1,1,3,2,3, 163618 , 16268.6 , 37
26,1,3,0,3,0,-1,2,1,2,3, 145741 , 14493.2 , 34
27,0,1,0,4,3,1000,1,3,2,3, 142826 , 14262.7 , 34
28,1,1,0,1,3,-1,2,3,3,2, 143579 , 14226.0 , 34
29,1,3,1,1,4,1000,2,1,2,3, 145936 , 14527.1 , 34
3,0,3,0,4,1,1000,1,3,2,2, 138596 , 13738.8 , 33
30,0,3,0,3,4,1000,2,3,1,1, 151206 , 15064.6 , 35
31,1,2,0,2,4,-1,2,3,3,1, 150959 , 14946.4 , 35
