configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 27602 , 2754.6 , 11
1,1,3,0,1,4,1000,1,1,3,2, 26631 , 2655.6 , 11
10,0,2,0,2,2,-1,1,2,3,1, 30205 , 3014.3 , 12
11,0,1,0,3,2,1000,1,1,3,2, 30142 , 3009.7 , 12
12,1,3,0,5,0,-1,1,2,2,1, 25045 , 2495.7 , 10
13,0,2,1,3,1,1000,1,2,3,1, 27272 , 2716.6 , 11
14,1,2,0,1,4,-1,1,1,2,3, 26951 , 2688.2 , 11
15,0,3,0,3,4,1000,2,2,1,2, 31003 , 3098.4 , 12
16,1,2,1,1,4,-1,2,2,1,1, 27669 , 2761.5 , 11
17,1,1,1,2,-1,1000,1,1,3,1, 27083 , 2704.9 , 11
18,1,1,1,4,4,-1,1,3,2,2, 24003 , 2400.0 , 9
19,1,3,1,2,1,-1,2,1,3,3, 27668 , 2762.6 , 11
2,1,2,1,3,-1,1000,1,1,3,3, 27227 , 2713.9 , 11
20,0,3,0,4,0,-1,1,2,1,2, 30864 , 3084.3 , 12
21,1,2,0,2,4,-1,2,3,3,3, 27667 , 2761.5 , 11
22,0,1,0,5,1,-1,1,2,1,3, 29271 , 2926.8 , 12
23,1,1,1,4,0,-1,1,2,3,3, 27227 , 2716.5 , 11
24,1,1,0,2,0,-1,1,1,2,3, 26271 , 2621.2 , 11
25,0,1,1,5,0,-1,1,3,2,3, 24972 , 2488.8 , 9
26,1,3,0,3,0,-1,2,1,2,3, 30803 , 3069.0 , 12
27,0,1,0,4,3,1000,1,3,2,3, 30771 , 3074.5 , 12
28,1,1,0,1,3,-1,2,3,3,2, 30553 , 3045.0 , 12
29,1,3,1,1,4,1000,2,1,2,3, 24434 , 2441.7 , 9
3,0,3,0,4,1,1000,1,3,2,2, 29967 , 2994.7 , 12
30,0,3,0,3,4,1000,2,3,1,1, 31002 , 3078.8 , 12
31,1,2,0,2,4,-1,2,3,3,1, 30649 , 3064.6 , 12
32,1,2,1,1,3,-1,2,2,2,3, 24434 , 2443.3 , 9
33,1,1,0,4,1,-1,2,3,1,2, 30121 , 3006.8 , 12
34,1,1,1,4,3,1000,2,2,2,2, 25405 , 2531.2 , 10
35,1,2,0,5,4,1000,2,1,1,3, 29851 , 2980.6 , 12
36,1,3,0,3,-1,-1,1,3,1,3, 22983 , 2294.7 , 10
37,0,2,1,4,-1,-1,2,2,3,2, 30576 , 3048.9 , 12
38,0,2,0,2,1,-1,2,3,1,3, 31001 , 3089.3 , 12
39,0,2,1,2,0,-1,1,3,3,3, 27666 , 2755.1 , 11
4,0,1,1,5,4,1000,1,1,1,2, 27668 , 2749.5 , 11
40,0,3,0,3,3,1000,1,1,1,1, 29864 , 2984.7 , 12
41,1,2,0,4,3,1000,1,1,3,2, 26988 , 2697.8 , 11
42,1,1,0,2,0,1000,1,3,3,3, 26790 , 2671.3 , 11
43,0,3,1,4,-1,-1,1,3,1,3, 27499 , 2745.9 , 10
44,0,3,0,3,0,1000,1,2,2,2, 29502 , 2944.0 , 12
45,0,2,1,5,1,1000,1,2,3,1, 27666 , 2764.5 , 11
46,1,1,0,5,2,-1,2,2,2,3, 27667 , 2766.6 , 11
47,0,2,0,5,4,-1,2,2,2,3, 31000 , 3082.9 , 12
48,0,3,0,1,3,-1,1,2,2,2, 29872 , 2979.5 , 12
49,1,1,1,3,-1,-1,2,1,2,1, 27422 , 2739.5 , 10
5,1,2,1,5,-1,1000,1,2,3,3, 26990 , 2692.5 , 11
50,1,3,1,5,3,-1,1,2,3,3, 26990 , 2695.4 , 11
51,1,3,0,4,0,1000,1,1,3,2, 26838 , 2680.7 , 11
52,1,1,0,1,4,1000,2,3,1,3, 30173 , 3008.7 , 12
53,0,1,0,4,3,-1,2,3,1,1, 31002 , 3096.7 , 12
54,0,1,0,2,-1,-1,2,3,3,1, 31001 , 3094.6 , 12
55,1,3,1,5,1,1000,1,1,3,3, 26678 , 2667.5 , 11
56,1,3,0,2,3,1000,1,1,1,2, 26430 , 2640.8 , 11
57,1,2,1,2,2,1000,2,1,1,3, 29881 , 2984.0 , 12
58,0,1,1,1,3,-1,1,1,2,2, 23729 , 2366.1 , 9
59,1,2,1,4,0,-1,2,2,1,3, 29800 , 2976.9 , 12
6,0,1,0,2,3,1000,2,2,1,1, 31001 , 3089.6 , 12
60,1,1,1,1,2,-1,1,3,1,2, 27551 , 2754.0 , 11
61,0,1,1,3,0,-1,1,2,1,3, 27218 , 2720.0 , 10
