configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 86049 , 8596.8 , 25
1,1,3,0,1,4,1000,1,1,3,2, 71477 , 7115.0 , 23
10,0,2,0,2,2,-1,1,2,3,1, 76845 , 7676.5 , 24
11,0,1,0,3,2,1000,1,1,3,2, 77149 , 7707.5 , 24
12,1,3,0,5,0,-1,1,2,2,1, 79885 , 7971.5 , 24
13,0,2,1,3,1,1000,1,2,3,1, 74884 , 7482.2 , 23
14,1,2,0,1,4,-1,1,1,2,3, 76541 , 7640.5 , 24
15,0,3,0,3,4,1000,2,2,1,2, 84348 , 8402.1 , 25
16,1,2,1,1,4,-1,2,2,1,1, 82333 , 8233.1 , 25
17,1,1,1,2,-1,1000,1,1,3,1, 75995 , 7570.9 , 23
18,1,1,1,4,4,-1,1,3,2,2, 77245 , 7704.1 , 24
19,1,3,1,2,1,-1,2,1,3,3, 82147 , 8207.8 , 25
2,1,2,1,3,-1,1000,1,1,3,3, 74855 , 7454.1 , 23
20,0,3,0,4,0,-1,1,2,1,2, 73511 , 7331.3 , 23
21,1,2,0,2,4,-1,2,3,3,3, 86352 , 8632.2 , 25
22,0,1,0,5,1,-1,1,2,1,3, 76736 , 7647.6 , 24
23,1,1,1,4,0,-1,1,2,3,3, 75346 , 7515.4 , 23
24,1,1,0,2,0,-1,1,1,2,3, 76267 , 7617.9 , 24
25,0,1,1,5,0,-1,1,3,2,3, 74842 , 7453.8 , 23
26,1,3,0,3,0,-1,2,1,2,3, 90680 , 9020.4 , 26
27,0,1,0,4,3,1000,1,3,2,3, 76850 , 7677.6 , 24
28,1,1,0,1,3,-1,2,3,3,2, 84716 , 8448.6 , 25
29,1,3,1,1,4,1000,2,1,2,3, 82175 , 8179.8 , 25
3,0,3,0,4,1,1000,1,3,2,2, 76762 , 7635.4 , 24
30,0,3,0,3,4,1000,2,3,1,1, 83411 , 8312.9 , 25
31,1,2,0,2,4,-1,2,3,3,1, 87923 , 8789.5 , 26
32,1,2,1,1,3,-1,2,2,2,3, 81188 , 8102.4 , 25
33,1,1,0,4,1,-1,2,3,1,2, 80989 , 8083.8 , 24
34,1,1,1,4,3,1000,2,2,2,2, 86184 , 8596.8 , 25
35,1,2,0,5,4,1000,2,1,1,3, 85196 , 8486.9 , 25
36,1,3,0,3,-1,-1,1,3,1,3, 75523 , 7522.9 , 23
37,0,2,1,4,-1,-1,2,2,3,2, 85250 , 8519.8 , 25
38,0,2,0,2,1,-1,2,3,1,3, 81636 , 8137.6 , 25
39,0,2,1,2,0,-1,1,3,3,3, 73302 , 7323.7 , 23
4,0,1,1,5,4,1000,1,1,1,2, 73942 , 7368.9 , 23
40,0,3,0,3,3,1000,1,1,1,1, 70432 , 7033.3 , 22
41,1,2,0,4,3,1000,1,1,3,2, 76123 , 7573.5 , 23
42,1,1,0,2,0,1000,1,3,3,3, 73100 , 7293.0 , 23
43,0,3,1,4,-1,-1,1,3,1,3, 72880 , 7269.3 , 23
44,0,3,0,3,0,1000,1,2,2,2, 74618 , 7433.8 , 23
45,0,2,1,5,1,1000,1,2,3,1, 75194 , 7490.1 , 23
46,1,1,0,5,2,-1,2,2,2,3, 87435 , 8726.3 , 26
47,0,2,0,5,4,-1,2,2,2,3, 86060 , 8594.4 , 25
48,0,3,0,1,3,-1,1,2,2,2, 77013 , 7663.8 , 24
49,1,1,1,3,-1,-1,2,1,2,1, 86634 , 8662.4 , 26
5,1,2,1,5,-1,1000,1,2,3,3, 73188 , 7301.7 , 23
50,1,3,1,5,3,-1,1,2,3,3, 73188 , 7314.8 , 23
51,1,3,0,4,0,1000,1,1,3,2, 75622 , 7544.5 , 23
52,1,1,0,1,4,1000,2,3,1,3, 87228 , 8686.9 , 26
53,0,1,0,4,3,-1,2,3,1,1, 82916 , 8265.8 , 25
