configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 118503 , 11823.5 , 29
1,1,3,0,1,4,1000,1,1,3,2, 120210 , 11989.5 , 29
10,0,2,0,2,2,-1,1,2,3,1, 119864 , 11983.2 , 29
11,0,1,0,3,2,1000,1,1,3,2, 120697 , 12033.4 , 29
12,1,3,0,5,0,-1,1,2,2,1, 120208 , 12019.9 , 29
13,0,2,1,3,1,1000,1,2,3,1, 119021 , 11856.6 , 28
14,1,2,0,1,4,-1,1,1,2,3, 118421 , 11822.6 , 28
15,0,3,0,3,4,1000,2,2,1,2, 117053 , 11684.4 , 29
16,1,2,1,1,4,-1,2,2,1,1, 118024 , 11771.4 , 28
17,1,1,1,2,-1,1000,1,1,3,1, 120499 , 12033.6 , 29
18,1,1,1,4,4,-1,1,3,2,2, 119352 , 11900.9 , 29
19,1,3,1,2,1,-1,2,1,3,3, 120168 , 11984.3 , 29
2,1,2,1,3,-1,1000,1,1,3,3, 120035 , 11961.6 , 29
20,0,3,0,4,0,-1,1,2,1,2, 119417 , 11906.2 , 29
21,1,2,0,2,4,-1,2,3,3,3, 120262 , 12002.2 , 29
22,0,1,0,5,1,-1,1,2,1,3, 119950 , 11984.9 , 29
23,1,1,1,4,0,-1,1,2,3,3, 120035 , 11988.9 , 29
24,1,1,0,2,0,-1,1,1,2,3, 120049 , 11984.2 , 29
25,0,1,1,5,0,-1,1,3,2,3, 120304 , 12014.8 , 29
26,1,3,0,3,0,-1,2,1,2,3, 118919 , 11891.0 , 29
27,0,1,0,4,3,1000,1,3,2,3, 120275 , 11972.3 , 29
28,1,1,0,1,3,-1,2,3,3,2, 119373 , 11905.1 , 29
29,1,3,1,1,4,1000,2,1,2,3, 120604 , 12010.9 , 29
3,0,3,0,4,1,1000,1,3,2,2, 118193 , 11775.1 , 29
30,0,3,0,3,4,1000,2,3,1,1, 115927 , 11589.1 , 28
31,1,2,0,2,4,-1,2,3,3,1, 119431 , 11885.0 , 29
32,1,2,1,1,3,-1,2,2,2,3, 118952 , 11861.7 , 29
33,1,1,0,4,1,-1,2,3,1,2, 117632 , 11749.9 , 29
34,1,1,1,4,3,1000,2,2,2,2, 119310 , 11906.1 , 29
35,1,2,0,5,4,1000,2,1,1,3, 118936 , 11852.2 , 29
36,1,3,0,3,-1,-1,1,3,1,3, 118893 , 11857.2 , 29
37,0,2,1,4,-1,-1,2,2,3,2, 120406 , 12030.8 , 29
38,0,2,0,2,1,-1,2,3,1,3, 117957 , 11768.5 , 29
39,0,2,1,2,0,-1,1,3,3,3, 121504 , 12112.1 , 29
4,0,1,1,5,4,1000,1,1,1,2, 118417 , 11827.5 , 28
40,0,3,0,3,3,1000,1,1,1,1, 118334 , 11828.1 , 28
41,1,2,0,4,3,1000,1,1,3,2, 120151 , 11997.3 , 29
42,1,1,0,2,0,1000,1,3,3,3, 121863 , 12141.8 , 29
43,0,3,1,4,-1,-1,1,3,1,3, 118471 , 11803.8 , 28
44,0,3,0,3,0,1000,1,2,2,2, 118782 , 11820.6 , 29
45,0,2,1,5,1,1000,1,2,3,1, 120740 , 12054.1 , 29
46,1,1,0,5,2,-1,2,2,2,3, 119411 , 11911.9 , 29
47,0,2,0,5,4,-1,2,2,2,3, 119411 , 11920.3 , 29
48,0,3,0,1,3,-1,1,2,2,2, 120778 , 12033.6 , 29
49,1,1,1,3,-1,-1,2,1,2,1, 119550 , 11926.8 , 29
5,1,2,1,5,-1,1000,1,2,3,3, 120466 , 11994.5 , 29
50,1,3,1,5,3,-1,1,2,3,3, 119930 , 11991.7 , 29
51,1,3,0,4,0,1000,1,1,3,2, 120151 , 11997.7 , 29
52,1,1,0,1,4,1000,2,3,1,3, 118549 , 11846.4 , 29
53,0,1,0,4,3,-1,2,3,1,1, 115927 , 11574.3 , 28
54,0,1,0,2,-1,-1,2,3,3,1, 119431 , 11932.7 , 29
55,1,3,1,5,1,1000,1,1,3,3, 120466 , 12016.0 , 29
56,1,3,0,2,3,1000,1,1,1,2, 118839 , 11829.7 , 28
57,1,2,1,2,2,1000,2,1,1,3, 116784 , 11651.7 , 28
58,0,1,1,1,3,-1,1,1,2,2, 118670 , 11886.8 , 28
59,1,2,1,4,0,-1,2,2,1,3, 119392 , 11900.0 , 29
6,0,1,0,2,3,1000,2,2,1,1, 117396 , 11687.9 , 29
60,1,1,1,1,2,-1,1,3,1,2, 118087 , 11772.8 , 29
61,0,1,1,3,0,-1,1,2,1,3, 118471 , 11831.7 , 28
62,1,2,0,4,1,-1,1,1,2,3, 119712 , 11955.5 , 29
63,1,3,0,4,1,-1,1,1,3,3, 120352 , 12007.0 , 29
64,1,3,0,5,3,-1,2,1,3,1, 120462 , 12002.9 , 29
65,0,1,1,2,3,1000,1,2,2,1, 120848 , 12037.7 , 29
66,0,3,1,2,0,1000,1,1,3,3, 120916 , 12040.0 , 29
67,0,3,0,4,3,1000,1,2,1,2, 119417 , 11889.8 , 29
68,1,3,1,3,4,-1,2,2,2,3, 119136 , 11848.0 , 29
69,0,1,1,4,2,1000,2,3,3,2, 120406 , 12025.3 , 29
7,1,2,1,4,3,1000,2,1,1,3, 118822 , 11823.9 , 29
70,1,1,1,3,0,-1,1,1,3,1, 119021 , 11861.4 , 28
71,1,2,1,3,1,-1,1,2,1,1, 117426 , 11683.2 , 28
72,1,2,1,2,-1,1000,1,2,2,2, 121732 , 12144.6 , 29
73,0,1,1,3,3,1000,2,3,1,3, 118822 , 11858.3 , 29
74,1,1,0,5,1,-1,2,1,2,3, 119411 , 11938.0 , 29
75,1,3,0,2,4,-1,2,2,2,1, 119599 , 11923.7 , 29
76,0,1,1,2,4,-1,2,2,3,3, 119621 , 11957.1 , 29
77,0,3,0,2,0,-1,1,2,3,3, 121863 , 12157.2 , 29
78,1,3,1,3,3,-1,2,3,1,3, 118822 , 11865.7 , 29
79,0,2,1,1,1,-1,1,2,3,3, 120160 , 11987.6 , 29
8,1,1,0,5,0,1000,1,2,2,3, 121015 , 12069.7 , 29
80,1,1,1,2,0,1000,2,1,2,2, 119785 , 11978.4 , 29
81,1,2,1,3,3,-1,2,3,2,2, 119310 , 11914.4 , 29
82,0,2,0,2,0,-1,2,3,1,1, 116820 , 11675.9 , 28
83,1,3,0,3,4,1000,2,3,1,2, 117632 , 11711.5 , 29
84,0,2,1,1,1,1000,1,1,1,2, 118679 , 11855.4 , 29
85,0,3,0,5,2,1000,2,2,2,3, 119411 , 11929.8 , 29
86,0,1,0,5,1,-1,2,2,3,3, 120371 , 12000.6 , 29
87,0,1,0,4,1,1000,1,2,3,2, 120697 , 12016.6 , 29
88,1,3,0,5,4,1000,1,3,3,2, 119871 , 11932.9 , 29
89,1,2,1,4,-1,-1,1,1,1,2, 118057 , 11800.4 , 28
9,0,1,0,1,0,1000,1,1,2,3, 118421 , 11808.0 , 28
90,1,1,1,1,3,1000,1,1,1,3, 117821 , 11757.9 , 28
91,1,3,1,1,1,-1,2,2,1,1, 118024 , 11766.1 , 28
92,0,3,0,3,1,-1,2,1,1,2, 117632 , 11729.6 , 29
93,1,2,0,5,4,-1,2,1,3,3, 120371 , 11980.2 , 29
94,1,2,0,5,4,1000,1,2,1,1, 117929 , 11778.2 , 28
95,1,1,0,1,0,-1,1,1,1,2, 118658 , 11847.0 , 29
96,0,1,0,5,2,-1,1,3,1,1, 118446 , 11830.0 , 29
97,0,2,1,5,2,1000,1,2,2,2, 119995 , 11939.8 , 29
98,0,1,1,5,3,1000,1,3,3,2, 118110 , 11808.8 , 29
99,0,2,0,1,0,1000,1,3,3,2, 120210 , 12006.9 , 29
