configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 77958 , 7753.9 , 16
1,1,3,0,1,4,1000,1,1,3,2, 87508 , 8688.4 , 21
10,0,2,0,2,2,-1,1,2,3,1, 90422 , 8927.3 , 20
11,0,1,0,3,2,1000,1,1,3,2, 88871 , 8835.1 , 21
12,1,3,0,5,0,-1,1,2,2,1, 82010 , 8156.8 , 16
13,0,2,1,3,1,1000,1,2,3,1, 89271 , 8872.7 , 20
14,1,2,0,1,4,-1,1,1,2,3, 90353 , 8983.3 , 20
15,0,3,0,3,4,1000,2,2,1,2, 83821 , 8371.8 , 19
16,1,2,1,1,4,-1,2,2,1,1, 82744 , 8255.1 , 19
17,1,1,1,2,-1,1000,1,1,3,1, 86842 , 8604.2 , 19
18,1,1,1,4,4,-1,1,3,2,2, 85411 , 8522.2 , 18
19,1,3,1,2,1,-1,2,1,3,3, 83724 , 8360.0 , 18
2,1,2,1,3,-1,1000,1,1,3,3, 81843 , 8106.0 , 18
20,0,3,0,4,0,-1,1,2,1,2, 84988 , 8467.5 , 18
21,1,2,0,2,4,-1,2,3,3,3, 86843 , 8587.1 , 19
22,0,1,0,5,1,-1,1,2,1,3, 90024 , 8909.1 , 20
23,1,1,1,4,0,-1,1,2,3,3, 91839 , 9159.1 , 21
24,1,1,0,2,0,-1,1,1,2,3, 88639 , 8812.4 , 19
25,0,1,1,5,0,-1,1,3,2,3, 89192 , 8833.7 , 21
26,1,3,0,3,0,-1,2,1,2,3, 85691 , 8467.2 , 19
27,0,1,0,4,3,1000,1,3,2,3, 83399 , 8308.8 , 18
28,1,1,0,1,3,-1,2,3,3,2, 83708 , 8363.5 , 18
29,1,3,1,1,4,1000,2,1,2,3, 83940 , 8336.4 , 18
3,0,3,0,4,1,1000,1,3,2,2, 92351 , 9117.1 , 20
30,0,3,0,3,4,1000,2,3,1,1, 81087 , 8038.5 , 18
31,1,2,0,2,4,-1,2,3,3,1, 85792 , 8503.6 , 17
32,1,2,1,1,3,-1,2,2,2,3, 86002 , 8580.6 , 19
33,1,1,0,4,1,-1,2,3,1,2, 80820 , 8057.4 , 18
34,1,1,1,4,3,1000,2,2,2,2, 84613 , 8448.0 , 19
35,1,2,0,5,4,1000,2,1,1,3, 77670 , 7729.2 , 18
36,1,3,0,3,-1,-1,1,3,1,3, 86753 , 8574.8 , 18
37,0,2,1,4,-1,-1,2,2,3,2, 77434 , 7705.1 , 20
38,0,2,0,2,1,-1,2,3,1,3, 87142 , 8689.2 , 19
39,0,2,1,2,0,-1,1,3,3,3, 90629 , 9037.1 , 20
4,0,1,1,5,4,1000,1,1,1,2, 75944 , 7570.9 , 16
40,0,3,0,3,3,1000,1,1,1,1, 82872 , 8191.6 , 18
41,1,2,0,4,3,1000,1,1,3,2, 91948 , 9104.2 , 21
42,1,1,0,2,0,1000,1,3,3,3, 83195 , 8306.0 , 20
43,0,3,1,4,-1,-1,1,3,1,3, 78685 , 7795.2 , 16
44,0,3,0,3,0,1000,1,2,2,2, 87624 , 8759.1 , 20
45,0,2,1,5,1,1000,1,2,3,1, 88838 , 8811.2 , 21
46,1,1,0,5,2,-1,2,2,2,3, 90947 , 9004.7 , 21
47,0,2,0,5,4,-1,2,2,2,3, 81578 , 8099.2 , 17
48,0,3,0,1,3,-1,1,2,2,2, 92210 , 9114.3 , 21
49,1,1,1,3,-1,-1,2,1,2,1, 85135 , 8462.2 , 19
5,1,2,1,5,-1,1000,1,2,3,3, 92492 , 9174.8 , 22
50,1,3,1,5,3,-1,1,2,3,3, 88575 , 8782.1 , 19
51,1,3,0,4,0,1000,1,1,3,2, 89590 , 8854.1 , 21
52,1,1,0,1,4,1000,2,3,1,3, 84461 , 8373.6 , 19
53,0,1,0,4,3,-1,2,3,1,1, 85554 , 8479.7 , 19
54,0,1,0,2,-1,-1,2,3,3,1, 85886 , 8480.0 , 18
55,1,3,1,5,1,1000,1,1,3,3, 86700 , 8566.8 , 19
56,1,3,0,2,3,1000,1,1,1,2, 79256 , 7834.2 , 18
57,1,2,1,2,2,1000,2,1,1,3, 78866 , 7840.7 , 17
58,0,1,1,1,3,-1,1,1,2,2, 86922 , 8657.6 , 19
59,1,2,1,4,0,-1,2,2,1,3, 77758 , 7677.9 , 18
6,0,1,0,2,3,1000,2,2,1,1, 80096 , 7964.8 , 18
60,1,1,1,1,2,-1,1,3,1,2, 80349 , 8025.0 , 18
