configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 182157 , 18189.1 , 38
1,1,3,0,1,4,1000,1,1,3,2, 176131 , 17538.5 , 37
10,0,2,0,2,2,-1,1,2,3,1, 175139 , 17482.8 , 37
11,0,1,0,3,2,1000,1,1,3,2, 180886 , 17884.2 , 37
12,1,3,0,5,0,-1,1,2,2,1, 171940 , 16941.3 , 37
13,0,2,1,3,1,1000,1,2,3,1, 175050 , 17339.2 , 37
14,1,2,0,1,4,-1,1,1,2,3, 175599 , 17465.7 , 37
15,0,3,0,3,4,1000,2,2,1,2, 180448 , 18031.7 , 37
16,1,2,1,1,4,-1,2,2,1,1, 184007 , 18294.2 , 38
17,1,1,1,2,-1,1000,1,1,3,1, 173193 , 17314.2 , 36
18,1,1,1,4,4,-1,1,3,2,2, 174329 , 17317.1 , 37
19,1,3,1,2,1,-1,2,1,3,3, 174546 , 17355.6 , 37
2,1,2,1,3,-1,1000,1,1,3,3, 173520 , 17294.8 , 37
20,0,3,0,4,0,-1,1,2,1,2, 175186 , 17410.3 , 37
21,1,2,0,2,4,-1,2,3,3,3, 184259 , 18254.9 , 38
22,0,1,0,5,1,-1,1,2,1,3, 174643 , 17448.7 , 37
23,1,1,1,4,0,-1,1,2,3,3, 173520 , 17275.3 , 37
24,1,1,0,2,0,-1,1,1,2,3, 179804 , 17918.9 , 37
25,0,1,1,5,0,-1,1,3,2,3, 176407 , 17448.9 , 38
26,1,3,0,3,0,-1,2,1,2,3, 181911 , 18158.4 , 38
27,0,1,0,4,3,1000,1,3,2,3, 176370 , 17474.2 , 37
28,1,1,0,1,3,-1,2,3,3,2, 180914 , 18083.3 , 37
29,1,3,1,1,4,1000,2,1,2,3, 179471 , 17879.0 , 38
3,0,3,0,4,1,1000,1,3,2,2, 177771 , 17713.9 , 37
30,0,3,0,3,4,1000,2,3,1,1, 179415 , 17870.4 , 37
31,1,2,0,2,4,-1,2,3,3,1, 173671 , 17293.1 , 37
32,1,2,1,1,3,-1,2,2,2,3, 179471 , 17807.2 , 38
33,1,1,0,4,1,-1,2,3,1,2, 180448 , 18005.3 , 37
34,1,1,1,4,3,1000,2,2,2,2, 183066 , 18189.4 , 38
35,1,2,0,5,4,1000,2,1,1,3, 181468 , 18033.4 , 38
36,1,3,0,3,-1,-1,1,3,1,3, 174180 , 17407.8 , 37
37,0,2,1,4,-1,-1,2,2,3,2, 178887 , 17854.3 , 38
38,0,2,0,2,1,-1,2,3,1,3, 184090 , 18261.2 , 38
39,0,2,1,2,0,-1,1,3,3,3, 178888 , 17724.8 , 38
4,0,1,1,5,4,1000,1,1,1,2, 178228 , 17657.4 , 37
40,0,3,0,3,3,1000,1,1,1,1, 171849 , 17127.4 , 37
41,1,2,0,4,3,1000,1,1,3,2, 180074 , 17804.3 , 37
42,1,1,0,2,0,1000,1,3,3,3, 175008 , 17389.3 , 37
43,0,3,1,4,-1,-1,1,3,1,3, 175343 , 17372.2 , 37
44,0,3,0,3,0,1000,1,2,2,2, 177771 , 17734.6 , 37
45,0,2,1,5,1,1000,1,2,3,1, 177682 , 17568.7 , 37
46,1,1,0,5,2,-1,2,2,2,3, 180136 , 17926.6 , 37
47,0,2,0,5,4,-1,2,2,2,3, 180136 , 17944.4 , 37
48,0,3,0,1,3,-1,1,2,2,2, 178989 , 17702.1 , 37
49,1,1,1,3,-1,-1,2,1,2,1, 183808 , 18166.0 , 38
5,1,2,1,5,-1,1000,1,2,3,3, 173969 , 17372.3 , 37
50,1,3,1,5,3,-1,1,2,3,3, 171937 , 17011.7 , 36
51,1,3,0,4,0,1000,1,1,3,2, 180074 , 17842.8 , 37
52,1,1,0,1,4,1000,2,3,1,3, 175306 , 17409.0 , 37
53,0,1,0,4,3,-1,2,3,1,1, 179415 , 17924.5 , 37
54,0,1,0,2,-1,-1,2,3,3,1, 186644 , 18592.1 , 38
55,1,3,1,5,1,1000,1,1,3,3, 175949 , 17423.1 , 37
56,1,3,0,2,3,1000,1,1,1,2, 175032 , 17501.0 , 36
57,1,2,1,2,2,1000,2,1,1,3, 176531 , 17520.1 , 37
58,0,1,1,1,3,-1,1,1,2,2, 176520 , 17549.8 , 37
59,1,2,1,4,0,-1,2,2,1,3, 178933 , 17844.1 , 37
6,0,1,0,2,3,1000,2,2,1,1, 179116 , 17882.2 , 37
60,1,1,1,1,2,-1,1,3,1,2, 176032 , 17477.9 , 37
61,0,1,1,3,0,-1,1,2,1,3, 174844 , 17335.9 , 37
62,1,2,0,4,1,-1,1,1,2,3, 178290 , 17640.0 , 37
63,1,3,0,4,1,-1,1,1,3,3, 170113 , 16879.1 , 36
64,1,3,0,5,3,-1,2,1,3,1, 179821 , 17979.3 , 37
65,0,1,1,2,3,1000,1,2,2,1, 176791 , 17509.4 , 37
66,0,3,1,2,0,1000,1,1,3,3, 169468 , 16880.1 , 36
67,0,3,0,4,3,1000,1,2,1,2, 175186 , 17388.4 , 37
68,1,3,1,3,4,-1,2,2,2,3, 180971 , 17997.1 , 37
69,0,1,1,4,2,1000,2,3,3,2, 176928 , 17528.8 , 37
7,1,2,1,4,3,1000,2,1,1,3, 178933 , 17841.4 , 37
70,1,1,1,3,0,-1,1,1,3,1, 174063 , 17347.9 , 37
71,1,2,1,3,1,-1,1,2,1,1, 179312 , 17815.6 , 37
72,1,2,1,2,-1,1000,1,2,2,2, 175466 , 17514.0 , 36
73,0,1,1,3,3,1000,2,3,1,3, 180956 , 17875.0 , 37
74,1,1,0,5,1,-1,2,1,2,3, 180136 , 17963.0 , 37
75,1,3,0,2,4,-1,2,2,2,1, 182157 , 18131.2 , 38
76,0,1,1,2,4,-1,2,2,3,3, 181241 , 17979.0 , 38
77,0,3,0,2,0,-1,1,2,3,3, 175008 , 17351.8 , 37
78,1,3,1,3,3,-1,2,3,1,3, 178933 , 17832.3 , 37
79,0,2,1,1,1,-1,1,2,3,3, 176780 , 17574.7 , 37
8,1,1,0,5,0,1000,1,2,2,3, 180349 , 17919.6 , 37
80,1,1,1,2,0,1000,2,1,2,2, 184453 , 18370.0 , 38
81,1,2,1,3,3,-1,2,3,2,2, 181877 , 18111.2 , 38
82,0,2,0,2,0,-1,2,3,1,1, 182895 , 18153.3 , 37
83,1,3,0,3,4,1000,2,3,1,2, 180448 , 17996.9 , 37
84,0,2,1,1,1,1000,1,1,1,2, 179164 , 17718.8 , 37
85,0,3,0,5,2,1000,2,2,2,3, 178341 , 17790.9 , 37
86,0,1,0,5,1,-1,2,2,3,3, 182424 , 18073.3 , 38
87,0,1,0,4,1,1000,1,2,3,2, 180886 , 17844.9 , 37
88,1,3,0,5,4,1000,1,3,3,2, 167793 , 16764.9 , 36
89,1,2,1,4,-1,-1,1,1,1,2, 176519 , 17513.2 , 37
9,0,1,0,1,0,1000,1,1,2,3, 177680 , 17686.0 , 37
90,1,1,1,1,3,1000,1,1,1,3, 175278 , 17374.0 , 37
91,1,3,1,1,1,-1,2,2,1,1, 184007 , 18217.4 , 38
92,0,3,0,3,1,-1,2,1,1,2, 180448 , 18028.3 , 37
93,1,2,0,5,4,-1,2,1,3,3, 177925 , 17722.3 , 38
94,1,2,0,5,4,1000,1,2,1,1, 176763 , 17607.1 , 37
95,1,1,0,1,0,-1,1,1,1,2, 173940 , 17325.1 , 36
96,0,1,0,5,2,-1,1,3,1,1, 177877 , 17672.7 , 37
