configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 202099 , 20112.3 , 40
1,1,3,0,1,4,1000,1,1,3,2, 206310 , 20469.1 , 40
10,0,2,0,2,2,-1,1,2,3,1, 206056 , 20490.0 , 40
11,0,1,0,3,2,1000,1,1,3,2, 204208 , 20370.5 , 40
12,1,3,0,5,0,-1,1,2,2,1, 207410 , 20589.6 , 40
13,0,2,1,3,1,1000,1,2,3,1, 205123 , 20471.4 , 40
14,1,2,0,1,4,-1,1,1,2,3, 203077 , 20297.5 , 40
15,0,3,0,3,4,1000,2,2,1,2, 211279 , 21119.8 , 41
16,1,2,1,1,4,-1,2,2,1,1, 209722 , 20936.3 , 41
17,1,1,1,2,-1,1000,1,1,3,1, 203106 , 20097.2 , 39
18,1,1,1,4,4,-1,1,3,2,2, 204987 , 20309.4 , 40
19,1,3,1,2,1,-1,2,1,3,3, 211807 , 21025.4 , 41
2,1,2,1,3,-1,1000,1,1,3,3, 200760 , 20056.8 , 39
20,0,3,0,4,0,-1,1,2,1,2, 210549 , 20854.5 , 41
21,1,2,0,2,4,-1,2,3,3,3, 222023 , 22123.2 , 42
22,0,1,0,5,1,-1,1,2,1,3, 206814 , 20644.9 , 40
23,1,1,1,4,0,-1,1,2,3,3, 202425 , 20025.2 , 39
24,1,1,0,2,0,-1,1,1,2,3, 202054 , 20060.5 , 39
25,0,1,1,5,0,-1,1,3,2,3, 202159 , 20034.1 , 39
26,1,3,0,3,0,-1,2,1,2,3, 202564 , 20082.6 , 40
27,0,1,0,4,3,1000,1,3,2,3, 206938 , 20594.8 , 40
28,1,1,0,1,3,-1,2,3,3,2, 209962 , 20770.6 , 40
29,1,3,1,1,4,1000,2,1,2,3, 210566 , 20865.6 , 41
3,0,3,0,4,1,1000,1,3,2,2, 207111 , 20525.5 , 40
30,0,3,0,3,4,1000,2,3,1,1, 210359 , 20994.2 , 41
31,1,2,0,2,4,-1,2,3,3,1, 208340 , 20637.8 , 40
32,1,2,1,1,3,-1,2,2,2,3, 208725 , 20851.0 , 41
33,1,1,0,4,1,-1,2,3,1,2, 211279 , 21062.1 , 41
34,1,1,1,4,3,1000,2,2,2,2, 211290 , 20928.7 , 41
35,1,2,0,5,4,1000,2,1,1,3, 212469 , 21069.7 , 41
36,1,3,0,3,-1,-1,1,3,1,3, 185776 , 18567.8 , 38
37,0,2,1,4,-1,-1,2,2,3,2, 209780 , 20755.2 , 41
38,0,2,0,2,1,-1,2,3,1,3, 211892 , 21066.8 , 41
39,0,2,1,2,0,-1,1,3,3,3, 205373 , 20491.2 , 40
4,0,1,1,5,4,1000,1,1,1,2, 205220 , 20408.1 , 40
40,0,3,0,3,3,1000,1,1,1,1, 205993 , 20529.4 , 41
41,1,2,0,4,3,1000,1,1,3,2, 204208 , 20387.0 , 40
42,1,1,0,2,0,1000,1,3,3,3, 202112 , 20093.0 , 40
43,0,3,1,4,-1,-1,1,3,1,3, 202942 , 20242.9 , 39
44,0,3,0,3,0,1000,1,2,2,2, 207111 , 20603.8 , 40
45,0,2,1,5,1,1000,1,2,3,1, 203945 , 20212.8 , 40
46,1,1,0,5,2,-1,2,2,2,3, 207313 , 20721.6 , 40
47,0,2,0,5,4,-1,2,2,2,3, 212656 , 21087.6 , 41
48,0,3,0,1,3,-1,1,2,2,2, 206768 , 20634.8 , 40
49,1,1,1,3,-1,-1,2,1,2,1, 224708 , 22298.5 , 44
5,1,2,1,5,-1,1000,1,2,3,3, 221523 , 22041.2 , 43
50,1,3,1,5,3,-1,1,2,3,3, 221523 , 22089.8 , 43
51,1,3,0,4,0,1000,1,1,3,2, 204208 , 20396.8 , 40
52,1,1,0,1,4,1000,2,3,1,3, 212160 , 21067.2 , 42
53,0,1,0,4,3,-1,2,3,1,1, 210359 , 20991.4 , 41
54,0,1,0,2,-1,-1,2,3,3,1, 208174 , 20739.2 , 40
55,1,3,1,5,1,1000,1,1,3,3, 221523 , 22038.8 , 43
56,1,3,0,2,3,1000,1,1,1,2, 204895 , 20279.5 , 41
57,1,2,1,2,2,1000,2,1,1,3, 207018 , 20663.1 , 40
58,0,1,1,1,3,-1,1,1,2,2, 207786 , 20727.3 , 40
59,1,2,1,4,0,-1,2,2,1,3, 203934 , 20341.5 , 40
6,0,1,0,2,3,1000,2,2,1,1, 215458 , 21455.3 , 41
60,1,1,1,1,2,-1,1,3,1,2, 206125 , 20364.4 , 40
61,0,1,1,3,0,-1,1,2,1,3, 202942 , 20221.0 , 39
62,1,2,0,4,1,-1,1,1,2,3, 206938 , 20539.2 , 40
63,1,3,0,4,1,-1,1,1,3,3, 206471 , 20572.8 , 41
64,1,3,0,5,3,-1,2,1,3,1, 211078 , 21002.8 , 41
65,0,1,1,2,3,1000,1,2,2,1, 205074 , 20407.7 , 41
66,0,3,1,2,0,1000,1,1,3,3, 205373 , 20482.8 , 40
67,0,3,0,4,3,1000,1,2,1,2, 210549 , 20897.6 , 41
