configurationID,--boost,--carduse,--decompose,--gluescale,--lkhd,--memlim,--minimize,--prbsimple,--sweepirr,--sweepred,conflicts,cps,reductions
0,1,3,0,2,4,1000,2,3,2,1, 187118 , 18566.8 , 38
1,1,3,0,1,4,1000,1,1,3,2, 182056 , 18042.8 , 38
10,0,2,0,2,2,-1,1,2,3,1, 179404 , 17802.0 , 36
11,0,1,0,3,2,1000,1,1,3,2, 188416 , 18808.3 , 39
12,1,3,0,5,0,-1,1,2,2,1, 179079 , 17694.0 , 36
13,0,2,1,3,1,1000,1,2,3,1, 174638 , 17303.6 , 36
14,1,2,0,1,4,-1,1,1,2,3, 175116 , 17423.3 , 35
15,0,3,0,3,4,1000,2,2,1,2, 178108 , 17739.0 , 36
16,1,2,1,1,4,-1,2,2,1,1, 176773 , 17521.5 , 36
17,1,1,1,2,-1,1000,1,1,3,1, 171572 , 17010.4 , 35
18,1,1,1,4,4,-1,1,3,2,2, 172546 , 17108.1 , 35
19,1,3,1,2,1,-1,2,1,3,3, 181654 , 18106.5 , 37
2,1,2,1,3,-1,1000,1,1,3,3, 181157 , 17914.2 , 36
20,0,3,0,4,0,-1,1,2,1,2, 183998 , 18279.1 , 37
21,1,2,0,2,4,-1,2,3,3,3, 178354 , 17755.7 , 36
22,0,1,0,5,1,-1,1,2,1,3, 179583 , 17763.4 , 37
23,1,1,1,4,0,-1,1,2,3,3, 181157 , 17938.0 , 36
24,1,1,0,2,0,-1,1,1,2,3, 176132 , 17457.0 , 36
25,0,1,1,5,0,-1,1,3,2,3, 171072 , 17035.7 , 35
26,1,3,0,3,0,-1,2,1,2,3, 178854 , 17834.2 , 36
27,0,1,0,4,3,1000,1,3,2,3, 174544 , 17417.1 , 35
28,1,1,0,1,3,-1,2,3,3,2, 186558 , 18568.6 , 39
29,1,3,1,1,4,1000,2,1,2,3, 177408 , 17732.9 , 36
3,0,3,0,4,1,1000,1,3,2,2, 191463 , 19103.1 , 39
30,0,3,0,3,4,1000,2,3,1,1, 188767 , 18822.4 , 38
31,1,2,0,2,4,-1,2,3,3,1, 182074 , 18055.9 , 37
32,1,2,1,1,3,-1,2,2,2,3, 178997 , 17733.7 , 36
33,1,1,0,4,1,-1,2,3,1,2, 181184 , 17946.6 , 36
34,1,1,1,4,3,1000,2,2,2,2, 182603 , 18094.4 , 37
35,1,2,0,5,4,1000,2,1,1,3, 191338 , 18988.2 , 39
36,1,3,0,3,-1,-1,1,3,1,3, 178031 , 17649.9 , 36
37,0,2,1,4,-1,-1,2,2,3,2, 177428 , 17549.6 , 36
38,0,2,0,2,1,-1,2,3,1,3, 192607 , 19159.0 , 39
39,0,2,1,2,0,-1,1,3,3,3, 182818 , 18044.9 , 37
4,0,1,1,5,4,1000,1,1,1,2, 172145 , 17150.7 , 35
40,0,3,0,3,3,1000,1,1,1,1, 176720 , 17470.8 , 35
41,1,2,0,4,3,1000,1,1,3,2, 180270 , 17949.3 , 38
42,1,1,0,2,0,1000,1,3,3,3, 179661 , 17792.2 , 36
43,0,3,1,4,-1,-1,1,3,1,3, 174225 , 17361.3 , 35
44,0,3,0,3,0,1000,1,2,2,2, 191463 , 18970.4 , 39
45,0,2,1,5,1,1000,1,2,3,1, 172824 , 17043.2 , 35
46,1,1,0,5,2,-1,2,2,2,3, 178337 , 17809.3 , 36
47,0,2,0,5,4,-1,2,2,2,3, 179587 , 17942.3 , 37
48,0,3,0,1,3,-1,1,2,2,2, 182003 , 18194.3 , 38
49,1,1,1,3,-1,-1,2,1,2,1, 181618 , 18127.1 , 36
5,1,2,1,5,-1,1000,1,2,3,3, 173418 , 17325.1 , 35
50,1,3,1,5,3,-1,1,2,3,3, 175087 , 17343.9 , 35
51,1,3,0,4,0,1000,1,1,3,2, 180270 , 17930.1 , 38
52,1,1,0,1,4,1000,2,3,1,3, 191566 , 19137.9 , 39
53,0,1,0,4,3,-1,2,3,1,1, 188767 , 18876.5 , 38
54,0,1,0,2,-1,-1,2,3,3,1, 181198 , 17933.6 , 36
55,1,3,1,5,1,1000,1,1,3,3, 175087 , 17317.9 , 35
56,1,3,0,2,3,1000,1,1,1,2, 185760 , 18393.0 , 38
57,1,2,1,2,2,1000,2,1,1,3, 179254 , 17698.7 , 36
58,0,1,1,1,3,-1,1,1,2,2, 175636 , 17524.3 , 35
59,1,2,1,4,0,-1,2,2,1,3, 185517 , 18477.4 , 37
6,0,1,0,2,3,1000,2,2,1,1, 192872 , 19082.6 , 39
60,1,1,1,1,2,-1,1,3,1,2, 175117 , 17461.6 , 35
61,0,1,1,3,0,-1,1,2,1,3, 174225 , 17404.6 , 35
62,1,2,0,4,1,-1,1,1,2,3, 176053 , 17404.7 , 35
63,1,3,0,4,1,-1,1,1,3,3, 171699 , 17006.0 , 35
64,1,3,0,5,3,-1,2,1,3,1, 177202 , 17586.3 , 36
65,0,1,1,2,3,1000,1,2,2,1, 171842 , 17115.0 , 35
66,0,3,1,2,0,1000,1,1,3,3, 182818 , 18044.3 , 37
67,0,3,0,4,3,1000,1,2,1,2, 183998 , 18275.7 , 37
68,1,3,1,3,4,-1,2,2,2,3, 173849 , 17187.5 , 35
69,0,1,1,4,2,1000,2,3,3,2, 177428 , 17587.1 , 36
7,1,2,1,4,3,1000,2,1,1,3, 185517 , 18487.7 , 37
70,1,1,1,3,0,-1,1,1,3,1, 171764 , 17005.9 , 35
71,1,2,1,3,1,-1,1,2,1,1, 176476 , 17512.7 , 35
72,1,2,1,2,-1,1000,1,2,2,2, 174077 , 17190.4 , 35
73,0,1,1,3,3,1000,2,3,1,3, 185517 , 18514.6 , 37
74,1,1,0,5,1,-1,2,1,2,3, 179541 , 17780.2 , 36
75,1,3,0,2,4,-1,2,2,2,1, 187118 , 18592.2 , 38
76,0,1,1,2,4,-1,2,2,3,3, 181654 , 18067.6 , 37
77,0,3,0,2,0,-1,1,2,3,3, 179519 , 17804.8 , 36
78,1,3,1,3,3,-1,2,3,1,3, 185517 , 18470.5 , 37
79,0,2,1,1,1,-1,1,2,3,3, 171070 , 16924.7 , 35
8,1,1,0,5,0,1000,1,2,2,3, 176389 , 17569.1 , 35
80,1,1,1,2,0,1000,2,1,2,2, 177404 , 17672.5 , 36
81,1,2,1,3,3,-1,2,3,2,2, 182496 , 18153.0 , 37
82,0,2,0,2,0,-1,2,3,1,1, 192872 , 19133.0 , 39
83,1,3,0,3,4,1000,2,3,1,2, 181184 , 17918.8 , 36
84,0,2,1,1,1,1000,1,1,1,2, 175117 , 17475.3 , 35
85,0,3,0,5,2,1000,2,2,2,3, 181367 , 17938.8 , 37
86,0,1,0,5,1,-1,2,2,3,3, 178253 , 17676.4 , 36
87,0,1,0,4,1,1000,1,2,3,2, 188416 , 18779.5 , 39
88,1,3,0,5,4,1000,1,3,3,2, 190197 , 18868.1 , 40
89,1,2,1,4,-1,-1,1,1,1,2, 173405 , 17177.3 , 35
9,0,1,0,1,0,1000,1,1,2,3, 175116 , 17462.4 , 35
90,1,1,1,1,3,1000,1,1,1,3, 172088 , 17179.2 , 35
91,1,3,1,1,1,-1,2,2,1,1, 180476 , 18044.2 , 36
92,0,3,0,3,1,-1,2,1,1,2, 180281 , 17944.9 , 36
93,1,2,0,5,4,-1,2,1,3,3, 170654 , 16891.1 , 35
94,1,2,0,5,4,1000,1,2,1,1, 176977 , 17579.7 , 35
95,1,1,0,1,0,-1,1,1,1,2, 170197 , 16907.6 , 35
96,0,1,0,5,2,-1,1,3,1,1, 176977 , 17618.7 , 35
