--jitless,--experimental-wasm-modules,--experimental-vm-modules,--preserve-symlinks-main,--no-warnings,--node-memory-debug,ops
0,0,1,1,0,0,0.20890557461395948
1,0,1,1,1,0,0.2035944485354847
0,0,0,0,0,0,0.2101775243290838
1,0,1,0,1,0,0.2065981175292132
0,0,0,1,0,1,0.19618136813215578
1,0,0,1,0,1,0.19471889959037386
1,1,0,0,1,0,0.20526278873188433
0,1,1,1,1,1,0.19910683791448502
0,0,1,1,1,0,0.20796947003728974
0,1,1,1,1,0,0.2099628287107848
1,0,1,0,0,1,0.19415588018226754
1,0,0,0,0,1,0.1914540124153853
0,0,1,0,0,1,0.19533409238683974
0,0,1,1,0,1,0.19848940776596935
1,1,0,1,1,1,0.19502305956850113
0,1,0,1,1,0,0.21050053747424888
1,0,1,1,0,1,0.19169709644169391
0,1,0,0,1,1,0.19811953105799968
1,0,0,0,1,0,0.20673577838295623
1,0,0,1,1,1,0.19636407138856013
1,1,1,0,0,0,0.20559864840768055
1,0,1,1,0,0,0.2033177949767725
1,0,0,1,1,0,0.2023086047497875
0,0,0,1,0,0,0.2085734861133711
1,1,1,1,1,0,0.20209548943889125
1,0,1,1,1,1,0.1916748559422765
1,0,0,1,0,0,0.2059357868588721
1,1,0,1,1,0,0.19926825739191112
1,1,1,1,1,1,0.18899022833689222
1,1,1,0,1,0,0.20460354638668815
0,0,0,1,1,1,0.19642087439533354
0,1,1,0,0,0,0.20996129171309758
0,0,1,0,1,1,0.19734119527304722
1,1,1,1,0,0,0.20422436234113334
0,0,0,0,1,1,0.19764511971975585
1,1,1,1,0,1,0.1925187322281393
1,1,0,0,0,0,0.20225997010689134
1,1,0,0,0,1,0.1962694154604658
0,0,1,0,0,0,0.209952416858299
1,1,0,1,0,0,0.2051715104050918
1,0,0,0,1,1,0.19406920510805248
1,0,0,0,0,0,0.20436058483935554
0,1,1,1,0,1,0.1932937340561184
0,1,0,0,0,0,0.20602174917785937
0,1,1,0,1,1,0.19876790932217836
1,0,1,0,0,0,0.20518704892246467
0,1,1,0,0,1,0.19787085812145638
0,1,0,0,0,1,0.19948858184340404
0,1,0,1,1,1,0.1990767359316466
0,0,1,1,1,1,0.19994547138802207
