configurationID,format,j,jp2,jbig2,ccitt,size,time
0,tiff,1,1,1,1,9685140,3.018
1,tiff,1,1,0,1,9685144,2.948
10,png,1,0,1,1,6569425,14.812
11,png,1,0,0,1,6569448,14.851
12,png,0,1,0,0,8845496,17.058
13,png,0,0,0,0,8845533,16.92
14,png,0,0,0,1,8845526,16.919
15,png,0,1,1,0,8845520,16.801
2,tiff,1,0,1,1,9685132,2.94
3,tiff,1,0,0,1,9685126,2.972
4,tiff,0,1,0,0,13253595,3.184
5,tiff,0,0,0,0,13253516,3.147
6,tiff,0,0,0,1,13253590,3.199
7,tiff,0,1,1,0,13253603,3.107
8,png,1,1,1,1,6569449,14.782
9,png,1,1,0,1,6569450,14.813
