configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,52954642,13.21,1.21, 0:01.77,811,479,367.63,21204.87
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,27035009,52.57,1.34, 0:04.42,1219,479,120.89,10825.75
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,18989431,46.02,1.3, 0:03.47,1361,479,160.11,7604.03
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,18988220,53.26,1.42, 0:03.67,1489,479,153.78,7603.54
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,34621335,94.98,1.39, 0:04.97,1935,479,108.41,13863.58
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,36239014,66.2,1.26, 0:03.31,2037,479,167.68,14511.36
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,34174654,52.61,1.01, 0:02.85,1881,479,201.49,13684.72
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,33651622,47.64,0.96, 0:02.88,1684,479,199.09,13475.28
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,32535591,46.05,1.4, 0:04.26,1112,479,125.67,13028.38
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,29684661,52.56,1.3, 0:03.95,1363,479,137.52,11886.77
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,23060860,49.2,1.36, 0:04.32,1170,479,127.06,9234.37
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,28453987,18.3,1.27, 0:01.94,1006,479,337.93,11393.96
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,37418783,117.08,1.17, 0:05.76,2051,479,91.68,14983.78
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,33853555,75.66,1.57, 0:05.20,1483,479,102.85,13556.14
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,33170581,82.99,1.41, 0:05.18,1628,479,103.43,13282.65
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,31404921,64.78,1.34, 0:04.58,1440,479,118.01,12575.62
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,23171462,74.65,1.19, 0:04.80,1577,479,110.2,9278.66
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,32203437,110.39,1.2, 0:07.56,1475,479,67.41,12895.37
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,33862746,72.78,1.29, 0:04.88,1516,479,110.24,13559.82
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,39506435,78.4,1.5, 0:04.81,1658,479,112.14,15819.75
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,26132530,70.27,1.66, 0:05.58,1288,479,95.03,10464.37
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,26129710,70.13,1.89, 0:05.01,1437,479,107.36,10463.24
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,28453987,18.66,1.24, 0:01.92,1034,479,342.59,11393.96
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,19623375,62.44,1.61, 0:05.53,1158,479,96.15,7857.88
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,26142437,70.94,1.84, 0:05.70,1276,479,92.89,10468.34
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,28413453,111.11,1.76, 0:09.88,1142,479,51.31,11377.73
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,17885343,63.44,1.39, 0:03.63,1782,479,153.04,7161.91
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,19816557,60.15,1.65, 0:04.12,1497,479,134.09,7935.24
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,20272925,62.54,1.49, 0:03.71,1722,479,151.03,8117.98
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,27883621,50.58,1.88, 0:04.13,1269,479,133.88,11165.57
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,28078300,52.39,1.66, 0:04.19,1288,479,131.13,11243.52
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,31322972,58.4,1.7, 0:04.07,1474,479,135.7,12542.8
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,32106070,41.22,1.41, 0:02.73,1560,479,218.35,12856.38
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,52624313,13.14,1.29, 0:01.89,763,479,355.8,21072.6
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,31364616,50.48,1.31, 0:02.74,1886,479,217.03,12559.48
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,31205801,55.12,1.68, 0:03.11,1822,479,186.33,12495.88
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,31227209,47.87,1.53, 0:02.80,1759,479,211.55,12504.46
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,33862746,72.71,1.51, 0:04.88,1521,479,110.73,13559.82
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,46034239,101.0,1.17, 0:08.03,1271,479,63.9,18433.7
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,20246866,54.85,1.09, 0:05.00,1118,479,106.38,8107.55
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,41325957,55.52,1.05, 0:05.06,1118,479,105.95,16548.35
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,38657686,681.1,1.61, 0:27.53,2479,479,17.77,15479.88
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,20311406,845.82,1.55, 0:36.52,2319,479,13.31,8133.39
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,24506157,309.82,1.78, 0:14.22,2191,479,35.07,9813.11
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,52954642,13.62,0.93, 0:01.72,844,479,393.02,21204.87
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,23805911,150.73,1.56, 0:09.25,1645,479,55.03,9532.71
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,33917705,360.49,1.39, 0:20.93,1728,479,23.42,13581.82
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,23323945,297.14,1.54, 0:18.39,1624,479,26.81,9339.72
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,40411805,480.23,1.5, 0:27.61,1744,479,17.69,16182.29
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,37859619,234.57,1.5, 0:13.08,1804,479,37.97,15160.3
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,34268740,163.14,1.67, 0:09.18,1795,479,55.54,13722.39
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,30311033,72.9,1.53, 0:05.18,1436,479,103.57,12137.59
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,27412390,197.05,1.54, 0:12.14,1634,479,41.3,10976.87
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,27374028,200.39,1.37, 0:12.23,1649,479,41.04,10961.51
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,35282864,86.93,1.28, 0:04.61,1911,479,118.04,14128.48
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,52954642,13.87,0.94, 0:01.88,784,479,358.45,21204.87
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,40781591,251.6,1.51, 0:14.48,1747,479,34.38,16330.36
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,37745830,159.76,1.56, 0:08.89,1814,479,57.4,15114.74
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,37797923,157.26,1.46, 0:08.70,1823,479,58.71,15135.6
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,37853198,153.23,1.54, 0:08.56,1807,479,59.4,15157.73
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,32575867,78.5,1.34, 0:04.28,1864,479,128.5,13044.51
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,24696896,133.71,1.38, 0:07.55,1788,479,68.4,9889.49
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,31812743,335.41,1.51, 0:14.67,2296,479,33.73,12738.92
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,33459544,281.13,1.67, 0:13.82,2046,479,36.12,13398.36
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,32860362,415.79,1.74, 0:18.38,2270,479,26.86,13158.43
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,27947570,181.68,1.86, 0:08.56,2143,479,59.69,11191.18
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,52954642,13.02,1.21, 0:01.76,806,479,382.41,21204.87
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,27250622,61.2,1.24, 0:05.54,1127,479,94.36,10912.09
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,34396751,202.77,1.72, 0:09.55,2140,479,52.64,13773.65
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,23830127,193.62,1.4, 0:12.21,1596,479,40.97,9542.41
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,23929317,91.79,1.19, 0:07.00,1326,479,73.68,9582.13
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,20230274,103.69,1.73, 0:05.58,1886,479,93.9,8100.9
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,26875250,136.12,1.59, 0:08.96,1536,479,56.83,10761.78
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,21680952,72.49,1.33, 0:05.58,1323,479,94.51,8681.8
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,32892905,137.13,1.46, 0:07.64,1813,479,67.5,13171.46
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,28193149,154.28,1.51, 0:10.85,1435,479,46.48,11289.51
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,29994913,246.83,1.67, 0:13.22,1879,479,37.8,12011.0
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,52829050,13.61,1.25, 0:01.89,782,479,351.78,21154.58
171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,33056383,262.16,1.78, 0:12.90,2045,479,38.77,13236.92
172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,20821056,210.19,1.56, 0:12.21,1733,479,41.07,8337.47
173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,28279970,44.1,1.94, 0:03.78,1217,479,148.15,11324.28
174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,36006465,94.67,1.66, 0:05.40,1784,479,98.83,14418.24
175,1,2,1:0:0,0x113:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,28279970,42.5,1.96, 0:03.47,1280,479,163.08,11324.28
176,1,2,1:0:0,0x3:0x113,umh,9,0,24,2,1,1,-2,16,2,2,spatial,1,0,2,40,50,1,69,1,36623755,313.2,6.99, 0:22.32,1434,479,21.98,14665.42
177,1,2,1:0:0,0x3:0x113,umh,1,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,27612894,89.14,6.19, 0:13.24,719,479,37.72,11057.16
178,1,8,1:0:0,0x3:0x113,umh,10,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,33441310,472.53,7.0, 0:24.24,1978,479,20.22,13391.06
179,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,0,60,1,69,0,22512848,258.36,1.53, 0:12.97,2003,479,38.47,9014.92
180,1,8,1:0:0,0x3:0x113,hex,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,34567295,242.9,1.7, 0:13.17,1856,479,37.93,13841.94
18,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,3,2,1,None,1,0,0,0,None,0,69,0,37285199,15.61,1.17, 0:01.84,909,479,359.08,14930.29
181,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,10,1,69,1,33858438,297.56,1.61, 0:13.22,2261,479,37.76,13558.09
182,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,40,1,69,1,33589461,294.13,1.55, 0:14.20,2081,479,34.97,13450.38
183,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,0,8,2,2,spatial,1,0,2,40,60,1,69,1,29889779,497.9,2.72, 0:20.39,2455,479,24.14,11968.9
184,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,0,40,60,1,69,0,21034007,426.11,2.5, 0:18.26,2347,479,27.02,8422.75
185,1,16,0:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,33478124,535.64,2.2, 0:21.37,2516,479,22.96,13405.8
186,1,8,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,50,1,69,1,33853642,426.03,2.17, 0:17.67,2423,479,27.89,13556.17
187,0,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,36182958,708.52,2.24, 0:28.04,2534,479,17.36,14488.91
188,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,auto,1,0,2,40,60,1,69,1,33584381,608.99,2.07, 0:24.70,2473,479,19.77,13448.35
189,1,16,0:0:0,0x3:0x113,hex,11,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,34892025,475.06,2.54, 0:19.33,2469,479,25.5,13971.98
190,0,16,0:0:0,0x3:0x113,hex,11,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,0,22774872,495.63,2.37, 0:21.06,2364,479,23.35,9119.85
19,1,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,45584651,18.11,0.88, 0:01.71,1106,479,392.96,18253.67
191,1,16,1:0:0,0x3:0x133,tesa,11,0,24,2,1,0,-2,16,2,2,spatial,1,0,2,40,60,1,69,1,32458814,1558.04,7.12, 0:56.86,2752,479,8.5,12997.63
192,1,16,1:0:0,0x3:0x133,tesa,11,1,24,2,1,0,-2,16,2,2,auto,1,0,2,40,60,1,69,1,32545975,1464.12,7.18, 0:52.13,2821,479,9.29,13032.54
193,1,16,1:0:0,0x3:0x133,tesa,11,1,24,2,1,0,-2,16,2,2,spatial,1,0,2,40,30,1,69,1,32458814,1524.84,7.33, 0:55.18,2776,479,8.76,12997.63
194,0,16,1:0:0,0x3:0x133,tesa,11,1,24,2,1,0,-2,16,2,2,spatial,1,0,2,40,60,1,69,1,35526733,1591.06,7.13, 0:55.48,2880,479,8.72,14226.13
