configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5289427,1.87,0.29, 0:00.42,509,600,2057.39,2113.66
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,2883203,7.78,0.39, 0:01.54,529,600,429.43,1152.13
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,3029370,7.16,0.48, 0:01.24,616,600,548.03,1210.54
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,3065895,8.3,0.35, 0:01.23,700,600,550.03,1225.13
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,3016439,10.69,0.36, 0:01.19,924,600,570.23,1205.37
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,3043350,7.72,0.28, 0:00.90,884,600,788.42,1216.12
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3723404,5.5,0.28, 0:00.84,684,600,853.89,1487.87
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3721505,6.12,0.28, 0:00.89,712,600,796.74,1487.11
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2787582,6.33,0.31, 0:01.13,583,600,605.13,1113.92
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2933988,6.9,0.34, 0:01.13,636,600,605.66,1172.42
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,3323641,7.02,0.3, 0:01.26,579,600,537.36,1328.13
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4088526,2.48,0.25, 0:00.43,630,600,1984.91,1633.78
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,2795951,10.43,0.23, 0:01.25,851,600,543.33,1117.26
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,2882717,8.16,0.29, 0:01.23,686,600,544.25,1151.93
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2870916,9.62,0.34, 0:01.35,736,600,498.83,1147.22
