configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,9842619,3.26, 0.77, 0:01.11, 361, 480 , 628.47 , 3937.05
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,1204618,9.58, 0.92, 0:02.21, 474, 480 , 254.53 , 481.85
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,2548661,9.38, 0.90, 0:01.63, 628, 480 , 370.03 , 1019.46
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,2550706,10.41, 0.91, 0:01.67, 677, 480 , 357.90 , 1020.28
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,1742381,12.02, 0.80, 0:01.44, 886, 480 , 432.46 , 696.95
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,1748588,10.45, 0.78, 0:01.38, 810, 480 , 457.76 , 699.44
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3573305,7.33, 0.76, 0:01.32, 613, 480 , 471.24 , 1429.32
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,4339910,9.94, 0.80, 0:01.53, 700, 480 , 405.04 , 1735.96
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1139885,8.62, 0.95, 0:01.87, 510, 480 , 312.73 , 455.95
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1135929,9.75, 0.79, 0:01.78, 589, 480 , 319.75 , 454.37
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,2658653,9.60, 0.84, 0:01.85, 564, 480 , 306.29 , 1063.46
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4779491,4.65, 0.88, 0:01.12, 493, 480 , 605.94 , 1911.80
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,1753578,8.99, 0.91, 0:02.03, 488, 480 , 286.62 , 701.43
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,1177577,10.10, 0.81, 0:02.31, 470, 480 , 244.75 , 471.03
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1172058,10.67, 0.97, 0:02.31, 503, 480 , 245.43 , 468.82
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1146379,9.21, 1.02, 0:02.07, 492, 480 , 277.63 , 458.55
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,2704721,11.70, 0.74, 0:02.13, 582, 480 , 269.96 , 1081.89
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,1139721,9.62, 0.94, 0:02.62, 403, 480 , 210.35 , 455.89
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1175506,9.97, 0.92, 0:02.20, 494, 480 , 259.14 , 470.20
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1384615,9.91, 0.84, 0:02.04, 526, 480 , 282.72 , 553.85
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1177984,9.66, 0.79, 0:02.05, 508, 480 , 281.11 , 471.19
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,1168954,9.79, 0.94, 0:02.05, 523, 480 , 273.01 , 467.58
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4779491,4.68, 0.92, 0:01.12, 501, 480 , 608.72 , 1911.80
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,2686378,10.14, 0.74, 0:02.04, 531, 480 , 282.54 , 1074.55
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,1178340,9.30, 1.08, 0:02.01, 515, 480 , 285.99 , 471.34
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1160779,9.50, 0.91, 0:02.93, 355, 480 , 186.17 , 464.31
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,3919108,10.39, 0.85, 0:01.61, 697, 480 , 379.56 , 1567.64
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,3919109,9.35, 1.02, 0:01.53, 677, 480 , 405.67 , 1567.64
