configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7127517,18.88,4.0, 0:05.49,416,1199,281.87,2853.38
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,5933451,78.76,5.88, 0:11.04,766,1199,121.7,2375.36
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,2039917,57.82,3.05, 0:07.81,779,1199,180.71,816.65
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,2590220,72.75,3.27, 0:07.95,955,1199,178.38,1036.95
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,8267680,151.16,3.1, 0:09.44,1632,1199,145.76,3309.83
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,9320464,99.34,2.79, 0:06.58,1551,1199,223.18,3731.29
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5209560,42.13,2.46, 0:05.36,831,1199,291.59,2085.56
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,6396649,46.65,2.48, 0:05.46,899,1199,283.26,2560.79
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,4450560,58.33,3.04, 0:07.02,873,1199,209.62,1781.71
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,4949572,61.52,2.73, 0:07.00,917,1199,203.29,1981.48
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,2092760,49.81,2.82, 0:07.57,694,1199,189.05,837.8
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5157593,28.45,3.09, 0:04.30,733,1199,384.84,2064.76
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,9037895,114.17,2.52, 0:08.95,1303,1199,156.16,3618.17
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,5600723,92.33,3.11, 0:08.07,1182,1199,175.5,2242.16
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5723113,106.62,2.61, 0:07.53,1450,1199,189.61,2291.15
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,4488645,89.9,2.92, 0:07.53,1232,1199,191.24,1796.96
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,2716801,104.79,2.86, 0:07.88,1365,1199,181.11,1087.63
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,5455008,102.32,2.42, 0:11.35,922,1199,116.7,2183.82
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5601248,93.25,2.81, 0:07.86,1221,1199,181.47,2242.37
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,5826018,92.37,2.69, 0:07.72,1231,1199,186.63,2332.35
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,4691402,100.84,6.02, 0:10.85,984,1199,124.79,1878.13
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,4687704,100.82,3.15, 0:08.26,1258,1199,170.07,1876.65
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5157593,28.04,3.11, 0:04.33,718,1199,386.02,2064.76
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,2407088,85.99,3.27, 0:09.63,926,1199,142.23,963.64
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,4669294,97.42,3.49, 0:09.01,1119,1199,153.99,1869.28
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,4366110,106.23,2.98, 0:14.91,732,1199,87.39,1747.9
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,3873682,92.24,3.23, 0:07.16,1333,1199,202.25,1550.77
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,3873683,90.96,3.08, 0:07.30,1287,1199,196.62,1550.77
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,4143699,97.53,3.27, 0:07.41,1360,1199,193.99,1658.86
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,4353890,60.53,3.3, 0:06.36,1002,1199,233.88,1743.01
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,5144500,75.43,3.25, 0:06.57,1196,1199,223.72,2059.52
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,5790778,75.09,3.48, 0:06.45,1218,1199,229.84,2318.24
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,6667307,76.87,3.41, 0:05.84,1372,1199,262.07,2669.15
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7126197,19.58,2.18, 0:03.91,555,1199,420.1,2852.86
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,9150751,86.1,2.91, 0:05.45,1633,1199,274.36,3663.35
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,9151447,101.24,2.86, 0:05.80,1794,1199,255.32,3663.63
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,8220308,70.67,2.88, 0:05.50,1335,1199,270.81,3290.87
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,5601248,95.63,3.03, 0:07.65,1288,1199,187.55,2242.37
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,13328820,83.81,2.54, 0:07.73,1115,1199,185.05,5335.97
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,2629792,55.66,2.96, 0:07.05,830,1199,205.04,1052.79
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,13393937,69.68,2.35, 0:06.04,1191,1199,249.34,5362.04
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,6412706,433.32,3.27, 0:19.73,2212,1199,65.0,2567.22
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,2511111,764.47,3.63, 0:33.88,2266,1199,36.75,1005.28
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,2403750,215.54,3.52, 0:15.71,1393,1199,82.58,962.3
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7127517,19.1,2.44, 0:04.11,524,1199,410.83,2853.38
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,2884629,257.72,3.14, 0:13.45,1939,1199,98.86,1154.81
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,12725179,312.31,2.78, 0:21.66,1454,1199,58.19,5094.32
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,2428385,97.48,2.61, 0:08.95,1117,1199,154.72,972.16
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,14404934,248.75,2.38, 0:18.64,1346,1199,68.17,5766.78
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,5575885,134.92,3.36, 0:08.76,1578,1199,158.97,2232.21
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,4666840,123.91,2.85, 0:08.06,1571,1199,175.28,1868.29
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,2941006,66.89,3.15, 0:07.97,878,1199,177.31,1177.38
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,4905089,112.35,2.78, 0:06.69,1719,1199,217.48,1963.67
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,5302754,124.34,2.83, 0:07.34,1731,1199,196.81,2122.87
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,9230253,110.13,2.73, 0:06.56,1718,1199,223.74,3695.18
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,7127517,18.17,2.61, 0:04.12,503,1199,411.5,2853.38
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,9802264,172.83,2.43, 0:09.45,1853,1199,146.77,3924.18
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,8583141,147.53,2.49, 0:08.04,1865,1199,171.96,3436.12
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,8605935,130.03,2.36, 0:06.85,1932,1199,208.6,3445.24
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,8627945,147.95,2.44, 0:08.00,1878,1199,172.83,3454.06
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,7420645,119.08,2.65, 0:06.54,1860,1199,221.94,2970.73
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,4234647,103.44,2.78, 0:06.43,1651,1199,230.43,1695.27
