configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,30122854,44.24,4.95, 0:25.62,191,1199,51.67,12059.19
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,10075168,103.42,8.77, 0:30.99,362,1199,41.47,4033.43
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,7263648,90.39,4.42, 0:27.45,345,1199,47.39,2907.88
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,7548004,101.81,5.47, 0:27.79,386,1199,47.26,3021.72
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,14318078,178.34,5.37, 0:28.83,637,1199,45.0,5732.01
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,15062475,122.7,5.41, 0:28.69,446,1199,45.63,6030.01
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,13513153,72.35,5.05, 0:27.78,278,1199,47.22,5409.77
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,13618668,72.91,4.59, 0:27.00,287,1199,48.38,5452.01
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,9663336,86.43,4.74, 0:27.52,331,1199,47.38,3868.56
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,10036864,93.07,4.67, 0:28.24,346,1199,45.98,4018.09
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,8983322,83.63,4.91, 0:27.15,326,1199,47.94,3596.33
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,17063467,54.86,4.91, 0:26.32,227,1199,50.15,6831.08
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,14179068,135.37,4.25, 0:27.16,514,1199,48.12,5676.36
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,10550848,117.01,5.13, 0:28.03,435,1199,46.37,4223.86
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,10460235,124.66,5.14, 0:28.83,450,1199,45.46,4187.58
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,9850398,114.49,4.96, 0:29.36,406,1199,44.49,3943.45
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,9649260,138.56,4.42, 0:27.49,520,1199,47.42,3862.92
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,10189163,131.83,4.98, 0:28.27,483,1199,45.91,4079.06
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,10491309,116.4,4.52, 0:27.67,436,1199,47.03,4200.02
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,11798869,117.46,5.54, 0:28.41,432,1199,46.17,4723.48
