configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,197168877,76.63,8.6, 0:43.84,194,479,13.0,79032.21
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,108638629,246.39,12.09, 0:46.12,560,479,12.27,43546.18
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,131312327,235.47,10.45, 0:45.48,540,479,12.5,52634.59
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,131960352,267.04,10.08, 0:45.67,606,479,11.96,52894.34
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,90752592,439.74,9.99, 0:49.05,916,479,11.17,36376.82
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,93252911,264.75,9.63, 0:47.69,575,479,11.65,37379.04
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,143783584,194.06,8.62, 0:46.22,438,479,12.32,57633.51
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,139855761,194.4,8.7, 0:46.06,440,479,12.31,56059.1
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,102325193,195.26,9.84, 0:49.21,416,479,11.24,41015.53
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,104214070,207.7,10.17, 0:48.34,450,479,11.48,41772.66
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,139055924,214.75,8.82, 0:45.50,491,479,12.52,55738.5
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,124686047,105.94,10.35, 0:49.67,234,479,11.12,49978.54
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,94067370,342.13,9.43, 0:47.75,736,479,11.76,37705.5
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,113702929,270.38,8.98, 0:46.37,602,479,12.2,45576.12
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,113419139,299.4,9.42, 0:48.15,641,479,11.5,45462.37
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,103081148,246.5,10.24, 0:47.37,541,479,12.23,41318.54
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,147140175,333.01,9.77, 0:48.85,701,479,11.29,58978.95
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,113222512,381.72,9.22, 0:47.43,824,479,11.56,45383.56
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,113661260,267.75,9.32, 0:45.97,602,479,12.3,45559.42
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,125989955,275.81,9.03, 0:46.12,617,479,12.29,50501.2
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,102106990,271.06,12.7, 0:48.78,581,479,11.3,40928.07
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,101802060,270.68,12.53, 0:45.45,623,479,12.46,40805.84
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,124686047,102.07,9.13, 0:44.67,248,479,12.75,49978.54
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,138629721,278.62,12.41, 0:46.71,623,479,12.18,55567.66
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,102311971,274.65,11.5, 0:49.14,582,479,11.21,41010.23
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,102733907,366.0,10.64, 0:46.79,804,479,12.08,41179.36
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,98552936,262.01,11.93, 0:46.78,585,479,12.09,39503.48
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,98552937,260.58,13.48, 0:49.45,554,479,11.17,39503.48
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,100100777,269.51,12.0, 0:48.39,581,479,11.41,40123.9
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,106849469,217.51,10.69, 0:47.15,483,479,11.61,42829.02
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,108330961,226.15,10.56, 0:49.35,479,479,11.22,43422.85
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,114814441,242.47,10.73, 0:47.09,537,479,12.02,46021.66
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,83980136,205.98,10.15, 0:49.45,437,479,11.17,33662.19
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,196537811,81.34,10.0, 0:48.43,188,479,11.35,78779.25
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,90695006,218.83,9.91, 0:48.37,472,479,11.48,36353.74
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,90461060,254.73,9.82, 0:47.20,560,479,11.65,36259.97
