configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,466254523,119.07, 11.06, 0:57.08, 227, 599 , 12.19 , 186626.55
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,376836097,421.60, 14.16, 1:01.02, 714, 599 , 11.42 , 150835.26
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,534493431,437.78, 13.79, 0:58.49, 771, 599 , 11.68 , 213940.37
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,528717945,494.13, 14.91, 0:59.93, 849, 599 , 11.55 , 211628.63
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,283978058,991.85, 11.66, 0:57.26, 1752, 599 , 12.00 , 113667.20
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,290323773,576.54, 12.97, 1:01.41, 959, 599 , 11.19 , 116207.18
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,485033891,361.80, 12.00, 0:59.67, 626, 599 , 11.47 , 194143.32
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,461125783,387.30, 11.96, 0:58.25, 685, 599 , 11.77 , 184573.68
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,371190670,377.30, 12.55, 0:59.19, 658, 599 , 11.53 , 148575.58
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,386624025,421.42, 13.18, 0:59.48, 730, 599 , 11.50 , 154753.05
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,578568603,458.96, 13.72, 1:00.74, 778, 599 , 11.54 , 231582.23
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,363022010,162.51, 11.39, 0:59.88, 290, 599 , 11.72 , 145305.93
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,279728412,660.84, 10.68, 0:56.73, 1183, 599 , 11.99 , 111966.20
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,386423378,538.01, 13.00, 1:01.12, 901, 599 , 11.07 , 154672.73
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,382526817,628.03, 13.97, 1:03.78, 1006, 599 , 10.88 , 153113.07
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,366343480,461.67, 13.18, 0:58.76, 808, 599 , 11.61 , 146635.40
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,569695514,721.50, 15.05, 1:03.07, 1167, 599 , 10.77 , 228030.62
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,373421008,769.08, 12.52, 1:03.11, 1238, 599 , 10.71 , 149468.31
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,386407661,525.19, 14.65, 1:01.66, 875, 599 , 11.34 , 154666.44
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,449646128,558.34, 14.77, 1:02.73, 913, 599 , 11.10 , 179978.75
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,378427640,605.56, 19.30, 1:03.03, 991, 599 , 10.72 , 151472.30
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,378401987,582.97, 18.52, 1:02.28, 965, 599 , 10.91 , 151462.03
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,363022010,159.80, 12.35, 0:59.36, 290, 599 , 11.84 , 145305.93
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,561366805,641.44, 18.61, 1:02.73, 1052, 599 , 10.92 , 224696.91
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,379083410,596.31, 17.12, 1:02.32, 984, 599 , 10.86 , 151734.78
