configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,43657702,14.11,1.32, 0:01.96,786,499,358.11,17498.08
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,34863209,61.53,1.94, 0:06.45,984,499,84.95,13973.23
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,33649976,58.29,1.62, 0:04.95,1210,499,113.42,13486.96
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,33357205,71.49,1.48, 0:04.80,1519,499,117.43,13369.62
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,35093972,146.72,1.57, 0:07.87,1883,499,68.24,14065.72
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,35833862,87.48,1.42, 0:05.40,1644,499,102.39,14362.27
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,45398327,49.27,1.52, 0:03.53,1436,499,169.13,18195.72
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,43976344,53.5,1.36, 0:03.79,1444,499,155.99,17625.79
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,33448526,54.49,1.73, 0:06.46,870,499,84.63,13406.22
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,34813875,57.11,1.37, 0:04.94,1182,499,114.48,13953.46
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,34223088,57.84,1.46, 0:06.09,972,499,88.84,13716.67
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,34469812,21.86,1.27, 0:02.01,1150,499,338.96,13815.56
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,34999888,106.04,1.44, 0:08.47,1268,499,63.11,14028.01
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,35964051,77.68,1.6, 0:07.64,1037,499,70.5,14414.45
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,35487586,86.96,1.58, 0:06.51,1359,499,83.77,14223.48
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,33079383,71.97,1.52, 0:07.20,1019,499,75.05,13258.27
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,35056789,95.51,1.56, 0:07.45,1303,499,72.53,14050.82
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,35458569,110.42,1.67, 0:11.28,993,499,46.54,14211.85
