configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1063762,1.54, 0.22, 0:00.41, 422, 600 , 2190.76 , 425.50
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,447303,4.09, 0.27, 0:00.89, 489, 600 , 815.14 , 178.92
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,546816,3.18, 0.24, 0:00.66, 512, 600 , 1111.63 , 218.73
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,545613,3.44, 0.21, 0:00.64, 569, 600 , 1164.08 , 218.25
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,557158,4.23, 0.26, 0:00.80, 556, 600 , 903.40 , 222.86
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,545897,3.36, 0.25, 0:00.64, 559, 600 , 1214.57 , 218.36
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,523991,2.65, 0.21, 0:00.63, 453, 600 , 1167.14 , 209.60
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,674079,3.27, 0.28, 0:00.70, 503, 600 , 1038.56 , 269.63
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,435853,3.22, 0.24, 0:00.74, 467, 600 , 1009.43 , 174.34
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,439413,3.50, 0.32, 0:00.75, 509, 600 , 990.68 , 175.77
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,599222,3.21, 0.24, 0:00.73, 471, 600 , 1026.65 , 239.69
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,794640,1.50, 0.28, 0:00.37, 476, 600 , 2285.99 , 317.86
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,532767,3.50, 0.24, 0:00.70, 531, 600 , 1067.61 , 213.11
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,457023,3.50, 0.38, 0:00.80, 483, 600 , 916.33 , 182.81
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,451386,4.02, 0.32, 0:00.86, 501, 600 , 833.57 , 180.55
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,447506,3.57, 0.23, 0:00.77, 494, 600 , 962.20 , 179.00
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,606686,4.06, 0.30, 0:00.85, 512, 600 , 861.97 , 242.67
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,441358,3.99, 0.17, 0:00.85, 488, 600 , 823.52 , 176.54
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,454200,3.57, 0.34, 0:00.79, 491, 600 , 921.57 , 181.68
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,530502,3.75, 0.30, 0:00.82, 490, 600 , 892.84 , 212.20
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,432117,3.83, 0.33, 0:00.84, 492, 600 , 853.03 , 172.85
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,424961,3.91, 0.23, 0:00.82, 502, 600 , 883.68 , 169.98
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,794640,1.78, 0.18, 0:00.39, 496, 600 , 2174.16 , 317.86
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,587660,3.90, 0.25, 0:00.82, 501, 600 , 865.84 , 235.06
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,436119,3.83, 0.36, 0:00.86, 486, 600 , 834.90 , 174.45
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,435959,4.12, 0.25, 0:00.97, 451, 600 , 730.44 , 174.38
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,662886,4.04, 0.25, 0:00.75, 568, 600 , 949.83 , 265.15
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,664383,3.65, 0.35, 0:00.74, 540, 600 , 1001.96 , 265.75
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,677991,3.99, 0.25, 0:00.77, 549, 600 , 946.95 , 271.20
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,431057,3.11, 0.28, 0:00.68, 494, 600 , 1115.90 , 172.42
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,432133,3.30, 0.28, 0:00.68, 527, 600 , 1124.14 , 172.85
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,499825,3.77, 0.27, 0:00.76, 530, 600 , 979.84 , 199.93
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,529476,2.86, 0.25, 0:00.55, 564, 600 , 1451.42 , 211.79
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,1062420,1.40, 0.24, 0:00.39, 424, 600 , 2287.69 , 424.97
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,548462,3.61, 0.23, 0:00.59, 648, 600 , 1328.90 , 219.38
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,548292,3.65, 0.30, 0:00.60, 658, 600 , 1331.87 , 219.32
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,547792,3.42, 0.28, 0:00.61, 601, 600 , 1274.98 , 219.12
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,454200,3.72, 0.23, 0:00.80, 491, 600 , 913.04 , 181.68
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,549702,3.87, 0.24, 0:00.79, 520, 600 , 917.62 , 219.88
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,701271,4.00, 0.30, 0:00.90, 477, 600 , 797.26 , 280.51
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,548259,3.22, 0.26, 0:00.63, 545, 600 , 1198.94 , 219.30
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,447007,13.30, 0.29, 0:02.66, 511, 600 , 239.63 , 178.80
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,548919,16.36, 0.42, 0:03.13, 535, 600 , 201.27 , 219.57
