configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,41648998,11.01,1.36, 0:02.03,607,514,354.05,18192.02
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,26933935,44.43,1.75, 0:04.47,1032,514,131.85,11764.57
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,32510676,43.99,1.26, 0:03.86,1169,514,157.1,14200.46
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,32618586,48.12,1.3, 0:03.79,1302,514,155.41,14247.59
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,19541885,76.73,1.27, 0:04.20,1857,514,138.55,8535.77
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,19729911,50.64,1.1, 0:03.27,1579,514,185.21,8617.9
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,33495121,37.53,1.09, 0:03.22,1199,514,188.94,14630.46
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,33609028,39.49,1.15, 0:03.20,1269,514,190.5,14680.21
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,24415584,32.78,1.21, 0:03.63,936,514,163.98,10664.57
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,26023537,40.99,1.16, 0:03.78,1114,514,156.16,11366.92
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,36501572,42.44,1.21, 0:04.01,1086,514,145.7,15943.66
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,28422934,16.94,1.33, 0:02.02,902,514,348.98,12414.96
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,21298784,62.61,1.47, 0:04.95,1293,514,117.35,9303.18
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,28530160,49.78,1.46, 0:04.51,1136,514,130.84,12461.8
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,28419103,54.03,1.35, 0:04.31,1284,514,134.23,12413.29
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,25307984,45.59,1.07, 0:04.06,1147,514,143.72,11054.37
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,37003622,61.59,1.18, 0:04.19,1498,514,139.01,16162.95
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,28727410,68.62,1.64, 0:06.85,1025,514,81.84,12547.95
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,28439323,48.49,1.45, 0:04.31,1156,514,137.41,12422.12
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,30413821,51.28,1.46, 0:04.22,1248,514,141.21,13284.57
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,26173088,53.24,1.75, 0:04.99,1101,514,114.26,11432.24
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,25051323,52.41,1.59, 0:04.84,1114,514,120.35,10942.26
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,28422934,16.69,1.27, 0:01.93,926,514,376.0,12414.96
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,36500278,55.81,1.93, 0:04.89,1180,514,117.14,15943.09
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,26166949,51.17,1.98, 0:05.05,1051,514,114.78,11429.56
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,25523925,65.79,1.66, 0:07.99,843,514,69.47,11148.69
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,20964431,56.6,1.97, 0:04.10,1425,514,145.52,9157.13
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,20964432,51.87,1.82, 0:03.80,1411,514,160.17,9157.13
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,21395761,56.04,1.83, 0:03.91,1479,514,150.32,9345.53
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,26886734,38.15,1.51, 0:03.53,1121,514,169.91,11743.96
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,27048868,41.6,1.63, 0:03.75,1150,514,161.51,11814.78
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,27346956,50.86,1.73, 0:04.32,1215,514,137.07,11944.98
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,18040624,37.06,1.46, 0:02.84,1355,514,226.61,7880.03
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,41520249,11.7,1.14, 0:01.97,651,514,372.73,18135.79
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,19906545,45.03,1.52, 0:02.99,1553,514,212.68,8695.05
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,19843851,49.59,1.48, 0:03.12,1635,514,201.28,8667.67
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,19766517,41.09,1.56, 0:02.86,1488,514,223.97,8633.89
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,28439323,51.76,1.53, 0:04.57,1166,514,128.56,12422.12
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,22406710,46.82,1.21, 0:04.25,1130,514,139.23,9787.11
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,35384663,49.41,1.2, 0:04.17,1211,514,142.9,15455.8
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,21856817,39.05,1.07, 0:03.30,1215,514,186.84,9546.92
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,29501162,371.79,1.49, 0:21.86,1707,514,24.19,12885.92
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,36341684,506.61,1.44, 0:24.50,2073,514,21.43,15873.82
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,34756414,253.28,1.68, 0:14.37,1773,514,37.23,15181.38
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,41648998,11.44,1.26, 0:01.87,677,514,396.03,18192.02
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,37545571,146.93,1.66, 0:08.28,1793,514,66.65,16399.67
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,18989477,191.29,1.38, 0:13.64,1412,514,39.28,8294.49
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,33184800,205.05,1.47, 0:14.03,1471,514,38.12,14494.91
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,20220728,251.46,1.25, 0:18.93,1334,514,27.93,8832.29
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,30796490,139.69,1.43, 0:11.20,1259,514,47.97,13451.71
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,28634228,89.31,1.6, 0:07.15,1271,514,78.29,12507.25
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,40352997,57.22,1.46, 0:05.22,1122,514,110.7,17625.94
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,28472248,139.0,1.39, 0:10.13,1385,514,53.86,12436.5
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,28494357,142.01,1.62, 0:10.28,1396,514,52.91,12446.16
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,20891685,58.17,1.42, 0:03.83,1553,514,158.33,9125.36
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,41648998,11.82,0.79, 0:01.81,696,514,388.64,18192.02
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,22836924,132.57,1.4, 0:08.73,1533,514,62.31,9975.03
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,21242981,91.24,1.39, 0:05.70,1623,514,100.14,9278.8
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,21220473,86.59,1.21, 0:05.62,1561,514,101.47,9268.97
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,21261255,85.16,1.18, 0:05.37,1607,514,105.36,9286.78
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,18802330,50.86,1.25, 0:03.54,1469,514,168.53,8212.74
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,26374658,90.79,1.4, 0:05.98,1540,514,94.87,11520.29
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,27780933,208.05,1.91, 0:14.40,1457,514,37.17,12134.54
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,29248156,173.89,1.41, 0:12.87,1361,514,41.7,12775.41
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,29210699,204.87,1.84, 0:13.43,1539,514,39.99,12759.05
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,27144608,119.32,1.56, 0:07.29,1656,514,75.92,11856.6
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,41648998,11.58,1.1, 0:01.97,643,514,370.78,18192.02
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,24598011,46.45,1.65, 0:05.58,860,514,103.13,10744.26
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,20713446,117.15,1.59, 0:06.28,1889,514,88.87,9047.5
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,25847791,125.19,1.33, 0:08.51,1486,514,64.5,11290.15
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,40878637,78.97,1.36, 0:06.02,1333,514,93.86,17855.53
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,26560437,84.06,1.49, 0:05.19,1647,514,111.72,11601.43
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,28392201,89.96,1.44, 0:06.76,1351,514,82.7,12401.54
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,25632560,51.22,1.25, 0:04.32,1213,514,136.0,11196.14
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,25992035,86.77,1.26, 0:06.57,1339,514,84.73,11353.16
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,26064387,101.49,1.79, 0:09.71,1062,514,56.17,11384.76
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,29042040,167.06,1.45, 0:13.90,1211,514,38.4,12685.38
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,41606059,12.16,1.1, 0:01.82,725,514,386.36,18173.27
