configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7978587,1.68, 0.20, 0:00.36, 512, 500 , 2102.26 , 3191.43
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,3175212,6.43, 0.33, 0:01.16, 579, 500 , 485.05 , 1270.08
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,4051734,6.97, 0.28, 0:00.97, 741, 500 , 590.87 , 1620.69
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,4077645,6.94, 0.25, 0:00.92, 774, 500 , 626.78 , 1631.06
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,3013486,11.36, 0.21, 0:01.45, 798, 500 , 379.70 , 1205.39
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,3067514,7.87, 0.25, 0:00.94, 860, 500 , 603.21 , 1227.01
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,4541592,5.99, 0.30, 0:00.95, 660, 500 , 595.99 , 1816.64
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,4418160,5.75, 0.23, 0:00.91, 657, 500 , 626.32 , 1767.26
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3083219,5.46, 0.24, 0:00.91, 627, 500 , 645.95 , 1233.29
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3059574,6.30, 0.24, 0:01.10, 592, 500 , 515.10 , 1223.83
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,4376390,6.36, 0.27, 0:01.00, 659, 500 , 573.78 , 1750.56
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3934153,2.07, 0.17, 0:00.33, 671, 500 , 2167.86 , 1573.66
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,3054080,8.61, 0.18, 0:01.10, 795, 500 , 514.47 , 1221.63
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,3204040,7.17, 0.27, 0:01.07, 693, 500 , 532.41 , 1281.62
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3195340,8.09, 0.27, 0:01.14, 730, 500 , 496.61 , 1278.14
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3116276,6.87, 0.22, 0:01.05, 673, 500 , 533.70 , 1246.51
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,4503457,9.17, 0.26, 0:01.20, 784, 500 , 469.02 , 1801.38
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,3175202,8.73, 0.29, 0:01.35, 664, 500 , 408.18 , 1270.08
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3194647,7.20, 0.28, 0:01.05, 712, 500 , 543.35 , 1277.86
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3662617,7.20, 0.28, 0:01.02, 730, 500 , 560.64 , 1465.05
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,3060879,6.96, 0.32, 0:01.13, 640, 500 , 496.01 , 1224.35
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,3041375,7.37, 0.25, 0:01.14, 665, 500 , 493.88 , 1216.55
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3934153,2.06, 0.24, 0:00.37, 621, 500 , 1991.65 , 1573.66
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,4364748,8.02, 0.28, 0:01.15, 717, 500 , 488.65 , 1745.90
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,3067287,7.03, 0.26, 0:01.16, 625, 500 , 478.01 , 1226.91
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,3119864,8.24, 0.24, 0:01.36, 620, 500 , 405.23 , 1247.95
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,3591620,6.72, 0.21, 0:00.82, 841, 500 , 720.95 , 1436.65
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,3579878,6.48, 0.17, 0:00.78, 844, 500 , 740.00 , 1431.95
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,3624657,6.94, 0.18, 0:00.80, 882, 500 , 718.06 , 1449.86
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,3095002,5.86, 0.19, 0:00.81, 742, 500 , 714.72 , 1238.00
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3150665,6.16, 0.25, 0:00.86, 738, 500 , 667.16 , 1260.27
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,3511942,6.49, 0.28, 0:00.91, 744, 500 , 645.44 , 1404.78
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,2987005,4.93, 0.19, 0:00.57, 885, 500 , 1118.80 , 1194.80
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7956804,1.66, 0.17, 0:00.33, 551, 500 , 2198.43 , 3182.72
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3056684,5.60, 0.23, 0:00.62, 929, 500 , 991.24 , 1222.67
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3056480,6.03, 0.26, 0:00.68, 921, 500 , 903.17 , 1222.59
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,3026166,5.45, 0.25, 0:00.66, 861, 500 , 945.80 , 1210.47
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,3194647,7.14, 0.22, 0:01.02, 715, 500 , 548.36 , 1277.86
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,2922004,7.59, 0.20, 0:01.16, 668, 500 , 479.91 , 1168.80
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,4370458,8.75, 0.25, 0:01.38, 651, 500 , 397.71 , 1748.18
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,2911617,5.64, 0.21, 0:00.81, 717, 500 , 717.27 , 1164.65
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,3306959,40.62, 0.44, 0:06.41, 640, 500 , 79.74 , 1322.78
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,4140024,52.70, 0.38, 0:06.98, 759, 500 , 73.04 , 1656.01
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,4204157,30.27, 0.32, 0:04.46, 685, 500 , 115.25 , 1681.66
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7978587,1.72, 0.13, 0:00.33, 554, 500 , 2172.24 , 3191.43
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,4521691,14.61, 0.32, 0:01.85, 806, 500 , 290.40 , 1808.68
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,2660816,29.40, 0.26, 0:06.03, 491, 500 , 84.60 , 1064.33
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,4075729,27.55, 0.39, 0:05.75, 485, 500 , 88.83 , 1630.29
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,2953526,32.07, 0.30, 0:06.69, 483, 500 , 76.14 , 1181.41
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,3622987,18.64, 0.33, 0:03.17, 597, 500 , 163.71 , 1449.19
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,3156257,13.39, 0.24, 0:02.00, 681, 500 , 266.15 , 1262.50
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,5093435,9.66, 0.28, 0:01.45, 685, 500 , 380.95 , 2037.37
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,4236983,19.34, 0.28, 0:03.16, 620, 500 , 165.04 , 1694.79
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,4246250,18.70, 0.23, 0:03.02, 625, 500 , 171.62 , 1698.50
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3053737,7.57, 0.16, 0:00.91, 846, 500 , 627.38 , 1221.49
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,7978587,1.64, 0.18, 0:00.35, 510, 500 , 2085.90 , 3191.43
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3467612,17.57, 0.25, 0:02.71, 655, 500 , 193.66 , 1387.04
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3023012,11.40, 0.27, 0:01.54, 758, 500 , 355.01 , 1209.20
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,3023934,11.55, 0.24, 0:01.54, 761, 500 , 353.09 , 1209.57
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,3026617,12.43, 0.27, 0:01.66, 765, 500 , 326.82 , 1210.65
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,2964038,7.54, 0.19, 0:00.92, 836, 500 , 632.02 , 1185.62
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,3677870,12.38, 0.26, 0:01.73, 728, 500 , 311.89 , 1471.15
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,2968827,25.38, 0.30, 0:04.16, 616, 500 , 124.08 , 1187.53
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,3156968,17.52, 0.28, 0:02.61, 680, 500 , 200.50 , 1262.79
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,3150010,22.74, 0.33, 0:03.15, 731, 500 , 164.70 , 1260.00
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,3129647,17.94, 0.29, 0:02.38, 765, 500 , 220.73 , 1251.86
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,7978587,1.69, 0.18, 0:00.32, 585, 500 , 2276.62 , 3191.43
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,3071901,8.72, 0.41, 0:01.76, 517, 500 , 306.83 , 1228.76
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,3009499,18.41, 0.37, 0:02.42, 776, 500 , 218.56 , 1203.80
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,3427452,19.01, 0.34, 0:03.84, 503, 500 , 134.70 , 1370.98
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,5012681,12.25, 0.24, 0:02.22, 562, 500 , 237.07 , 2005.07
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,4012936,10.95, 0.33, 0:01.34, 838, 500 , 406.82 , 1605.17
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,4001494,13.15, 0.26, 0:02.18, 615, 500 , 243.86 , 1600.60
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,3410878,7.86, 0.29, 0:01.13, 716, 500 , 494.59 , 1364.35
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,3106167,11.62, 0.25, 0:01.46, 812, 500 , 377.44 , 1242.47
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,3082456,13.78, 0.21, 0:02.10, 663, 500 , 252.38 , 1232.98
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,3125867,17.38, 0.31, 0:02.61, 677, 500 , 200.46 , 1250.35
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7944743,1.79, 0.18, 0:00.36, 539, 500 , 2022.50 , 3177.90
171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,3154561,17.65, 0.32, 0:02.65, 678, 500 , 198.93 , 1261.82
172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,4484098,19.33, 0.32, 0:02.90, 677, 500 , 180.86 , 1793.64
173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,3421443,4.99, 0.35, 0:00.81, 657, 500 , 717.17 , 1368.58
174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,3016257,10.23, 0.27, 0:01.38, 760, 500 , 396.12 , 1206.50
175,1,2,1:0:0,0x113:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,3421443,5.13, 0.30, 0:00.83, 651, 500 , 705.80 , 1368.58
176,1,2,1:0:0,0x3:0x113,umh,9,0,24,2,1,1,-2,16,2,2,spatial,1,0,2,40,50,1,69,1,3137856,25.21, 0.95, 0:05.75, 455, 500 , 88.93 , 1255.14
177,1,2,1:0:0,0x3:0x113,umh,1,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,3441322,12.10, 0.88, 0:03.79, 342, 500 , 136.37 , 1376.53
178,1,8,1:0:0,0x3:0x113,umh,10,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,2956071,37.94, 0.97, 0:06.11, 636, 500 , 83.42 , 1182.43
179,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,0,60,1,69,0,4515725,19.63, 0.33, 0:02.96, 674, 500 , 176.88 , 1806.29
180,1,8,1:0:0,0x3:0x113,hex,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,3155890,15.62, 0.33, 0:02.45, 650, 500 , 215.91 , 1262.36
18,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,3,2,1,None,1,0,0,0,None,0,69,0,5732777,1.77, 0.19, 0:00.34, 577, 500 , 2121.90 , 2293.11
181,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,10,1,69,1,2927588,17.13, 0.19, 0:02.40, 721, 500 , 218.92 , 1171.04
182,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,40,1,69,1,3148505,16.98, 0.32, 0:02.48, 697, 500 , 211.52 , 1259.40
183,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,0,8,2,2,spatial,1,0,2,40,60,1,69,1,2923810,36.43, 0.47, 0:04.87, 756, 500 , 105.18 , 1169.52
184,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,0,40,60,1,69,0,4219717,40.72, 0.56, 0:05.51, 748, 500 , 92.77 , 1687.89
185,1,16,0:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,2941750,35.98, 0.50, 0:04.87, 749, 500 , 105.29 , 1176.70
186,1,8,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,50,1,69,1,2944936,30.57, 0.49, 0:04.18, 742, 500 , 123.08 , 1177.97
187,0,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,3243673,49.06, 0.61, 0:06.85, 724, 500 , 74.28 , 1297.47
188,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,auto,1,0,2,40,60,1,69,1,2942099,37.23, 0.57, 0:04.98, 759, 500 , 103.36 , 1176.84
189,1,16,0:0:0,0x3:0x113,hex,11,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,2949769,37.63, 0.69, 0:05.02, 762, 500 , 102.28 , 1179.91
190,0,16,0:0:0,0x3:0x113,hex,11,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,0,4579991,64.18, 0.56, 0:09.08, 712, 500 , 55.85 , 1832.00
19,1,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7265684,2.05, 0.16, 0:00.35, 620, 500 , 1974.68 , 2906.27
191,1,16,1:0:0,0x3:0x133,tesa,11,0,24,2,1,0,-2,16,2,2,spatial,1,0,2,40,60,1,69,1,2958656,73.45, 1.04, 0:07.92, 939, 500 , 64.21 , 1183.46
192,1,16,1:0:0,0x3:0x133,tesa,11,1,24,2,1,0,-2,16,2,2,auto,1,0,2,40,60,1,69,1,2957648,79.28, 1.00, 0:08.78, 913, 500 , 57.82 , 1183.06
193,1,16,1:0:0,0x3:0x133,tesa,11,1,24,2,1,0,-2,16,2,2,spatial,1,0,2,40,30,1,69,1,2958656,74.86, 1.05, 0:08.29, 914, 500 , 61.29 , 1183.46
