configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,19405102,6.06, 0.73, 0:01.23, 550, 600 , 655.79 , 7754.29
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,11547433,26.82, 0.97, 0:03.70, 750, 600 , 178.68 , 4614.36
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,12148100,24.11, 1.01, 0:03.04, 825, 600 , 223.90 , 4854.39
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,12267825,28.87, 0.97, 0:02.94, 1012, 600 , 226.77 , 4902.23
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,11404751,52.37, 1.15, 0:03.95, 1353, 600 , 164.87 , 4557.34
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,11691330,30.35, 0.94, 0:02.32, 1347, 600 , 298.34 , 4671.86
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,15182341,21.45, 0.97, 0:02.14, 1045, 600 , 340.12 , 6066.87
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,14519996,20.70, 0.90, 0:02.17, 994, 600 , 335.41 , 5802.20
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,11299730,21.43, 0.84, 0:02.77, 802, 600 , 243.54 , 4515.38
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,11585532,22.21, 0.95, 0:02.69, 859, 600 , 251.47 , 4629.58
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,13396764,23.19, 1.07, 0:02.68, 903, 600 , 253.53 , 5353.35
