configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,16712965,4.98,0.55, 0:01.00,550,479,656.99,6699.14
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,6533098,18.04,0.63, 0:02.35,794,479,230.07,2618.69
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,6961826,16.38,0.82, 0:01.75,981,479,322.31,2790.54
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,7046353,17.51,0.76, 0:01.74,1050,479,325.12,2824.43
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,5426295,31.65,1.23, 0:02.92,1126,479,184.27,2175.05
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,5549329,20.26,0.85, 0:01.83,1154,479,316.65,2224.37
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,7982470,14.88,0.81, 0:01.81,863,479,322.63,3199.65
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,7775027,13.29,0.79, 0:01.67,843,479,356.44,3116.5
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5977606,14.83,0.82, 0:01.85,845,479,313.58,2396.03
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5747119,15.73,0.85, 0:01.87,886,479,300.71,2303.65
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,9555109,17.02,0.77, 0:01.89,939,479,295.66,3830.02
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,8550297,7.12,0.69, 0:01.06,733,479,602.26,3427.26
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,5297824,22.8,0.81, 0:02.45,960,479,220.14,2123.55
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,6889960,20.9,0.52, 0:02.13,1005,479,263.35,2761.74
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,6722018,21.3,0.71, 0:01.97,1115,479,283.37,2694.42
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,6135231,18.18,0.62, 0:02.01,933,479,277.44,2459.22
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,10619063,25.67,0.71, 0:02.34,1124,479,238.72,4256.49
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,6445446,22.37,0.9, 0:02.89,803,479,185.93,2583.56
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,6718714,22.31,0.75, 0:02.24,1027,479,250.97,2693.1
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,7341256,21.94,0.71, 0:02.18,1035,479,259.16,2942.63
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,5482440,21.85,0.78, 0:02.42,934,479,228.33,2197.55
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,5232827,19.65,0.66, 0:02.18,928,479,257.65,2097.5
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,8550297,6.39,0.57, 0:01.00,691,479,644.56,3427.26
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,9145007,20.0,0.66, 0:02.01,1025,479,275.96,3665.64
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,5537979,20.69,0.82, 0:02.31,930,479,234.65,2219.82
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,5498321,22.32,0.81, 0:03.78,611,479,137.99,2203.92
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,5940495,19.51,0.95, 0:01.76,1159,479,332.99,2381.16
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,5940496,19.59,0.94, 0:01.82,1125,479,319.77,2381.16
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,6275228,20.08,0.85, 0:01.78,1174,479,329.79,2515.33
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,6056687,14.84,0.64, 0:01.52,1013,479,384.76,2427.73
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,6172523,16.85,0.81, 0:01.79,985,479,327.24,2474.16
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,6398996,18.23,0.69, 0:01.83,1031,479,319.52,2564.94
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,4857304,13.81,0.78, 0:01.35,1077,479,448.51,1946.98
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,16685898,4.65,0.59, 0:00.99,528,479,665.33,6688.29
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,5297344,16.57,0.81, 0:01.48,1170,479,412.83,2123.36
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,5267092,17.17,0.74, 0:01.53,1166,479,397.89,2111.24
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,5186701,15.44,0.83, 0:01.48,1095,479,413.95,2079.01
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,6718714,23.11,1.0, 0:02.38,1012,479,232.79,2693.1
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,6679700,20.63,0.67, 0:02.49,855,479,216.56,2677.46
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,13377245,23.8,0.81, 0:03.03,810,479,173.94,5362.07
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,6628321,18.92,0.87, 0:02.24,882,479,248.07,2656.86
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,6571568,123.2,1.02, 0:11.61,1069,479,42.53,2634.11
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,9638070,163.6,1.18, 0:11.46,1437,479,43.1,3863.28
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,9023136,81.94,0.71, 0:07.27,1136,479,68.91,3616.79
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,16712965,4.63,0.66, 0:01.00,529,479,662.45,6699.14
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,10743986,48.56,0.77, 0:03.98,1237,479,131.16,4306.57
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,5502455,90.38,1.15, 0:09.29,985,479,53.43,2205.58
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,12892713,92.8,1.3, 0:09.68,972,479,51.13,5167.85
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,6074584,107.17,1.21, 0:12.08,897,479,40.73,2434.91
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,7090055,45.33,0.91, 0:04.75,973,479,108.5,2841.94
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,6429276,34.03,0.8, 0:03.25,1069,479,163.5,2577.08
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,11314021,22.1,0.9, 0:02.33,984,479,238.85,4535.06
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,7574266,45.51,1.05, 0:04.25,1095,479,120.7,3036.03
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,7652379,46.06,0.94, 0:04.40,1066,479,117.56,3067.34
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,5349398,20.59,0.71, 0:01.72,1234,479,331.52,2144.23
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,16712965,4.83,0.57, 0:01.00,537,479,652.55,6699.14
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,5863925,44.54,1.07, 0:04.20,1085,479,123.75,2350.47
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,5169155,32.76,0.9, 0:02.88,1167,479,187.35,2071.98
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,5174714,33.76,0.92, 0:02.88,1202,479,186.85,2074.21
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,5174515,30.99,0.88, 0:02.71,1173,479,200.29,2074.13
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,4845696,20.16,0.7, 0:01.67,1247,479,343.76,1942.32
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,6870429,31.49,0.88, 0:02.75,1176,479,193.76,2753.91
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,6129058,70.84,0.94, 0:07.02,1022,479,71.55,2456.74
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,6674631,46.17,0.87, 0:05.27,892,479,97.0,2675.43
