configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5259458,3.89,0.99, 0:01.30,375,599,655.61,2105.19
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,2748951,13.35,0.79, 0:01.95,722,599,381.38,1100.32
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,2566755,11.63,0.77, 0:01.66,743,599,443.06,1027.39
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,2572761,12.42,0.96, 0:01.64,814,599,451.36,1029.79
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,3762994,20.69,1.09, 0:02.49,875,599,283.43,1506.2
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,3766431,15.54,0.99, 0:01.96,841,599,375.91,1507.58
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3005133,9.97,1.07, 0:01.87,588,599,403.35,1202.86
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,3347434,11.45,0.86, 0:01.83,671,599,400.46,1339.87
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2462705,10.17,0.8, 0:01.59,688,599,467.69,985.74
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2467321,11.33,1.12, 0:01.76,707,599,430.48,987.59
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,2797563,11.19,0.95, 0:01.87,649,599,401.13,1119.77
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3782946,6.25,0.9, 0:01.28,558,599,650.92,1514.19
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,3737756,17.29,1.06, 0:02.16,846,599,335.29,1496.1
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,2612798,14.7,0.7, 0:01.90,808,599,379.5,1045.82
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2594862,14.9,0.84, 0:01.95,803,599,382.39,1038.64
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2493575,13.13,0.69, 0:01.70,812,599,457.44,998.1
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,2941664,17.2,0.88, 0:02.07,871,599,355.98,1177.45
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,2565504,14.83,0.92, 0:02.33,673,599,305.47,1026.89
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2590549,13.52,0.89, 0:01.84,779,599,408.65,1036.91
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2936652,15.14,0.68, 0:02.00,790,599,372.33,1175.45
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2410475,13.26,0.84, 0:01.75,801,599,418.83,964.83
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,2364432,13.12,0.69, 0:01.62,848,599,460.53,946.41
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3782946,6.12,0.77, 0:01.22,563,599,660.68,1514.19
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,2775850,13.43,1.01, 0:01.88,766,599,398.46,1111.08
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,2407291,13.74,1.03, 0:02.03,727,599,365.04,963.56
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,2434299,15.15,0.67, 0:02.39,659,599,289.25,974.37
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,3696175,15.95,0.95, 0:01.83,922,599,397.67,1479.46
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,3459509,15.21,1.03, 0:01.87,866,599,399.56,1384.73
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,3779203,16.98,1.01, 0:01.89,947,599,397.09,1512.69
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2499371,11.42,0.71, 0:01.65,733,599,450.99,1000.42
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2504252,12.52,0.71, 0:01.64,807,599,458.99,1002.37
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2812722,13.1,0.84, 0:01.71,812,599,433.03,1125.84
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3739236,11.39,0.91, 0:01.47,833,599,520.93,1496.69
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5240370,3.88,0.83, 0:01.23,384,599,662.74,2097.55
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3839516,15.33,1.02, 0:01.74,936,599,435.98,1536.83
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,3841849,16.53,0.95, 0:01.88,927,599,400.98,1537.77
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,3840542,14.89,0.88, 0:01.66,950,599,448.76,1537.24
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,2590549,14.4,0.96, 0:02.05,749,599,360.02,1036.91
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3422320,13.6,0.81, 0:02.01,715,599,366.32,1369.84
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,3219663,13.48,0.99, 0:02.01,719,599,354.68,1288.73
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3393747,12.81,0.81, 0:01.65,822,599,445.38,1358.41
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,2712504,75.45,0.82, 0:09.25,824,599,67.21,1085.73
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,2691716,105.25,1.11, 0:10.96,969,599,56.68,1077.41
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,2704872,37.34,0.9, 0:04.74,805,599,137.53,1082.67
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5259458,3.88,0.8, 0:01.21,387,599,674.57,2105.19
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,3023946,35.26,0.71, 0:03.46,1037,599,191.23,1210.39
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3067530,47.0,1.34, 0:06.00,805,599,105.44,1227.83
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,3065739,38.36,1.05, 0:05.54,711,599,114.94,1227.12
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,3367116,68.11,1.33, 0:09.50,730,599,65.18,1347.75
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,2902112,25.66,0.84, 0:03.99,663,599,163.66,1161.62
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,2554568,19.87,0.75, 0:02.62,784,599,261.38,1022.51
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,3287554,14.43,1.0, 0:02.19,703,599,332.97,1315.9
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,4441614,32.26,1.08, 0:04.97,669,599,130.37,1777.83
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,4520563,34.7,1.04, 0:04.95,721,599,129.45,1809.43
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3753687,18.13,0.76, 0:02.06,914,599,345.21,1502.48
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,5259458,3.88,0.83, 0:01.18,398,599,689.67,2105.19
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,4346647,33.05,1.0, 0:04.64,733,599,138.6,1739.82
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3721187,24.72,1.0, 0:03.02,850,599,222.08,1489.47
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,3722296,25.03,0.91, 0:02.93,884,599,228.93,1489.91
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,3722246,23.91,1.04, 0:02.97,838,599,230.39,1489.89
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,3669042,16.44,0.99, 0:01.98,878,599,373.41,1468.6
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,3833218,24.03,1.08, 0:02.97,845,599,231.73,1534.31
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,2408295,32.82,1.0, 0:05.14,658,599,125.95,963.96
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,2586154,24.29,0.85, 0:03.78,664,599,176.65,1035.15
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,2589232,32.6,0.79, 0:04.04,825,599,161.34,1036.39
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,2494269,22.52,0.88, 0:02.75,850,599,247.46,998.37
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,5259458,3.84,0.85, 0:01.19,394,599,687.39,2105.19
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,2515967,14.09,1.08, 0:02.48,612,599,287.03,1007.06
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,3586504,26.3,1.11, 0:02.89,945,599,237.54,1435.56
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,3536995,30.74,1.0, 0:03.93,805,599,167.95,1415.74
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,3585734,19.43,0.82, 0:02.79,724,599,241.82,1435.25
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,4228131,21.78,1.04, 0:02.40,950,599,288.01,1692.38
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,4054727,26.78,0.94, 0:03.29,842,599,201.06,1622.98
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,3539937,16.4,0.78, 0:02.12,808,599,331.94,1416.92
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,2473433,19.62,1.07, 0:02.52,819,599,279.06,990.03
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,2448409,19.89,1.0, 0:02.98,700,599,231.73,980.02
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,2540803,24.01,1.09, 0:03.85,651,599,173.1,1017.0
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5256152,4.01,1.0, 0:01.27,392,599,667.12,2103.87
171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,2574641,24.48,0.89, 0:03.74,677,599,178.79,1030.55
172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,2922715,23.95,0.91, 0:03.74,663,599,175.37,1169.87
173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,2682663,8.82,0.97, 0:01.56,626,599,509.45,1073.78
174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,3589370,16.87,0.95, 0:02.10,847,599,337.37,1436.71
175,1,2,1:0:0,0x113:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,2682663,8.75,1.11, 0:01.51,650,599,506.92,1073.78
176,1,2,1:0:0,0x3:0x113,umh,9,0,24,2,1,1,-2,16,2,2,spatial,1,0,2,40,50,1,69,1,2574461,36.62,2.85, 0:06.63,595,599,95.91,1030.47
177,1,2,1:0:0,0x3:0x113,umh,1,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,2802914,20.44,2.59, 0:04.78,481,599,135.62,1121.92
178,1,8,1:0:0,0x3:0x113,umh,10,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,2435037,56.06,3.02, 0:07.52,785,599,83.95,974.67
179,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,0,60,1,69,0,3140376,25.48,0.99, 0:03.96,668,599,167.96,1256.99
180,1,8,1:0:0,0x3:0x113,hex,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,2586107,23.08,0.98, 0:03.81,630,599,175.31,1035.13
18,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,3,2,1,None,1,0,0,0,None,0,69,0,5736335,4.74,0.83, 0:01.25,443,599,678.55,2296.07
181,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,10,1,69,1,2239109,24.84,0.92, 0:03.17,810,599,210.5,896.24
182,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,40,1,69,1,2552273,24.56,0.81, 0:03.63,697,599,181.19,1021.59
183,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,0,8,2,2,spatial,1,0,2,40,60,1,69,1,2352062,49.03,1.21, 0:05.96,842,599,107.35,941.45
184,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,0,40,60,1,69,0,2699697,49.07,1.17, 0:05.72,877,599,112.15,1080.6
185,1,16,0:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,2397410,47.63,1.26, 0:05.49,890,599,117.48,959.61
186,1,8,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,50,1,69,1,2383882,40.1,1.37, 0:05.74,722,599,111.84,954.19
187,0,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,2639064,64.75,1.13, 0:08.19,804,599,76.8,1056.33
188,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,auto,1,0,2,40,60,1,69,1,2399082,47.75,1.16, 0:05.63,867,599,112.86,960.27
189,1,16,0:0:0,0x3:0x113,hex,11,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,2410164,55.73,1.14, 0:06.09,933,599,103.95,964.71
190,0,16,0:0:0,0x3:0x113,hex,11,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,0,2983627,80.35,1.29, 0:09.23,884,599,67.33,1194.25
19,1,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4579670,4.67,0.92, 0:01.26,444,599,676.91,1833.09
