configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,35215864,14.22,1.15, 0:02.14,717,600,383.45,14072.27
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,13494666,52.49,1.92, 0:05.38,1011,600,124.81,5392.47
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,14024303,46.39,1.66, 0:04.57,1051,600,150.86,5604.12
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,14487228,60.66,1.49, 0:04.79,1295,600,142.24,5789.1
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,16870832,102.02,1.88, 0:05.84,1778,600,116.82,6741.59
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,17603565,63.5,1.64, 0:03.72,1749,600,197.35,7034.39
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,17986564,38.69,1.28, 0:03.31,1206,600,219.89,7187.44
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,17315319,39.91,1.53, 0:03.51,1179,600,216.45,6919.21
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,12218459,41.98,1.85, 0:04.45,983,600,160.53,4882.5
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,12606024,45.67,1.72, 0:03.99,1187,600,182.62,5037.37
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,15112327,42.97,1.86, 0:04.53,988,600,156.54,6038.89
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,24308748,19.0,1.45, 0:02.26,904,600,380.91,9713.79
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,16665666,81.53,1.67, 0:05.79,1436,600,117.82,6659.61
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,13634030,64.39,1.87, 0:05.41,1223,600,127.3,5448.16
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,13614086,79.31,1.69, 0:04.99,1620,600,139.32,5440.19
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,12023822,60.76,1.62, 0:04.87,1279,600,139.47,4804.72
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,16239267,87.2,1.9, 0:05.61,1586,600,122.31,6489.22
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,13278774,87.08,1.55, 0:07.62,1162,600,86.62,5306.2
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,13615309,64.4,1.88, 0:04.95,1338,600,141.59,5440.68
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,16046546,64.49,1.89, 0:04.97,1334,600,141.16,6412.21
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,11863727,65.04,2.19, 0:05.93,1132,600,115.06,4740.75
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,11803535,64.27,2.05, 0:05.29,1252,600,130.27,4716.7
