configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,101575989,61.67,6.04, 0:13.56,499,600,57.73,40589.81
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,57263841,216.37,9.15, 0:20.57,1095,600,33.68,22882.65
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,44852573,191.81,8.27, 0:16.08,1243,600,45.6,17923.11
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,46647494,241.16,8.69, 0:16.50,1513,600,44.35,18640.36
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,63112530,611.53,9.16, 0:21.14,2935,600,33.11,25219.79
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,64176971,340.46,7.17, 0:16.33,2128,600,44.94,25645.14
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,77306199,172.34,6.63, 0:16.77,1067,600,43.42,30891.59
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,79225282,180.28,7.13, 0:16.42,1141,600,43.59,31658.46
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,53481382,187.66,7.66, 0:17.15,1138,600,41.42,21371.18
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,56103216,194.89,7.89, 0:17.05,1188,600,42.15,22418.87
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,50931703,187.41,8.23, 0:18.29,1069,600,38.93,20352.33
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,77639330,93.0,6.9, 0:13.69,729,600,55.83,31024.71
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,61462511,312.7,7.04, 0:19.64,1627,600,35.72,24560.45
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,58390699,273.38,7.98, 0:19.64,1432,600,35.62,23332.95
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,58208278,314.95,7.93, 0:18.92,1706,600,37.2,23260.05
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,53763350,259.8,8.01, 0:19.08,1403,600,36.84,21483.86
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,53199746,366.02,7.62, 0:20.50,1821,600,33.84,21258.64
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,56868917,312.47,6.74, 0:22.29,1431,600,30.66,22724.84
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,58184707,276.25,8.16, 0:19.87,1431,600,35.09,23250.63
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,71078102,275.97,8.28, 0:19.46,1460,600,36.46,28402.84
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,54222032,272.12,10.15, 0:19.68,1434,600,35.91,21667.15
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,53765870,270.77,9.84, 0:19.05,1472,600,37.32,21484.86
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,77639330,91.07,6.45, 0:12.70,767,600,61.33,31024.71
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,49668151,258.5,10.94, 0:20.32,1325,600,34.56,19847.41
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,54328133,265.17,9.87, 0:19.74,1393,600,35.84,21709.54
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,52432284,298.84,8.14, 0:23.91,1283,600,28.58,20951.96
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,54138830,269.66,9.71, 0:17.70,1578,600,40.8,21633.9
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,54298202,270.73,10.33, 0:17.79,1579,600,40.38,21697.58
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,55472093,277.97,9.06, 0:17.44,1645,600,41.16,22166.67
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,56706832,226.8,8.91, 0:18.45,1277,600,38.67,22660.07
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,58109789,237.32,8.51, 0:18.16,1353,600,38.99,23220.7
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,70396695,246.32,8.32, 0:17.64,1442,600,40.25,28130.55
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,60069273,228.4,8.67, 0:15.98,1483,600,46.16,24003.71
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,101508092,60.4,6.13, 0:12.52,531,600,62.04,40562.68
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,64872620,245.62,8.66, 0:16.55,1535,600,44.66,25923.13
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,65253315,316.73,9.07, 0:17.33,1879,600,41.58,26075.25
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,63812063,239.19,8.7, 0:16.62,1491,600,43.98,25499.33
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,58184707,277.69,7.36, 0:19.16,1487,600,36.75,23250.63
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,71657240,303.1,6.24, 0:15.29,2022,600,47.42,28634.26
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,58698180,264.66,7.5, 0:17.52,1553,600,40.5,23455.82
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,71737041,221.13,6.69, 0:16.33,1394,600,44.32,28666.15
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,64731923,1377.86,7.65, 0:46.53,2977,600,13.72,25866.9
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,49051831,3035.15,8.53, 1:15.22,4046,600,8.28,19601.13
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,47378349,1086.71,9.92, 0:33.08,3314,600,20.0,18932.41
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,101575989,60.34,5.56, 0:12.58,523,600,60.3,40589.81
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,53611313,792.48,8.77, 0:28.47,2813,600,23.58,21423.1
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,67777626,1384.6,7.91, 0:47.09,2956,600,13.58,27083.97
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,55561271,977.52,7.37, 0:40.23,2448,600,16.05,22202.31
