configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,144578002,83.88,10.54, 0:22.68,416,1199,69.64,57821.61
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,53341482,299.89,12.75, 0:32.77,953,1199,44.36,21333.06
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,43089129,236.24,11.93, 0:29.10,852,1199,49.59,17232.79
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,44287866,279.84,12.66, 0:26.70,1095,1199,56.83,17712.21
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,63672711,536.47,12.42, 0:31.22,1757,1199,45.55,25464.86
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,64383594,378.79,12.48, 0:28.77,1359,1199,51.17,25749.17
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,71236924,200.84,10.77, 0:28.68,737,1199,50.43,28490.05
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,79767588,221.95,12.61, 0:29.52,794,1199,50.22,31901.75
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,49815890,242.39,11.88, 0:29.98,848,1199,48.58,19923.05
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,57294593,266.18,11.99, 0:28.48,976,1199,52.61,22914.04
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,51437724,235.0,11.97, 0:27.72,890,1199,54.19,20571.68
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,93264688,128.8,10.63, 0:22.61,616,1199,70.28,37299.69
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,65330517,374.23,10.62, 0:29.04,1324,1199,49.16,26127.87
