configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4487817,1.24, 0.16, 0:00.28, 493, 599 , 3344.71 , 1796.33
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,2139108,4.39, 0.27, 0:00.74, 624, 599 , 939.44 , 856.22
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,2698625,4.65, 0.20, 0:00.69, 700, 599 , 1012.52 , 1080.17
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,2709891,4.18, 0.21, 0:00.57, 765, 599 , 1276.30 , 1084.68
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,1376674,5.44, 0.21, 0:00.70, 801, 599 , 974.94 , 551.04
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,1404416,3.48, 0.19, 0:00.46, 799, 599 , 1607.21 , 562.14
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2200853,3.69, 0.23, 0:00.69, 565, 599 , 995.60 , 880.93
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,2192333,3.39, 0.26, 0:00.65, 556, 599 , 1064.03 , 877.52
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1953105,3.63, 0.25, 0:00.62, 619, 599 , 1136.72 , 781.76
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1876482,3.93, 0.24, 0:00.66, 630, 599 , 1072.97 , 751.09
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,3761712,4.52, 0.22, 0:00.71, 664, 599 , 979.52 , 1505.69
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2825238,1.68, 0.17, 0:00.30, 617, 599 , 2989.34 , 1130.85
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,1372243,4.76, 0.20, 0:00.63, 779, 599 , 1122.20 , 549.26
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,2337896,5.42, 0.24, 0:00.75, 750, 599 , 922.54 , 935.78
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2284960,4.72, 0.24, 0:00.65, 757, 599 , 1096.98 , 914.60
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2089340,4.38, 0.17, 0:00.64, 703, 599 , 1085.01 , 836.29
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,3841583,5.68, 0.19, 0:00.72, 816, 599 , 972.03 , 1537.66
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,2194257,5.60, 0.23, 0:00.82, 703, 599 , 823.76 , 878.29
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2282525,5.31, 0.25, 0:00.75, 737, 599 , 919.21 , 913.62
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2381970,5.25, 0.19, 0:00.71, 761, 599 , 985.19 , 953.43
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1846841,4.56, 0.27, 0:00.68, 705, 599 , 1014.11 , 739.23
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,1733296,4.96, 0.30, 0:00.69, 755, 599 , 1006.69 , 693.78
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2825238,1.54, 0.20, 0:00.28, 608, 599 , 3183.88 , 1130.85
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,3511610,5.44, 0.27, 0:00.73, 778, 599 , 950.49 , 1405.58
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,1845369,4.56, 0.19, 0:00.71, 671, 599 , 986.09 , 738.64
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1850050,5.58, 0.20, 0:00.93, 620, 599 , 719.00 , 740.51
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,1751919,4.53, 0.22, 0:00.56, 837, 599 , 1295.74 , 701.24
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,1751920,4.49, 0.21, 0:00.54, 861, 599 , 1357.12 , 701.24
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,1855737,4.20, 0.23, 0:00.51, 859, 599 , 1463.13 , 742.79
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,2091591,3.83, 0.25, 0:00.59, 685, 599 , 1196.12 , 837.20
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2105569,3.91, 0.21, 0:00.58, 706, 599 , 1216.66 , 842.79
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,2047397,4.49, 0.22, 0:00.65, 724, 599 , 1075.82 , 819.51
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1307490,2.38, 0.26, 0:00.33, 800, 599 , 2510.55 , 523.35
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,4483932,1.18, 0.21, 0:00.27, 517, 599 , 3540.21 , 1794.77
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1369546,3.30, 0.27, 0:00.43, 818, 599 , 1765.71 , 548.18
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1359283,3.52, 0.21, 0:00.45, 822, 599 , 1700.57 , 544.08
