configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,89572192,11.85,1.23, 0:02.06,633,999,632.34,35864.74
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,45447267,59.42,1.32, 0:06.22,976,999,173.72,18197.1
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,66141222,61.0,1.94, 0:05.54,1135,999,200.3,26482.97
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,66355118,68.01,1.61, 0:05.27,1319,999,209.64,26568.62
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,25560773,84.77,1.85, 0:06.28,1377,999,171.87,10234.54
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,26417636,52.55,1.71, 0:04.04,1340,999,286.98,10577.63
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,60918477,55.82,1.55, 0:04.81,1192,999,233.88,24391.78
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,59780747,60.28,1.58, 0:05.08,1215,999,216.81,23936.24
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,43971043,41.02,1.53, 0:04.20,1012,999,269.36,17606.02
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,45420162,47.34,1.5, 0:04.27,1144,999,262.81,18186.25
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,73434781,57.97,1.81, 0:05.11,1169,999,219.06,29403.32
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,53458743,16.58,1.48, 0:02.13,846,999,626.06,21404.9
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,27604239,67.58,1.73, 0:06.48,1068,999,169.32,11052.75
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,47962169,60.1,1.2, 0:04.93,1243,999,225.74,19204.07
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,47935128,71.44,1.65, 0:05.46,1338,999,200.57,19193.24
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,44985115,50.16,1.47, 0:04.26,1211,999,264.29,18012.06
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,75276956,86.35,1.8, 0:06.41,1375,999,170.97,30140.92
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,48231995,78.1,1.71, 0:07.63,1045,999,141.32,19312.11
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,47936030,62.04,1.56, 0:05.05,1259,999,219.06,19193.61
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,51156284,70.45,1.86, 0:05.75,1257,999,192.73,20483.0
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,44536696,62.2,1.52, 0:05.91,1077,999,186.33,17832.51
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,44319299,62.01,1.89, 0:05.79,1103,999,190.61,17745.47
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,53458743,16.19,1.29, 0:02.09,836,999,637.18,21404.9
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,70907581,72.83,1.53, 0:06.50,1144,999,168.22,28391.42
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,44560041,63.97,2.03, 0:05.93,1112,999,184.96,17841.86
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,44004540,75.12,1.57, 0:10.44,734,999,100.89,17619.44
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,37414723,62.9,1.83, 0:05.25,1232,999,209.93,14980.87
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,37347409,55.99,1.62, 0:04.90,1175,999,225.75,14953.92
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,37647627,58.57,1.76, 0:05.14,1173,999,218.15,15074.12
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,46248023,46.62,1.88, 0:03.91,1240,999,298.37,18517.73
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,46627770,48.29,1.92, 0:03.96,1267,999,294.36,18669.78
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,48893314,59.9,1.7, 0:04.84,1271,999,229.76,19576.9
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,25547139,38.13,1.46, 0:03.16,1252,999,371.91,10229.08
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,89410893,12.17,1.21, 0:02.06,647,999,632.27,35800.16
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,26402338,42.22,1.68, 0:03.06,1432,999,386.76,10571.51
