configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,44623327,10.44,1.11, 0:01.68,687,479,408.01,17868.73
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,20650273,39.84,1.52, 0:04.07,1014,479,134.8,8269.08
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,26231614,41.13,1.48, 0:03.44,1235,479,163.26,10504.05
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,26354320,44.33,1.21, 0:03.08,1478,479,179.95,10553.18
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,16296108,70.62,1.23, 0:04.60,1560,479,114.81,6525.53
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,16686368,49.39,1.18, 0:03.19,1583,479,178.33,6681.8
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,28653539,33.63,1.17, 0:02.87,1210,479,205.13,11473.87
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,28074110,35.19,1.21, 0:02.97,1225,479,196.43,11241.85
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,20185148,31.06,1.3, 0:03.05,1060,479,189.17,8082.83
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,20516621,36.8,1.2, 0:03.29,1152,479,172.91,8215.57
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,28501774,37.17,1.37, 0:03.26,1182,479,174.36,11413.1
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,25928231,14.88,0.97, 0:01.69,933,479,400.31,10382.56
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,16716555,59.32,1.09, 0:04.36,1384,479,124.7,6693.89
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,21546816,48.05,1.24, 0:03.71,1326,479,145.55,8628.09
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,21460755,54.17,1.28, 0:03.95,1403,479,139.3,8593.63
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,20354204,42.74,1.27, 0:03.41,1290,479,165.85,8150.53
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,28913470,58.15,1.51, 0:03.99,1492,479,137.99,11577.96
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,21231052,62.84,1.42, 0:05.45,1177,479,96.78,8501.65
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,21491862,48.73,1.23, 0:03.57,1398,479,157.04,8606.09
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,24288389,48.75,1.17, 0:03.48,1433,479,156.95,9725.91
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,19979338,48.01,1.41, 0:03.72,1327,479,145.72,8000.42
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,19861158,45.34,1.56, 0:03.68,1273,479,152.27,7953.1
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,25928231,14.72,1.03, 0:01.64,957,479,414.66,10382.56
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,28010546,47.01,1.83, 0:04.09,1193,479,134.45,11216.39
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,20026371,44.76,1.51, 0:04.26,1085,479,128.35,8019.25
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,20329005,58.85,1.52, 0:06.04,998,479,86.97,8140.44
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,18706253,43.48,1.41, 0:03.32,1351,479,172.02,7490.63
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,18983234,49.48,1.28, 0:03.42,1482,479,165.78,7601.54
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,19021121,50.87,1.24, 0:03.28,1586,479,168.03,7616.72
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,20524239,32.93,1.12, 0:02.68,1268,479,212.18,8218.62
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,20762600,36.29,1.11, 0:02.75,1359,479,206.03,8314.06
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,23123252,40.72,1.44, 0:03.11,1355,479,184.32,9259.35
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,15830367,31.55,1.1, 0:02.28,1430,479,271.88,6339.03
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,44543479,10.41,0.85, 0:01.49,753,479,441.23,17836.75
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,16570997,33.98,1.3, 0:02.37,1486,479,256.97,6635.6
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,16504563,38.24,1.27, 0:02.51,1571,479,241.03,6609.0
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,16346295,31.21,1.35, 0:02.32,1403,479,265.0,6545.62
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,21491862,44.78,1.38, 0:03.58,1287,479,156.02,8606.09
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,20155025,42.99,1.02, 0:05.10,862,479,104.03,8070.77
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,32043431,45.11,1.06, 0:04.67,987,479,115.44,12831.3
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,20010118,35.32,0.84, 0:03.78,956,479,142.21,8012.74
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,22471514,295.79,1.58, 0:23.04,1290,479,21.28,8998.37
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,27824625,450.97,1.67, 0:24.53,1845,479,19.96,11141.94
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,27336630,215.35,1.52, 0:14.20,1526,479,34.97,10946.53
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,44623327,10.3,1.0, 0:01.66,677,479,405.8,17868.73
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,28988802,122.83,1.51, 0:07.63,1629,479,67.33,11608.12
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,18484626,192.64,1.34, 0:17.88,1084,479,27.55,7401.88
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,30799060,183.93,1.63, 0:18.89,981,479,26.06,12333.01
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,20669599,211.82,1.25, 0:22.83,933,479,21.37,8276.82
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,23856169,117.04,1.25, 0:11.26,1049,479,44.23,9552.84
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,20964871,81.95,1.14, 0:06.63,1253,479,77.15,8395.06
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,32052392,50.53,1.1, 0:04.02,1283,479,133.14,12834.89
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,22583232,113.11,1.27, 0:11.10,1030,479,45.27,9043.11
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,22629293,113.65,1.36, 0:11.21,1026,479,44.82,9061.55
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,16621587,48.65,1.14, 0:03.48,1428,479,161.53,6655.86
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,44623327,10.32,1.0, 0:01.64,690,479,415.75,17868.73
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,18859074,108.87,1.37, 0:09.82,1122,479,51.49,7551.83
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,16354108,74.34,1.23, 0:05.66,1333,479,91.3,6548.75
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,16362507,75.19,1.43, 0:05.82,1316,479,90.14,6552.11
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,16358422,74.45,1.17, 0:05.79,1305,479,90.91,6550.48
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,15751934,45.25,0.94, 0:03.07,1504,479,181.55,6307.62
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,19894437,76.18,1.27, 0:06.04,1281,479,86.49,7966.42
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,20301687,177.32,1.61, 0:13.28,1346,479,37.52,8129.5
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,21336240,136.93,1.31, 0:10.84,1274,479,46.14,8543.77
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,21304198,188.36,1.86, 0:12.40,1533,479,40.25,8530.94
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,20952596,114.57,1.67, 0:06.86,1692,479,75.51,8390.15
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,44623327,10.0,1.13, 0:01.67,666,479,405.03,17868.73
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,20145588,41.83,1.52, 0:05.09,851,479,104.9,8066.99
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,16490820,110.36,1.4, 0:06.36,1756,479,80.82,6603.5
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,23766896,120.14,1.23, 0:11.02,1101,479,45.18,9517.09
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,36340059,70.88,1.31, 0:07.21,1000,479,71.34,14551.82
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,20849159,66.86,1.5, 0:04.38,1560,479,122.95,8348.73
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,26700495,82.02,1.36, 0:07.68,1084,479,66.64,10691.8
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,23458848,48.25,1.21, 0:04.94,1000,479,107.65,9393.74
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,20352040,88.07,1.21, 0:05.90,1511,479,89.04,8149.66
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,20358283,92.82,1.17, 0:07.75,1212,479,65.37,8152.16
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,20979270,129.06,1.74, 0:10.49,1246,479,48.04,8400.83
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,44578487,11.33,0.76, 0:01.54,783,479,437.41,17850.77
171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,21280458,130.73,1.48, 0:10.28,1286,479,49.02,8521.43
172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,28799019,153.15,1.28, 0:12.21,1264,479,40.88,11532.13
