configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,82291067,13.9,2.42, 0:02.66,612,1197,538.36,32899.93
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,45729376,65.41,3.37, 0:06.15,1117,1197,215.65,18282.58
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,71897244,67.51,1.81, 0:03.95,1752,1197,347.46,28744.48
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,71923256,79.69,1.6, 0:04.02,2020,1197,340.93,28754.88
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,27900193,101.54,1.99, 0:05.12,2021,1197,260.16,11154.48
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,28258843,66.55,1.36, 0:03.51,1933,1197,401.0,11297.87
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,59810095,58.96,1.4, 0:03.29,1830,1197,430.66,23912.05
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,57376948,65.22,1.53, 0:03.54,1881,1197,397.47,22939.28
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,47101754,48.9,1.45, 0:03.12,1613,1197,448.59,18831.26
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,47505055,55.07,1.45, 0:03.02,1870,1197,465.32,18992.5
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,78556074,66.27,1.42, 0:03.59,1883,1197,389.27,31406.68
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,48064866,18.37,1.9, 0:02.03,994,1197,771.44,19216.31
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,28636043,94.71,1.31, 0:04.62,2075,1197,291.61,11448.68
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,50202879,86.47,1.95, 0:04.54,1945,1197,298.76,20071.09
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,50068850,87.76,1.47, 0:04.29,2075,1197,318.52,20017.5
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,48705807,61.83,1.54, 0:03.45,1832,1197,411.01,19472.56
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,81867587,112.16,1.39, 0:04.88,2325,1197,270.81,32730.62
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,48837241,121.92,1.3, 0:06.15,2003,1197,212.41,19525.1
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,50186855,89.37,1.36, 0:04.35,2083,1197,313.48,20064.68
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,53377215,94.92,1.53, 0:04.59,2100,1197,295.47,21340.18
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,45841829,74.52,3.14, 0:05.46,1420,1197,243.58,18327.54
