configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,86194094,14.28, 2.22, 0:02.93, 563, 500 , 235.70 , 34477.64
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,43676622,61.19, 3.63, 0:06.49, 998, 500 , 84.67 , 17470.65
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,59758872,62.50, 1.49, 0:04.20, 1520, 500 , 137.28 , 23903.55
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,60007161,75.32, 1.32, 0:04.40, 1740, 500 , 127.56 , 24002.86
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,37900794,116.52, 1.58, 0:06.00, 1966, 500 , 91.66 , 15160.32
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,39699656,81.74, 1.54, 0:04.25, 1958, 500 , 135.50 , 15879.86
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,59149468,59.33, 1.27, 0:03.67, 1649, 500 , 160.77 , 23659.79
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,55755329,62.67, 1.29, 0:03.84, 1663, 500 , 153.72 , 22302.13
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,42542004,49.37, 1.45, 0:04.51, 1126, 500 , 124.22 , 17016.80
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,43515194,56.52, 1.57, 0:04.30, 1348, 500 , 133.33 , 17406.08
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,61636393,61.55, 1.61, 0:04.49, 1404, 500 , 126.83 , 24654.56
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,61473826,21.30, 1.22, 0:01.95, 1152, 500 , 358.81 , 24589.53
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,38805315,91.75, 1.27, 0:05.99, 1551, 500 , 90.88 , 15522.13
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,45628362,72.56, 1.59, 0:04.98, 1488, 500 , 111.70 , 18251.34
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,45498295,86.54, 1.72, 0:05.05, 1746, 500 , 111.27 , 18199.32
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,42569882,60.72, 1.64, 0:04.74, 1315, 500 , 119.96 , 17027.95
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,63484507,93.32, 1.44, 0:05.42, 1747, 500 , 101.31 , 25393.80
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,45767760,106.55, 1.24, 0:08.00, 1346, 500 , 66.65 , 18307.10
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,45626045,70.79, 1.56, 0:04.65, 1553, 500 , 122.10 , 18250.42
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,52191374,76.49, 1.66, 0:05.00, 1560, 500 , 112.37 , 20876.55
