configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,155646352,33.71,2.52, 0:04.35,831,1200,375.43,62258.54
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,48779352,126.49,3.04, 0:11.87,1091,1200,111.77,19511.74
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,66062529,121.69,2.7, 0:09.03,1376,1200,151.63,26425.01
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,66595132,147.33,3.21, 0:09.83,1530,1200,139.82,26638.05
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,27529115,202.06,3.09, 0:11.89,1724,1200,112.95,11011.65
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,28992604,127.39,2.57, 0:07.27,1787,1200,196.44,11597.04
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,83990470,112.62,2.7, 0:08.08,1426,1200,173.72,33596.19
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,80721345,111.76,2.75, 0:08.26,1385,1200,171.79,32288.54
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,46711331,87.11,2.72, 0:07.90,1137,1200,178.06,18684.53
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,49236871,98.7,2.64, 0:08.52,1188,1200,163.04,19694.75
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,83503042,117.72,2.83, 0:08.85,1361,1200,158.14,33401.22
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,51889853,45.58,2.4, 0:04.15,1154,1200,398.14,20755.94
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,30147796,145.84,2.5, 0:11.02,1345,1200,121.81,12059.12
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,52678350,136.27,2.97, 0:09.98,1394,1200,136.23,21071.34
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,52294619,167.16,2.87, 0:10.30,1649,1200,131.52,20917.85
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,48685935,119.9,2.84, 0:08.62,1423,1200,160.86,19474.37
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,84220778,187.47,2.99, 0:11.07,1719,1200,121.3,33688.31
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,52494659,158.35,2.47, 0:13.56,1185,1200,96.38,20997.86
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,52307532,137.05,2.87, 0:09.29,1506,1200,146.82,20923.01
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,58135448,144.59,2.87, 0:09.36,1575,1200,146.2,23254.18
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,47868900,148.03,3.59, 0:11.75,1290,1200,112.9,19147.56
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,46848740,140.15,3.79, 0:11.37,1265,1200,118.6,18739.5
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,51889853,46.69,2.15, 0:04.12,1184,1200,400.72,20755.94
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,80593321,151.98,3.75, 0:11.46,1358,1200,117.55,32237.33
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,47802335,138.11,3.93, 0:11.05,1285,1200,121.09,19120.93
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,47900178,153.37,3.6, 0:18.77,836,1200,68.57,19160.07
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,35532315,136.13,3.24, 0:09.79,1422,1200,139.8,14212.93
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,35532316,140.51,3.64, 0:10.51,1371,1200,129.97,14212.93
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,35674907,140.54,3.33, 0:09.78,1469,1200,138.65,14269.96
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,49870539,101.51,3.21, 0:07.23,1448,1200,196.61,19948.22
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,51105726,112.9,3.46, 0:07.79,1493,1200,183.42,20442.29
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,55636902,128.67,3.12, 0:08.56,1539,1200,162.21,22254.76
