configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,85323083,62.06,5.73, 0:13.80,491,479,43.73,34166.32
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,55547336,245.08,44.84, 0:29.96,967,479,18.64,22243.08
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,40731840,213.15,8.72, 0:18.30,1212,479,32.0,16310.44
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,42550125,264.53,9.3, 0:19.01,1440,479,30.71,17038.54
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,80580537,686.54,8.53, 0:23.46,2961,479,23.86,32267.24
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,81347244,370.5,7.66, 0:18.70,2022,479,30.66,32574.26
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,71938299,170.18,6.29, 0:17.79,991,479,32.82,28806.59
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,73139740,197.69,6.65, 0:17.45,1170,479,33.92,29287.69
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,50119270,202.59,7.86, 0:19.62,1072,479,29.44,20069.49
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,55916586,211.46,8.31, 0:20.08,1094,479,28.6,22390.94
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,43307455,189.98,8.07, 0:19.63,1008,479,29.51,17341.81
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,67223234,94.51,6.68, 0:14.09,717,479,44.45,26918.51
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,72721131,394.71,7.52, 0:21.79,1845,479,25.97,29120.06
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,54115503,286.77,8.08, 0:21.12,1395,479,26.85,21669.72
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,54145671,331.36,8.76, 0:21.36,1592,479,26.69,21681.8
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,47434856,266.17,7.93, 0:20.19,1357,479,28.5,18994.56
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,42252523,354.04,9.11, 0:21.45,1692,479,26.49,16919.37
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,50291643,343.48,8.14, 0:26.30,1336,479,20.93,20138.52
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,54110334,283.35,7.65, 0:20.50,1418,479,27.81,21667.65
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,67283264,292.45,7.39, 0:20.23,1481,479,28.12,26942.55
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,49487874,298.98,55.1, 0:33.82,1046,479,15.76,19816.66
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,49483904,306.75,11.3, 0:20.82,1527,479,28.06,19815.07
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,67223234,93.91,6.75, 0:14.47,695,479,42.92,26918.51
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,39029280,259.75,12.39, 0:21.41,1270,479,26.58,15628.68
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,49482945,294.25,11.42, 0:22.89,1335,479,24.69,19814.69
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,47040811,344.43,11.15, 0:31.18,1140,479,17.15,18836.77
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,55686060,281.4,10.83, 0:19.56,1493,479,29.64,22298.63
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,56879260,285.34,10.83, 0:19.96,1483,479,28.79,22776.43
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,59829115,299.92,10.87, 0:20.14,1542,479,28.58,23957.65
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,52139289,237.18,9.13, 0:20.51,1200,479,28.02,20878.38
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,54010799,251.76,8.6, 0:19.73,1319,479,29.25,21627.8
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,66588658,256.98,8.43, 0:19.37,1369,479,29.79,26664.41
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,65717410,244.94,9.0, 0:19.09,1330,479,30.44,26315.53
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,84977153,59.45,6.49, 0:13.50,488,479,46.81,34027.8
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,76350023,271.91,8.22, 0:17.67,1585,479,33.5,30573.19
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,76398557,328.81,9.07, 0:18.91,1785,479,30.86,30592.63
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,75355756,264.76,8.93, 0:18.05,1515,479,32.32,30175.06
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,54110334,283.38,7.52, 0:20.54,1416,479,27.78,21667.65
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,79769529,402.09,7.14, 0:16.71,2447,479,35.44,31942.48
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,41466384,240.85,7.83, 0:18.75,1326,479,31.17,16604.58
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,79663192,243.32,7.86, 0:17.33,1448,479,34.12,31899.9
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,57568288,1466.35,8.73, 0:46.90,3144,479,11.01,23052.34
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,38247788,2564.7,11.37, 1:13.86,3487,479,6.8,15315.74
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,38220200,865.45,9.4, 0:36.30,2410,479,14.53,15304.69
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,85323083,59.75,6.12, 0:13.26,496,479,47.82,34166.32
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,41378086,776.68,9.62, 0:32.22,2440,479,16.65,16569.22
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,72451113,1509.73,8.07, 0:50.64,2997,479,10.14,29011.94
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,40511650,860.79,8.59, 0:35.68,2436,479,14.83,16222.27
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,82483721,1343.07,7.97, 0:47.82,2825,479,10.76,33029.34
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,59926663,547.56,8.07, 0:24.83,2237,479,22.36,23996.71
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,47730102,431.86,8.44, 0:23.38,1882,479,23.79,19112.79
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,51361852,218.69,8.03, 0:19.53,1160,479,29.38,20567.07
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,73043216,508.14,7.46, 0:21.13,2439,479,26.78,29249.03
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,73236700,539.2,7.69, 0:22.54,2425,479,24.94,29326.51
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,71561645,373.6,7.75, 0:19.03,2003,479,30.52,28655.76
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,85323083,59.37,6.79, 0:13.37,494,479,47.7,34166.32
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,86945590,669.51,8.18, 0:24.18,2802,479,22.99,34816.03
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,70105920,502.38,8.21, 0:21.13,2416,479,27.06,28072.84
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,70591793,528.77,8.19, 0:20.44,2626,479,27.64,28267.4
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,70294724,506.06,8.0, 0:20.63,2491,479,27.83,28148.44
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,63304270,351.2,7.84, 0:19.33,1856,479,29.97,25349.22
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,56837990,410.98,8.07, 0:19.72,2124,479,29.29,22759.9
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,47985915,952.08,8.53, 0:42.63,2252,479,12.13,19215.22
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,52228670,777.1,7.76, 0:41.56,1888,479,12.56,20914.17
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,52171863,1365.17,9.71, 0:48.97,2807,479,10.53,20891.42
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,57973746,1072.66,10.3, 0:33.23,3258,479,16.07,23214.7
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,85323083,60.76,6.36, 0:13.80,486,479,45.51,34166.32
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,49598277,313.21,10.02, 0:26.66,1212,479,20.54,19860.87
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,81718347,1283.45,9.68, 0:33.81,3823,479,15.73,32722.86
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,63007696,1041.33,8.23, 0:35.97,2917,479,14.72,25230.46
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,57555905,341.06,8.15, 0:19.51,1789,479,29.47,23047.38
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,69529695,662.37,10.18, 0:26.80,2508,479,20.52,27842.1
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,76679322,733.81,8.69, 0:25.68,2890,479,21.36,30705.06
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,59353616,392.0,7.55, 0:17.35,2302,479,34.41,23767.24
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,47809134,696.2,8.87, 0:28.79,2448,479,18.88,19144.43
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,47564746,661.49,8.07, 0:38.01,1761,479,13.8,19046.57
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,48488684,731.23,8.83, 0:40.38,1832,479,12.95,19416.55
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,84995877,58.89,6.57, 0:13.34,490,479,47.88,34035.29
171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,52236424,732.2,8.74, 0:39.33,1883,479,13.34,20917.27
172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,40665259,623.47,8.35, 0:38.30,1649,479,13.72,16283.78
173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,55690031,193.76,9.85, 0:19.98,1018,479,28.8,22300.22
174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,81844355,394.65,8.61, 0:23.42,1721,479,23.89,32773.32
175,1,2,1:0:0,0x113:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,55690031,196.94,9.56, 0:19.42,1063,479,29.66,22300.22
176,1,2,1:0:0,0x3:0x113,umh,9,0,24,2,1,1,-2,16,2,2,spatial,1,0,2,40,50,1,69,1,52741267,1040.69,230.33, 2:02.57,1036,479,4.02,21119.43
177,1,2,1:0:0,0x3:0x113,umh,1,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,56620197,516.53,40.79, 0:57.35,971,479,8.84,22672.69
178,1,8,1:0:0,0x3:0x113,umh,10,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,48790197,1568.24,40.34, 1:29.23,1802,479,5.58,19537.29
179,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,0,60,1,69,0,40422991,657.46,9.24, 0:40.57,1643,479,12.89,16186.77
180,1,8,1:0:0,0x3:0x113,hex,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,52182155,626.84,8.02, 0:39.04,1625,479,13.42,20895.54
18,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,3,2,1,None,1,0,0,0,None,0,69,0,79417317,86.36,6.84, 0:14.95,623,479,41.24,31801.45
181,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,10,1,69,1,52191663,805.91,9.04, 0:35.86,2272,479,14.79,20899.35
182,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,40,1,69,1,52294059,754.27,8.23, 0:39.63,1923,479,13.13,20940.35
183,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,0,8,2,2,spatial,1,0,2,40,60,1,69,1,44627082,1955.23,15.16, 1:08.48,2877,479,7.34,17870.23
184,1,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,0,40,60,1,69,0,38148305,1652.52,15.34, 1:02.20,2681,479,8.1,15275.9
185,1,16,0:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,48109908,2018.02,15.41, 1:06.20,3071,479,7.63,19264.87
186,1,8,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,50,1,69,1,47996538,1196.62,13.55, 0:58.61,2064,479,8.67,19219.48
187,0,16,1:0:0,0x3:0x113,umh,10,1,24,2,1,1,-2,8,2,2,spatial,1,0,2,40,60,1,69,1,56147756,2114.92,15.65, 1:10.43,3024,479,7.15,22483.51
