configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,7505319,1.42,0.09, 0:00.33,455,599,2681.35,3007.14
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,5429748,7.27,0.26, 0:01.71,439,599,372.45,2175.53
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,4570214,7.01,0.28, 0:01.57,464,599,412.19,1831.14
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,4534706,7.6,0.22, 0:01.51,515,599,427.18,1816.91
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,5717260,11.45,0.27, 0:01.75,667,599,365.72,2290.72
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,5758615,7.73,0.23, 0:01.15,689,599,578.86,2307.29
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,6144807,5.28,0.14, 0:00.85,632,599,794.13,2462.03
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5875234,5.69,0.23, 0:00.91,649,599,740.31,2354.02
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5541307,5.87,0.27, 0:01.30,470,599,501.6,2220.22
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,5394309,6.14,0.31, 0:01.35,476,599,484.69,2161.33
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,4728597,6.29,0.26, 0:01.39,471,599,472.33,1894.6
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5992189,1.91,0.23, 0:00.37,578,599,2332.27,2400.88
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,5841567,9.79,0.21, 0:01.32,756,599,496.95,2340.53
