configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,292234,1.52, 0.20, 0:00.45, 379, 600 , 2025.23 , 116.78
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,122734,3.02, 0.27, 0:00.69, 478, 600 , 1132.88 , 49.04
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,110665,2.43, 0.23, 0:00.51, 523, 600 , 1568.24 , 44.22
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,111338,2.78, 0.24, 0:00.51, 594, 600 , 1603.46 , 44.49
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,170087,2.72, 0.32, 0:00.56, 542, 600 , 1481.46 , 67.97
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,171309,2.70, 0.24, 0:00.52, 563, 600 , 1619.10 , 68.46
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,132430,2.00, 0.27, 0:00.54, 418, 600 , 1519.65 , 52.92
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,288183,2.52, 0.26, 0:00.56, 493, 600 , 1367.61 , 115.16
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,120172,2.24, 0.27, 0:00.52, 480, 600 , 1517.77 , 48.02
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,123710,2.55, 0.31, 0:00.58, 493, 600 , 1424.43 , 49.43
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,138219,2.71, 0.27, 0:00.62, 475, 600 , 1272.96 , 55.23
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,272037,1.46, 0.29, 0:00.40, 433, 600 , 2366.44 , 108.71
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,168321,2.49, 0.23, 0:00.53, 508, 600 , 1559.36 , 67.26
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,132350,2.57, 0.24, 0:00.60, 464, 600 , 1314.10 , 52.89
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,130329,2.74, 0.21, 0:00.61, 480, 600 , 1310.51 , 52.08
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,127330,2.60, 0.30, 0:00.59, 485, 600 , 1362.47 , 50.88
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,138512,2.77, 0.28, 0:00.61, 498, 600 , 1310.39 , 55.35
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,128255,2.54, 0.24, 0:00.60, 461, 600 , 1330.70 , 51.25
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,131473,2.52, 0.23, 0:00.56, 490, 600 , 1387.86 , 52.54
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,145987,2.69, 0.32, 0:00.61, 494, 600 , 1318.61 , 58.34
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,123643,3.33, 0.38, 0:00.76, 487, 600 , 984.76 , 49.41
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,118779,3.28, 0.34, 0:00.71, 509, 600 , 1068.68 , 47.46
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,272037,1.66, 0.21, 0:00.39, 478, 600 , 2261.72 , 108.71
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,132031,3.23, 0.37, 0:00.75, 476, 600 , 997.98 , 52.76
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,123534,3.38, 0.36, 0:00.79, 474, 600 , 945.08 , 49.36
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,123193,3.59, 0.28, 0:00.92, 418, 600 , 779.91 , 49.23
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,175183,2.87, 0.26, 0:00.57, 544, 600 , 1429.29 , 70.00
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,175184,3.01, 0.37, 0:00.62, 545, 600 , 1284.68 , 70.00
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,181877,3.20, 0.27, 0:00.62, 559, 600 , 1278.72 , 72.68
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,120172,2.49, 0.25, 0:00.57, 477, 600 , 1437.68 , 48.02
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,121841,2.59, 0.25, 0:00.53, 536, 600 , 1510.27 , 48.69
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,130835,2.66, 0.21, 0:00.54, 528, 600 , 1466.83 , 52.28
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,166598,2.53, 0.25, 0:00.46, 607, 600 , 1820.39 , 66.57
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,290608,1.42, 0.26, 0:00.42, 391, 600 , 2118.42 , 116.13
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,185694,2.81, 0.23, 0:00.48, 627, 600 , 1791.39 , 74.20
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,183545,3.00, 0.30, 0:00.49, 664, 600 , 1722.67 , 73.34
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,184186,2.61, 0.33, 0:00.49, 593, 600 , 1749.13 , 73.60
