configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5326721,4.48,1.03, 0:01.38,398,599,587.77,2134.25
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,1094816,11.77,0.97, 0:02.16,589,599,332.06,438.66
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,1169709,10.95,1.18, 0:01.75,691,599,428.92,468.66
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,1171298,12.52,1.14, 0:01.74,782,599,438.52,469.3
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,1653930,16.78,1.16, 0:01.99,898,599,368.05,662.68
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,1787763,12.97,1.03, 0:01.65,848,599,477.36,716.3
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1784730,8.02,1.05, 0:01.71,530,599,459.23,715.08
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1985147,9.94,1.0, 0:01.71,637,599,452.68,795.38
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1058414,9.68,0.84, 0:01.77,593,599,428.1,424.07
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1103167,11.61,1.15, 0:01.86,684,599,399.61,442.0
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,1570322,9.82,1.1, 0:01.77,616,599,429.33,629.18
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3703432,6.24,1.05, 0:01.37,530,599,596.12,1483.85
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,1878509,13.9,0.88, 0:01.89,781,599,393.68,752.66
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,1166897,12.61,0.92, 0:02.13,633,599,341.11,467.54
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1139274,12.34,0.91, 0:01.84,717,599,408.64,456.47
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1115517,11.85,0.74, 0:01.93,652,599,378.17,446.95
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,1608054,13.97,0.79, 0:01.85,797,599,407.97,644.3
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,1119017,12.52,1.14, 0:02.32,588,599,306.52,448.35
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1143321,11.92,0.86, 0:01.80,708,599,421.02,458.09
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1319942,12.48,0.67, 0:01.84,712,599,401.29,528.86
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1049453,12.84,1.07, 0:02.12,656,599,344.94,420.48
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,1011060,12.89,0.92, 0:01.96,703,599,375.73,405.1
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3703432,6.32,0.88, 0:01.36,528,599,595.44,1483.85
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,1504385,13.04,1.09, 0:02.18,647,599,330.47,602.76
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,1055821,13.32,0.98, 0:02.13,672,599,337.36,423.03
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1049980,13.52,0.91, 0:02.81,513,599,247.85,420.69
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,2464055,14.32,1.24, 0:01.83,851,599,412.78,987.27
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,2464056,13.14,1.23, 0:01.72,833,599,449.87,987.27
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,2512154,15.09,1.19, 0:01.77,915,599,431.72,1006.54
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1063100,10.64,0.81, 0:01.70,671,599,450.18,425.95
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1075020,11.82,0.9, 0:01.75,726,599,440.56,430.73
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1244245,11.65,0.92, 0:01.73,726,599,442.83,498.53
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1840557,11.7,1.33, 0:01.72,757,599,457.12,737.45
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5318809,4.2,0.95, 0:01.34,382,599,619.84,2131.08
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,2008022,15.18,1.09, 0:01.70,953,599,449.6,804.55
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1987007,17.07,1.21, 0:01.85,985,599,409.89,796.13
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,2001538,14.34,0.92, 0:01.70,898,599,456.42,801.95
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,1143321,13.27,0.8, 0:01.88,748,599,397.95,458.09
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1961179,11.31,0.78, 0:01.61,749,599,477.43,785.78
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,1927161,12.9,1.05, 0:01.94,717,599,378.33,772.15
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1969013,10.83,0.86, 0:01.60,728,599,483.52,788.92
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,1250668,42.64,0.78, 0:05.13,846,599,126.58,501.1
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,1456515,61.63,1.03, 0:06.50,963,599,98.48,583.58
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,1338781,27.98,0.72, 0:03.11,921,599,216.99,536.41
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,5326721,4.24,0.96, 0:01.34,388,599,621.54,2134.25
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,1573819,30.95,1.07, 0:03.37,950,599,201.3,630.58
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1651485,29.47,1.18, 0:04.50,680,599,144.74,661.7
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,1738276,26.7,1.21, 0:04.03,691,599,163.7,696.47
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,1996988,34.19,1.23, 0:05.69,621,599,112.77,800.13
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,1276890,16.49,0.86, 0:02.33,742,599,307.06,511.61
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,1100105,14.43,0.85, 0:02.08,732,599,352.49,440.78
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,1999765,11.88,1.11, 0:02.03,638,599,366.29,801.24
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,3074751,21.79,1.06, 0:02.73,835,599,255.25,1231.95
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,3090504,24.86,1.04, 0:02.89,895,599,237.79,1238.27
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,1849579,16.08,1.06, 0:01.81,946,599,415.06,741.07
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,5326721,4.29,1.0, 0:01.38,382,599,608.5,2134.25
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,2157958,22.82,1.03, 0:02.66,896,599,263.32,864.62
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,1825820,19.08,1.02, 0:02.03,987,599,360.2,731.55
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,1829066,19.82,1.12, 0:02.11,992,599,348.49,732.85
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,1827039,17.91,0.98, 0:02.06,916,599,359.35,732.04
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,1820911,14.51,1.06, 0:01.73,896,599,439.48,729.58
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,2598135,19.73,1.01, 0:02.06,1005,599,353.53,1040.99
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,915295,24.23,0.89, 0:03.88,646,599,171.65,366.73
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,955554,19.51,0.9, 0:03.59,567,599,186.77,382.86
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,929688,30.44,1.02, 0:03.76,835,599,175.55,372.5
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,796437,20.43,0.9, 0:02.50,850,599,282.25,319.11
