configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3732487,2.08, 0.32, 0:00.53, 448, 600 , 1669.74 , 1491.50
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,1417462,7.66, 0.32, 0:01.51, 526, 600 , 446.12 , 566.42
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,811172,6.45, 0.29, 0:01.16, 581, 600 , 589.40 , 324.14
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,850890,6.98, 0.30, 0:01.17, 618, 600 , 591.96 , 340.02
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,2256290,11.61, 0.32, 0:01.40, 850, 600 , 488.12 , 901.61
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,2304831,7.69, 0.25, 0:00.90, 879, 600 , 788.69 , 921.01
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1830316,5.10, 0.31, 0:00.85, 631, 600 , 885.28 , 731.40
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1890325,4.74, 0.33, 0:00.82, 616, 600 , 936.16 , 755.37
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1513938,6.23, 0.33, 0:01.11, 591, 600 , 637.16 , 604.97
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,1585199,6.41, 0.42, 0:01.09, 622, 600 , 652.02 , 633.45
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,1072326,5.76, 0.33, 0:01.05, 579, 600 , 678.96 , 428.50
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2296365,2.61, 0.31, 0:00.53, 549, 600 , 1618.80 , 917.63
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,1965222,9.24, 0.25, 0:01.14, 833, 600 , 622.06 , 785.30
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,1536966,8.47, 0.36, 0:01.30, 677, 600 , 520.17 , 614.17
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1536523,8.51, 0.41, 0:01.25, 714, 600 , 556.84 , 614.00
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1393651,7.77, 0.43, 0:01.31, 622, 600 , 522.06 , 556.90
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,1065472,8.42, 0.36, 0:01.23, 711, 600 , 564.19 , 425.76
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,1357404,9.16, 0.33, 0:01.41, 669, 600 , 483.90 , 542.42
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1531600,8.74, 0.37, 0:01.34, 675, 600 , 511.01 , 612.03
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1751992,8.38, 0.41, 0:01.24, 707, 600 , 565.89 , 700.10
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1200881,8.38, 0.34, 0:01.41, 615, 600 , 471.43 , 479.87
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,1192855,8.37, 0.44, 0:01.40, 629, 600 , 485.12 , 476.67
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,2296365,2.84, 0.22, 0:00.55, 556, 600 , 1550.06 , 917.63
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,856713,7.93, 0.29, 0:01.48, 556, 600 , 458.57 , 342.34
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,1203639,8.40, 0.34, 0:01.44, 603, 600 , 457.77 , 480.97
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,1211980,10.04, 0.30, 0:01.86, 554, 600 , 348.31 , 484.31
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,1314278,7.47, 0.37, 0:01.08, 723, 600 , 649.57 , 525.19
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,1306012,8.17, 0.28, 0:01.17, 718, 600 , 597.68 , 521.88
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,1519373,8.62, 0.34, 0:01.16, 772, 600 , 603.19 , 607.14
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,1334216,6.39, 0.40, 0:01.03, 654, 600 , 692.14 , 533.15
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1379509,6.72, 0.36, 0:00.99, 709, 600 , 733.46 , 551.25
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,1586240,7.03, 0.31, 0:00.98, 746, 600 , 720.09 , 633.86
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,1908418,5.75, 0.35, 0:00.73, 828, 600 , 1060.01 , 762.60
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,3720839,2.07, 0.22, 0:00.50, 458, 600 , 1749.65 , 1486.85
