configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,44747797,27.86,2.34, 0:03.98,758,1199,410.49,17914.05
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,21603195,102.95,2.96, 0:11.10,953,1199,119.26,8648.48
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,6757647,74.26,2.96, 0:08.98,859,1199,152.16,2705.31
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,7675502,92.47,3.13, 0:08.93,1070,1199,157.27,3072.76
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,69090984,123.96,3.14, 0:09.70,1309,1199,141.74,27659.44
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,69991405,114.29,2.87, 0:07.63,1535,1199,186.31,28019.91
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,35785434,69.68,2.54, 0:07.27,993,1199,193.01,14326.11
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,36170318,72.88,2.94, 0:07.54,1005,1199,191.41,14480.19
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,52136342,88.46,3.52, 0:11.71,785,1199,114.52,20871.93
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,50588980,94.48,3.39, 0:11.67,838,1199,115.25,20252.47
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,28640178,77.53,3.85, 0:10.79,754,1199,125.66,11465.63
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,26981771,38.49,2.49, 0:04.35,941,1199,384.09,10801.71
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,72308874,143.23,2.9, 0:12.79,1142,1199,103.79,28947.67
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,54099247,109.67,3.18, 0:12.73,886,1199,104.18,21657.75
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,54252038,115.1,3.55, 0:11.79,1006,1199,113.96,21718.91
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,52119951,96.49,3.31, 0:11.27,885,1199,119.66,20865.37
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,31733803,103.67,3.19, 0:11.90,897,1199,112.73,12704.11
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,56873238,141.0,3.28, 0:19.97,722,1199,63.61,22768.27
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,54099008,109.72,3.41, 0:12.65,894,1199,105.25,21657.65
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,60183173,122.87,3.04, 0:14.02,897,1199,93.62,24093.35
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,50378881,114.85,4.24, 0:15.80,753,1199,82.54,20168.36
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,50378674,120.38,3.72, 0:16.80,738,1199,76.32,20168.28
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,26981771,38.08,2.88, 0:04.42,927,1199,376.17,10801.71
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,29318554,101.49,4.06, 0:15.86,665,1199,82.12,11737.2
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,50316832,113.16,3.82, 0:15.80,740,1199,82.47,20143.52
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,52562440,144.57,3.71, 0:29.71,499,1199,42.02,21042.51
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,6480642,105.67,3.0, 0:08.25,1317,1199,166.92,2594.42
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,45586710,108.99,3.87, 0:12.56,898,1199,104.08,18249.89
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,6929627,110.77,3.17, 0:08.80,1294,1199,155.22,2774.16
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,51273083,86.95,3.82, 0:09.98,909,1199,137.66,20526.34
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,51320041,88.03,3.29, 0:09.37,973,1199,146.92,20545.14
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,52159597,92.75,3.63, 0:09.86,976,1199,138.98,20881.24
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,66685905,77.39,3.91, 0:06.81,1193,1199,215.23,26696.61
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,44847902,27.56,2.58, 0:04.27,705,1199,396.45,17954.12
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,67745356,99.57,3.58, 0:06.47,1592,1199,232.46,27120.74
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,67421997,107.31,3.86, 0:06.98,1591,1199,209.02,26991.29
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,67706049,96.35,3.07, 0:06.57,1513,1199,223.64,27105.01
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,54099008,110.1,3.24, 0:12.45,910,1199,107.03,21657.65
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,50626078,171.8,2.23, 0:13.98,1244,1199,93.4,20267.32
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,7890114,81.25,3.14, 0:07.66,1100,1199,186.36,3158.68
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,46449014,108.62,2.4, 0:09.23,1202,1199,150.04,18595.1
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,63183032,850.54,3.19, 0:37.91,2251,1199,32.74,25294.29
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,27399535,644.52,3.59, 0:52.15,1242,1199,23.57,10968.95
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,36065752,282.82,3.65, 0:28.14,1017,1199,44.56,14438.33
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,44747797,27.24,2.64, 0:04.26,701,1199,396.01,17914.05
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,35716752,178.55,3.49, 0:19.75,921,1199,64.86,14298.62
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,39444287,611.28,3.07, 0:38.12,1611,1199,32.39,15790.87
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,8221448,210.21,3.04, 0:22.97,928,1199,54.92,3291.32
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,48895966,699.32,2.53, 0:47.77,1469,1199,25.71,19574.7
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,63497573,336.78,3.19, 0:22.48,1511,1199,55.92,25420.21
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,56657175,229.64,3.14, 0:15.34,1516,1199,84.43,22681.77
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,40387480,128.06,3.36, 0:12.99,1011,1199,100.67,16168.47
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,60267373,325.27,3.01, 0:20.51,1600,1199,61.59,24127.05
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,60696914,350.74,3.13, 0:20.75,1704,1199,60.99,24299.01
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,72886765,166.88,2.76, 0:08.86,1913,1199,154.55,29179.02
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,44747797,27.37,2.49, 0:04.23,705,1199,400.84,17914.05
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,80865931,411.73,3.32, 0:24.00,1728,1199,52.8,32373.35
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,71771873,271.04,2.82, 0:15.34,1784,1199,84.44,28732.69
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,71786736,265.06,3.17, 0:14.90,1799,1199,86.99,28738.64
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,71772523,263.45,3.25, 0:15.05,1771,1199,86.87,28732.95
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,71400707,155.03,2.76, 0:09.03,1746,1199,154.29,28584.1
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,53867194,238.6,3.04, 0:13.59,1777,1199,96.71,21564.85
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,11668296,341.25,3.01, 0:26.12,1317,1199,47.98,4671.21
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,12828076,306.13,3.2, 0:25.77,1200,1199,48.89,5135.51
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,12198629,549.46,3.33, 0:29.93,1846,1199,41.67,4883.52
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,11199927,308.83,3.51, 0:16.99,1837,1199,75.19,4483.71
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,44747797,26.97,2.76, 0:04.28,694,1199,395.91,17914.05
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,9509077,111.95,3.53, 0:13.00,887,1199,101.96,3806.8
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,17346779,370.38,3.66, 0:19.78,1890,1199,64.42,6944.5
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,23976470,327.81,3.47, 0:22.33,1483,1199,56.88,9598.59
164,0,5,1:0:0,0x113:0x113,umh,6,1,16,2,0,1,-2,0,None,None,None,None,None,0,0,20,1,69,0,7972162,100.9,2.54, 0:09.11,1134,1199,151.28,3191.52
165,0,16,1:0:0,0x113:0x113,hex,6,1,24,0,1,1,0,3,2,2,auto,1,0,2,40,10,0,69,0,7368373,155.76,3.21, 0:12.22,1299,1199,107.35,2949.81
166,0,16,0:0:0,0x113:0x113,hex,6,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,28122494,233.08,2.69, 0:16.28,1448,1199,78.69,11258.38
167,1,8,1:0:0,0x113:0x113,dia,7,1,24,1,1,1,0,0,None,None,None,None,None,0,0,50,0,69,0,25769094,124.4,2.36, 0:10.06,1259,1199,134.15,10316.23
168,1,8,1:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,30,1,69,1,55602358,161.8,3.17, 0:19.05,865,1199,66.54,22259.49
169,1,8,0:0:0,0x3:0x113,umh,9,0,16,0,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,10579530,241.86,2.77, 0:23.63,1035,1199,53.04,4235.34
170,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,0,3,2,2,spatial,1,0,2,40,60,1,69,1,12467385,306.92,3.56, 0:25.78,1204,1199,48.87,4991.11
17,0,1,0:0:0,0:0,hex,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,44651445,27.67,2.61, 0:04.21,718,1199,398.89,17875.47
171,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,12831479,310.96,3.52, 0:25.35,1240,1199,49.79,5136.87
172,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,0,4813030,213.42,3.57, 0:23.98,904,1199,52.73,1926.82
173,1,2,1:0:0,0x3:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,12690731,62.5,3.72, 0:08.19,808,1199,173.1,5080.53
174,1,3,1:0:0,0x3:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,0,69,1,20994589,153.03,3.47, 0:11.79,1326,1199,113.73,8404.84
175,1,2,1:0:0,0x113:0x113,umh,1,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,50,1,69,1,12690731,61.48,3.58, 0:07.90,823,1199,180.51,5080.53
176,1,2,1:0:0,0x3:0x113,umh,9,0,24,2,1,1,-2,16,2,2,spatial,1,0,2,40,50,1,69,1,22097323,473.61,14.71, 0:54.70,892,1199,22.43,8846.3
177,1,2,1:0:0,0x3:0x113,umh,1,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,18428291,177.57,12.34, 0:30.65,619,1199,40.79,7377.46
178,1,8,1:0:0,0x3:0x113,umh,10,0,24,2,1,0,-2,16,2,2,auto,1,0,2,40,20,1,69,1,18579957,660.7,13.99, 0:58.10,1161,1199,21.03,7438.18
179,1,8,1:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,0,60,1,69,0,7870558,240.29,2.93, 0:24.25,1002,1199,51.76,3150.85
180,1,8,1:0:0,0x3:0x113,hex,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,12677206,269.16,2.73, 0:26.18,1038,1199,47.73,5075.11
18,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,3,2,1,None,1,0,0,0,None,0,69,0,17449158,26.12,3.15, 0:04.41,663,1199,381.37,6985.48
181,1,8,0:0:0,0x3:0x113,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,10,1,69,1,12778588,304.23,3.53, 0:22.87,1345,1199,55.44,5115.7
