configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,56639529,22.54,1.96, 0:03.91,626,1200,413.81,22655.81
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,24608112,79.75,3.12, 0:08.78,943,1200,158.81,9843.25
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,24666670,73.04,3.03, 0:07.60,1000,1200,189.41,9866.67
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,24327222,84.22,3.11, 0:06.97,1252,1200,207.66,9730.89
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,26988800,147.1,2.72, 0:10.13,1478,1200,134.07,10795.52
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,26894034,96.19,2.4, 0:06.83,1443,1200,206.01,10757.61
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,32532222,64.36,2.67, 0:06.72,996,1200,217.93,13012.89
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,28302718,71.29,2.87, 0:06.81,1089,1200,215.33,11321.09
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,23615616,61.55,2.61, 0:06.62,968,1200,221.82,9446.25
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,23204553,70.1,2.82, 0:07.45,978,1200,191.87,9281.82
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,27909870,67.17,2.69, 0:06.75,1033,1200,216.63,11163.95
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,36796514,31.23,2.73, 0:04.50,754,1200,362.1,14718.61
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,29167085,112.96,2.57, 0:08.64,1336,1200,161.24,11666.83
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,25335114,96.53,3.12, 0:07.98,1247,1200,177.49,10134.05
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,24658655,110.69,3.1, 0:08.37,1358,1200,167.42,9863.46
114,1,3,1:0:0,0x3:0x113,hex,7,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,24221008,87.34,2.33, 0:07.56,1185,1200,187.94,9688.4
115,1,7,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,0,29461724,126.58,3.01, 0:08.98,1441,1200,154.22,11784.69
116,1,3,1:0:0,0x3:0x113,hex,10,1,16,1,1,1,0,3,2,1,auto,1,0,1,40,40,1,69,1,25801885,115.74,2.95, 0:11.06,1072,1200,121.53,10320.75
117,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,24989964,100.65,2.86, 0:08.19,1263,1200,171.78,9995.99
118,0,3,1:0:0,0x3:0x3,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,27905715,108.4,2.83, 0:08.42,1320,1200,164.94,11162.29
119,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,22737976,104.07,3.53, 0:08.63,1246,1200,161.63,9095.19
120,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,1,69,1,22153098,100.95,3.21, 0:08.44,1233,1200,164.77,8861.24
12,0,1,1:0:0,0:0,dia,2,0,24,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,36796514,32.97,2.24, 0:03.93,896,1200,407.84,14718.61
121,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,spatial,1,0,2,40,40,1,69,0,27363378,98.21,2.93, 0:08.18,1235,1200,166.8,10945.35
122,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,1,40,40,1,69,1,22749530,94.83,3.05, 0:08.14,1201,1200,169.64,9099.81
123,1,3,1:0:0,0x3:0x113,hex,11,1,16,0,0,1,0,16,2,1,auto,1,0,2,40,40,1,69,1,24551817,114.42,3.22, 0:12.94,908,1200,102.14,9820.73
124,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,0,50,0,69,0,27388125,108.11,3.3, 0:07.25,1535,1200,196.1,10955.25
125,1,3,1:0:0,0x3:0x3,hex,7,1,16,1,0,1,0,16,2,1,auto,1,0,2,40,30,0,69,0,27388126,101.97,3.12, 0:06.96,1508,1200,204.93,10955.25
126,1,3,0:0:0,0x3:0x3,hex,7,1,16,1,0,0,-2,16,2,1,auto,1,0,2,0,50,0,69,0,27857790,103.67,3.22, 0:07.00,1527,1200,208.02,11143.12
127,1,5,1:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,22430752,69.96,3.35, 0:06.87,1066,1200,211.26,8972.3
128,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,22514254,77.23,3.01, 0:06.93,1156,1200,209.97,9005.7
129,0,5,0:0:0,0x3:0x3,dia,4,1,24,1,0,1,-2,3,2,1,spatial,1,0,2,40,40,1,69,1,24819505,88.62,3.31, 0:07.35,1250,1200,195.7,9927.8
130,1,5,0:0:0,0x3:0x113,dia,4,1,16,0,1,1,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,25450140,70.14,2.9, 0:06.04,1209,1200,249.27,10180.06
13,0,1,1:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,56759710,22.2,2.52, 0:04.29,575,1200,389.84,22703.89
131,1,5,0:0:0,0x3:0x3,dia,4,0,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,25780414,84.74,2.89, 0:05.94,1473,1200,255.68,10312.17
132,1,7,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,spatial,1,0,2,40,20,0,69,1,25638961,98.7,2.72, 0:06.08,1668,1200,236.12,10255.58
133,1,5,0:0:0,0x3:0x113,dia,4,1,16,1,1,0,-2,3,2,1,auto,1,0,2,40,20,0,69,1,25639775,77.81,2.77, 0:05.60,1438,1200,260.27,10255.91
134,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,None,1,69,1,24989964,97.43,2.57, 0:07.76,1288,1200,177.45,9995.99
135,1,3,1:0:0,0x3:0x113,hex,11,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,33222911,92.37,2.34, 0:09.05,1045,1200,152.3,13289.17
136,1,5,0:0:0,0x3:0x113,hex,7,1,16,1,1,1,0,0,None,None,None,None,None,0,0,None,1,69,0,32069361,93.53,2.39, 0:08.16,1175,1200,170.81,12827.75
137,1,3,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,32130667,77.97,2.11, 0:06.74,1187,1200,211.17,12852.27
138,0,5,0:0:0,0x113:0x113,tesa,10,0,24,2,1,0,-2,3,2,1,spatial,1,0,2,40,50,1,69,1,27247079,645.34,2.64, 0:51.48,1258,1200,23.78,10898.83
139,1,16,0:0:0,0x113:0x113,tesa,10,1,24,2,0,1,-2,3,2,1,spatial,1,0,2,40,50,1,69,0,27956899,1228.42,3.49, 1:06.64,1848,1200,18.35,11182.76
140,1,16,1:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,8,2,1,spatial,1,0,2,40,30,1,69,0,27716999,378.95,2.75, 0:25.02,1525,1200,49.99,11086.8
14,0,1,0:0:0,0:0,dia,0,1,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,56639529,21.86,2.55, 0:04.15,587,1200,404.96,22655.81
141,1,16,0:0:0,0x113:0x113,hex,10,1,24,1,1,0,-2,3,2,1,spatial,1,0,2,None,50,1,69,0,30498933,271.73,3.25, 0:15.63,1758,1200,83.21,12199.57
142,1,16,0:0:0,0x113:0x113,hex,11,0,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,29447088,377.06,2.6, 0:31.33,1211,1200,39.6,11778.84
143,1,16,0:0:0,0x113:0x113,hex,10,1,24,2,1,1,-2,0,None,None,None,None,None,0,0,None,1,69,0,31489646,323.07,3.06, 0:29.50,1105,1200,42.39,12595.86
144,0,8,0:0:0,0x113:0x113,umh,10,1,24,2,0,1,-2,0,None,None,None,None,None,0,0,None,0,69,1,32546499,556.84,2.71, 0:52.61,1063,1200,23.33,13018.6
145,0,5,1:0:0,0x3:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,28466207,248.1,3.14, 0:24.35,1031,1200,51.82,11386.48
146,1,5,1:0:0,0x113:0x113,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,1,25474465,174.83,2.84, 0:14.40,1233,1200,90.71,10189.79
147,0,1,0:0:0,0x3:0x113,hex,8,1,16,1,1,1,0,3,2,1,spatial,1,0,2,40,50,1,69,0,33908383,99.23,2.58, 0:08.67,1173,1200,157.32,13563.35
148,0,3,0:0:0,0:0,hex,8,1,16,2,1,1,0,3,2,1,spatial,1,0,2,40,20,0,69,0,34651924,280.59,2.66, 0:24.56,1152,1200,50.96,13860.77
149,0,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,40,0,69,0,34940246,293.17,2.48, 0:25.04,1180,1200,49.91,13976.1
150,1,3,1:0:0,0x3:0x113,hex,8,1,16,1,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,28420762,117.35,2.4, 0:07.87,1521,1200,178.14,11368.31
15,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,auto,None,None,0,0,None,0,69,0,56639529,22.22,2.41, 0:04.16,591,1200,405.01,22655.81
151,0,3,1:0:0,0x3:0x113,umh,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,31770153,287.32,2.95, 0:24.23,1197,1200,52.13,12708.06
152,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,28722157,188.84,2.57, 0:13.68,1398,1200,95.08,11488.86
153,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,auto,1,0,2,40,60,0,69,1,28777143,189.56,2.9, 0:13.83,1391,1200,95.16,11510.86
154,1,3,0:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,1,28622925,193.17,3.02, 0:14.02,1398,1200,93.46,11449.17
155,1,3,1:0:0,0x3:0x113,hex,8,1,16,0,1,0,0,3,2,1,spatial,1,0,2,40,60,0,69,1,27792827,113.88,2.67, 0:07.82,1489,1200,180.84,11117.13
156,1,3,1:0:0,0x3:0x113,hex,8,1,16,2,1,0,0,3,2,1,spatial,1,0,2,40,10,0,69,0,31347057,192.0,2.75, 0:14.12,1378,1200,93.26,12538.82
157,1,8,1:0:0,0x3:0x113,umh,10,1,16,2,1,1,-2,3,2,2,spatial,None,0,2,40,60,1,69,1,24463381,304.45,3.35, 0:24.91,1235,1200,50.65,9785.35
158,1,8,1:0:0,0x3:0x3,umh,9,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,25875070,235.47,2.88, 0:20.10,1185,1200,63.31,10350.03
159,1,16,1:0:0,0x3:0x3,umh,9,0,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,60,1,69,1,25436915,364.18,2.84, 0:24.06,1525,1200,52.05,10174.77
160,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,30,1,69,1,22384329,216.69,3.15, 0:15.06,1459,1200,85.62,8953.73
16,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,spatial,None,None,0,0,None,0,69,0,56639529,21.84,2.45, 0:04.19,579,1200,399.95,22655.81
161,1,3,1:0:0,0x113:0x113,umh,6,1,16,0,1,0,-2,3,2,2,auto,1,0,2,40,60,1,69,1,23706760,89.69,3.33, 0:11.73,792,1200,114.49,9482.7
162,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,3,2,2,spatial,1,0,2,40,None,0,69,1,26655392,229.74,3.22, 0:14.69,1584,1200,87.86,10662.16
163,1,16,1:0:0,0x113:0x113,umh,6,1,16,2,1,1,-2,0,None,None,None,None,None,0,0,60,0,69,0,32928801,251.05,2.96, 0:19.71,1288,1200,64.13,13171.52
