configurationID,cabac,ref,deblock,analyse,me,subme,mixed_ref,me_range,trellis,8x8dct,fast_pskip,chroma_qp_offset,bframes,b_pyramid,b_adapt,direct,weightb,open_gop,weightp,scenecut,rc_lookahead,mbtree,qpmax,aq-mode,size,usertime,systemtime,elapsedtime,cpu,frames,fps,kbs
1,0,1,0:0:0,0:0,dia,0,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,66948301,23.36,2.69, 0:04.24,614,1199,395.84,26801.65
101,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,60,1,69,1,34192155,87.53,7.48, 0:11.12,853,1199,124.61,13688.27
102,1,2,1:0:0,0x3:0x113,hex,6,1,16,1,1,1,0,8,2,1,auto,1,0,1,0,10,1,69,0,37479600,77.96,2.69, 0:06.72,1199,1199,210.15,15004.34
103,1,2,0:0:0,0x3:0x3,umh,6,1,16,1,1,1,0,8,2,1,spatial,1,0,1,0,10,1,69,0,37529561,90.79,2.28, 0:06.90,1347,1199,202.58,15024.34
104,1,16,1:0:0,0x3:0x113,hex,6,1,24,1,1,1,-2,3,2,1,auto,1,0,1,40,30,0,69,1,37498771,175.81,2.78, 0:10.83,1647,1199,122.15,15012.02
105,1,7,1:0:0,0x3:0x113,dia,6,1,24,1,1,1,-2,3,2,1,spatial,1,0,1,40,30,0,69,1,38183813,108.91,2.42, 0:07.51,1481,1199,183.84,15286.26
106,0,5,1:0:0,0x3:0x113,tesa,0,1,16,1,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,41714795,72.77,2.81, 0:07.84,963,1199,180.38,16699.83
107,0,5,1:0:0,0x3:0x3,umh,0,1,16,1,1,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,41581348,88.74,2.5, 0:08.06,1131,1199,173.42,16646.41
108,1,2,0:0:0,0x113:0x113,hex,6,1,24,0,1,1,-2,3,2,1,auto,1,0,1,40,30,1,69,1,32359077,65.95,2.99, 0:06.61,1042,1199,220.49,12954.43
109,1,2,0:0:0,0x113:0x113,hex,6,1,16,1,0,0,-2,3,2,1,auto,1,0,1,40,30,1,69,1,32556081,75.27,2.59, 0:06.84,1136,1199,211.07,13033.29
110,1,2,0:0:0,0x113:0x113,hex,6,1,24,1,0,1,-2,3,2,1,auto,1,0,1,40,30,1,69,0,44504688,80.75,2.94, 0:07.31,1143,1199,195.13,17816.72
11,0,1,1:0:0,0:0,dia,2,0,16,0,0,1,0,0,None,None,None,None,None,0,0,None,0,69,0,42846930,35.01,2.56, 0:04.41,850,1199,369.15,17153.07
111,1,2,0:0:0,0x113:0x113,hex,10,1,24,1,1,1,0,3,2,1,auto,1,0,2,40,30,0,69,1,35711407,112.98,2.73, 0:08.68,1332,1199,160.22,14296.48
112,1,3,1:0:0,0x3:0x113,hex,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,50,1,69,1,35218103,107.27,2.84, 0:08.23,1337,1199,170.13,14098.99
113,1,3,1:0:0,0x3:0x113,umh,7,1,16,1,1,1,-2,3,2,1,auto,1,0,2,40,40,1,69,1,34370990,112.13,2.97, 0:08.25,1395,1199,170.03,13759.86
